flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22744,easyjet,landed,2023-10-17t01:50:00.000,2023-10-17t02:32:00.000,2023-10-17 02:34:00,2023-10-17,02:34:00,44,Night hour departures
u22736,easyjet,landed,2023-10-17t02:30:00.000,2023-10-17t02:29:00.000,2023-10-17 02:30:00,2023-10-17,02:30:00,1,Night hour departures
x3699,tuifly,landed,2023-10-17t02:35:00.000,2023-10-17t03:02:00.000,2023-10-17 03:03:00,2023-10-17,03:03:00,29,Night hour departures
u22850,easyjet,landed,2023-10-17t02:45:00.000,2023-10-17t03:29:00.000,2023-10-17 03:29:00,2023-10-17,03:29:00,44,Night hour departures
fr4134,ryanair,landed,2023-10-17t07:50:00.000,2023-10-17t08:08:00.000,2023-10-17 08:09:00,2023-10-17,08:09:00,20,Regular departures
ba8936,british airways,landed,2023-10-17t07:55:00.000,2023-10-17t07:39:00.000,2023-10-17 07:41:00,2023-10-17,07:41:00,0,Regular departures
ei3280,aer lingus,landed,2023-10-17t07:55:00.000,2023-10-17t07:39:00.000,2023-10-17 07:41:00,2023-10-17,07:41:00,0,Regular departures
w61019,wizz air,landed,2023-10-17t08:00:00.000,2023-10-17t08:26:00.000,2023-10-17 08:31:00,2023-10-17,08:31:00,31,Regular departures
fr1332,ryanair,landed,2023-10-17t08:45:00.000,2023-10-17t08:35:00.000,2023-10-17 08:34:00,2023-10-17,08:34:00,0,Regular departures
af3161,air france,landed,2023-10-17t08:45:00.000,2023-10-17t08:40:00.000,2023-10-17 08:44:00,2023-10-17,08:44:00,0,Regular departures
dl9629,delta air lines,landed,2023-10-17t08:45:00.000,2023-10-17t08:40:00.000,2023-10-17 08:44:00,2023-10-17,08:44:00,0,Regular departures
ey7395,etihad airways,landed,2023-10-17t08:45:00.000,2023-10-17t08:40:00.000,2023-10-17 08:44:00,2023-10-17,08:44:00,0,Regular departures
vs7040,virgin atlantic,landed,2023-10-17t08:45:00.000,2023-10-17t08:40:00.000,2023-10-17 08:44:00,2023-10-17,08:44:00,0,Regular departures
kl1049,klm,landed,2023-10-17t08:45:00.000,2023-10-17t08:40:00.000,2023-10-17 08:44:00,2023-10-17,08:44:00,0,Regular departures
fr504,ryanair,landed,2023-10-17t08:55:00.000,2023-10-17t08:39:00.000,2023-10-17 08:40:00,2023-10-17,08:40:00,0,Regular departures
lh970,lufthansa,landed,2023-10-17t09:00:00.000,2023-10-17t08:58:00.000,2023-10-17 08:52:00,2023-10-17,08:52:00,0,Regular departures
u27191,easyjet,landed,2023-10-17t09:10:00.000,2023-10-17t08:47:00.000,2023-10-17 08:46:00,2023-10-17,08:46:00,0,Regular departures
u27507,easyjet,landed,2023-10-17t09:40:00.000,2023-10-17t09:14:00.000,2023-10-17 09:17:00,2023-10-17,09:17:00,0,Regular departures
u2224,easyjet,landed,2023-10-17t09:45:00.000,2023-10-17t09:33:00.000,2023-10-17 09:23:00,2023-10-17,09:23:00,0,Regular departures
u2202,easyjet,landed,2023-10-17t10:00:00.000,2023-10-17t09:54:00.000,2023-10-17 09:55:00,2023-10-17,09:55:00,0,Regular departures
u2214,easyjet,landed,2023-10-17t10:05:00.000,2023-10-17t10:08:00.000,2023-10-17 10:06:00,2023-10-17,10:06:00,1,Regular departures
