flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22726,easyjet,landed,2023-07-13t01:15:00.000,2023-07-13t01:56:00.000,2023-07-13 01:56:00,2023-07-13,01:56:00,41,Night hour departures
u22902,easyjet,landed,2023-07-13t01:15:00.000,2023-07-13t01:53:00.000,2023-07-13 01:53:00,2023-07-13,01:53:00,39,Night hour departures
u22850,easyjet,landed,2023-07-13t01:35:00.000,2023-07-13t02:10:00.000,2023-07-13 02:10:00,2023-07-13,02:10:00,35,Night hour departures
x36343,tuifly,landed,2023-07-13t02:25:00.000,2023-07-13t02:39:00.000,2023-07-13 02:39:00,2023-07-13,02:39:00,15,Night hour departures
fr513,ryanair,landed,2023-07-13t06:55:00.000,2023-07-13t06:35:00.000,2023-07-13 06:33:00,2023-07-13,06:33:00,0,Shoulder hour flights
fr1590,ryanair,landed,2023-07-13t07:05:00.000,2023-07-13t07:02:00.000,2023-07-13 06:56:00,2023-07-13,06:56:00,0,Shoulder hour flights
fr2291,ryanair,landed,2023-07-13t07:35:00.000,2023-07-13t07:26:00.000,2023-07-13 07:23:00,2023-07-13,07:23:00,0,Regular departures
fr7948,ryanair,landed,2023-07-13t07:40:00.000,2023-07-13t07:26:00.000,2023-07-13 07:26:00,2023-07-13,07:26:00,0,Regular departures
ba8936,british airways,landed,2023-07-13t07:55:00.000,2023-07-13t07:51:00.000,2023-07-13 07:52:00,2023-07-13,07:52:00,0,Regular departures
ei3280,aer lingus,landed,2023-07-13t07:55:00.000,2023-07-13t07:51:00.000,2023-07-13 07:52:00,2023-07-13,07:52:00,0,Regular departures
fr4148,ryanair,landed,2023-07-13t08:45:00.000,2023-07-13t08:40:00.000,2023-07-13 08:35:00,2023-07-13,08:35:00,0,Regular departures
lh970,lufthansa,landed,2023-07-13t09:00:00.000,2023-07-13t08:59:00.000,2023-07-13 08:55:00,2023-07-13,08:55:00,0,Regular departures
fr504,ryanair,landed,2023-07-13t09:20:00.000,2023-07-13t09:10:00.000,2023-07-13 09:11:00,2023-07-13,09:11:00,0,Regular departures
u27507,easyjet,landed,2023-07-13t09:40:00.000,2023-07-13t09:17:00.000,2023-07-13 09:21:00,2023-07-13,09:21:00,0,Regular departures
u2224,easyjet,landed,2023-07-13t09:45:00.000,2023-07-13t10:21:00.000,2023-07-13 10:16:00,2023-07-13,10:16:00,32,Regular departures
u2202,easyjet,landed,2023-07-13t10:05:00.000,2023-07-13t10:31:00.000,2023-07-13 10:33:00,2023-07-13,10:33:00,28,Regular departures
u22922,easyjet,landed,2023-07-13t10:15:00.000,2023-07-13t10:14:00.000,2023-07-13 10:09:00,2023-07-13,10:09:00,0,Regular departures
u22774,easyjet,landed,2023-07-13t10:30:00.000,2023-07-13t10:25:00.000,2023-07-13 10:20:00,2023-07-13,10:20:00,0,Regular departures
fr6027,ryanair,landed,2023-07-13t11:10:00.000,2023-07-13t11:16:00.000,2023-07-13 11:17:00,2023-07-13,11:17:00,7,Regular departures
u22710,easyjet,landed,2023-07-13t11:30:00.000,2023-07-13t11:20:00.000,2023-07-13 11:21:00,2023-07-13,11:21:00,0,Regular departures
ls1880,jet2,landed,2023-07-13t11:35:00.000,2023-07-13t11:31:00.000,2023-07-13 11:33:00,2023-07-13,11:33:00,0,Regular departures
u22782,easyjet,landed,2023-07-13t11:35:00.000,2023-07-13t12:07:00.000,2023-07-13 12:03:00,2023-07-13,12:03:00,29,Regular departures
fr4122,ryanair,landed,2023-07-13t11:50:00.000,2023-07-13t11:33:00.000,2023-07-13 11:36:00,2023-07-13,11:36:00,0,Regular departures
u22701,easyjet,landed,2023-07-13t11:55:00.000,2023-07-13t11:52:00.000,2023-07-13 11:53:00,2023-07-13,11:53:00,0,Regular departures
u22892,easyjet,landed,2023-07-13t11:55:00.000,2023-07-13t12:20:00.000,2023-07-13 12:21:00,2023-07-13,12:21:00,27,Regular departures
fr3386,ryanair,landed,2023-07-13t12:00:00.000,2023-07-13t12:00:00.000,2023-07-13 12:00:00,2023-07-13,12:00:00,0,Regular departures
fr8203,ryanair,landed,2023-07-13t12:05:00.000,2023-07-13t11:51:00.000,2023-07-13 11:51:00,2023-07-13,11:51:00,0,Regular departures
u22716,easyjet,landed,2023-07-13t12:10:00.000,2023-07-13t11:37:00.000,2023-07-13 11:40:00,2023-07-13,11:40:00,0,Regular departures
u22840,easyjet,landed,2023-07-13t12:10:00.000,2023-07-13t12:43:00.000,2023-07-13 12:33:00,2023-07-13,12:33:00,23,Regular departures
u22934,easyjet,landed,2023-07-13t12:15:00.000,2023-07-13t12:35:00.000,2023-07-13 12:36:00,2023-07-13,12:36:00,22,Regular departures
u22838,easyjet,landed,2023-07-13t12:20:00.000,2023-07-13t12:23:00.000,2023-07-13 12:24:00,2023-07-13,12:24:00,4,Regular departures
ls1822,jet2,landed,2023-07-13t12:25:00.000,2023-07-13t12:18:00.000,2023-07-13 12:18:00,2023-07-13,12:18:00,0,Regular departures
u22844,easyjet,landed,2023-07-13t12:40:00.000,2023-07-13t13:04:00.000,2023-07-13 13:04:00,2023-07-13,13:04:00,24,Regular departures
u22940,easyjet,landed,2023-07-13t12:50:00.000,2023-07-13t12:25:00.000,2023-07-13 12:27:00,2023-07-13,12:27:00,0,Regular departures
ls1872,jet2,landed,2023-07-13t13:00:00.000,2023-07-13t13:12:00.000,2023-07-13 13:13:00,2023-07-13,13:13:00,14,Regular departures
dl9356,delta air lines,landed,2023-07-13t13:10:00.000,2023-07-13t13:25:00.000,2023-07-13 13:19:00,2023-07-13,13:19:00,10,Regular departures
ey7011,etihad airways,landed,2023-07-13t13:10:00.000,2023-07-13t13:25:00.000,2023-07-13 13:19:00,2023-07-13,13:19:00,10,Regular departures
g35514,gol,landed,2023-07-13t13:10:00.000,2023-07-13t13:25:00.000,2023-07-13 13:19:00,2023-07-13,13:19:00,10,Regular departures
kq1051,kenya airways,landed,2023-07-13t13:10:00.000,2023-07-13t13:25:00.000,2023-07-13 13:19:00,2023-07-13,13:19:00,10,Regular departures
vs7041,virgin atlantic,landed,2023-07-13t13:10:00.000,2023-07-13t13:25:00.000,2023-07-13 13:19:00,2023-07-13,13:19:00,10,Regular departures
kl1051,klm,landed,2023-07-13t13:10:00.000,2023-07-13t13:25:00.000,2023-07-13 13:19:00,2023-07-13,13:19:00,10,Regular departures
u2204,easyjet,landed,2023-07-13t13:30:00.000,2023-07-13t13:44:00.000,2023-07-13 13:43:00,2023-07-13,13:43:00,13,Regular departures
ls1820,jet2,landed,2023-07-13t13:35:00.000,2023-07-13t13:56:00.000,2023-07-13 13:58:00,2023-07-13,13:58:00,24,Regular departures
x36407,tuifly,landed,2023-07-13t13:40:00.000,2023-07-13t13:58:00.000,2023-07-13 13:50:00,2023-07-13,13:50:00,10,Regular departures
ls1878,jet2,landed,2023-07-13t13:45:00.000,2023-07-13t14:16:00.000,2023-07-13 14:09:00,2023-07-13,14:09:00,25,Regular departures
gr642,aurigny air services,landed,2023-07-13t13:50:00.000,2023-07-13t13:34:00.000,2023-07-13 13:37:00,2023-07-13,13:37:00,0,Regular departures
x36483,tuifly,landed,2023-07-13t13:55:00.000,2023-07-13t14:07:00.000,2023-07-13 14:06:00,2023-07-13,14:06:00,11,Regular departures
u2216,easyjet,landed,2023-07-13t14:00:00.000,2023-07-13t13:52:00.000,2023-07-13 13:53:00,2023-07-13,13:53:00,0,Regular departures
u27191,easyjet,landed,2023-07-13t14:10:00.000,2023-07-13t13:59:00.000,2023-07-13 14:02:00,2023-07-13,14:02:00,0,Regular departures
x36409,tuifly,landed,2023-07-13t14:20:00.000,2023-07-13t14:41:00.000,2023-07-13 14:35:00,2023-07-13,14:35:00,15,Regular departures
x36437,tuifly,landed,2023-07-13t14:35:00.000,2023-07-13t14:34:00.000,2023-07-13 14:28:00,2023-07-13,14:28:00,0,Regular departures
ls1898,jet2,landed,2023-07-13t14:40:00.000,2023-07-13t15:15:00.000,2023-07-13 15:14:00,2023-07-13,15:14:00,35,Regular departures
,centreline,landed,2023-07-13t14:43:00.000,2023-07-13t15:01:00.000,2023-07-13 15:02:00,2023-07-13,15:02:00,20,Regular departures
fr8213,ryanair,landed,2023-07-13t14:55:00.000,2023-07-13t14:41:00.000,2023-07-13 14:43:00,2023-07-13,14:43:00,0,Regular departures
u27003,easyjet,landed,2023-07-13t15:00:00.000,2023-07-13t15:04:00.000,2023-07-13 15:06:00,2023-07-13,15:06:00,6,Regular departures
fr506,ryanair,landed,2023-07-13t15:05:00.000,2023-07-13t14:50:00.000,2023-07-13 14:49:00,2023-07-13,14:49:00,0,Regular departures
u2206,easyjet,landed,2023-07-13t15:05:00.000,2023-07-13t15:36:00.000,2023-07-13 15:37:00,2023-07-13,15:37:00,33,Regular departures
u22878,easyjet,landed,2023-07-13t15:05:00.000,2023-07-13t15:12:00.000,2023-07-13 15:12:00,2023-07-13,15:12:00,7,Regular departures
u22732,easyjet,landed,2023-07-13t15:15:00.000,2023-07-13t15:03:00.000,2023-07-13 14:59:00,2023-07-13,14:59:00,0,Regular departures
ba8940,british airways,landed,2023-07-13t15:30:00.000,2023-07-13t15:26:00.000,2023-07-13 15:29:00,2023-07-13,15:29:00,0,Regular departures
ei3284,aer lingus,landed,2023-07-13t15:30:00.000,2023-07-13t15:26:00.000,2023-07-13 15:29:00,2023-07-13,15:29:00,0,Regular departures
u24979,easyjet,landed,2023-07-13t15:40:00.000,2023-07-13t15:24:00.000,2023-07-13 15:25:00,2023-07-13,15:25:00,0,Regular departures
u22776,easyjet,landed,2023-07-13t16:10:00.000,2023-07-13t16:15:00.000,2023-07-13 16:15:00,2023-07-13,16:15:00,5,Regular departures
dl9234,delta air lines,landed,2023-07-13t16:55:00.000,2023-07-13t17:05:00.000,2023-07-13 17:06:00,2023-07-13,17:06:00,11,Regular departures
ey7393,etihad airways,landed,2023-07-13t16:55:00.000,2023-07-13t17:05:00.000,2023-07-13 17:06:00,2023-07-13,17:06:00,11,Regular departures
kq1053,kenya airways,landed,2023-07-13t16:55:00.000,2023-07-13t17:05:00.000,2023-07-13 17:06:00,2023-07-13,17:06:00,11,Regular departures
vs7042,virgin atlantic,landed,2023-07-13t16:55:00.000,2023-07-13t17:05:00.000,2023-07-13 17:06:00,2023-07-13,17:06:00,11,Regular departures
kl1053,klm,landed,2023-07-13t16:55:00.000,2023-07-13t17:05:00.000,2023-07-13 17:06:00,2023-07-13,17:06:00,11,Regular departures
fr8265,ryanair,landed,2023-07-13t17:05:00.000,2023-07-13t17:35:00.000,2023-07-13 17:32:00,2023-07-13,17:32:00,27,Regular departures
u2228,easyjet,landed,2023-07-13t17:25:00.000,2023-07-13t17:20:00.000,2023-07-13 17:13:00,2023-07-13,17:13:00,0,Regular departures
u22724,easyjet,landed,2023-07-13t17:45:00.000,2023-07-13t17:38:00.000,2023-07-13 17:37:00,2023-07-13,17:37:00,0,Regular departures
fr4441,ryanair,landed,2023-07-13t17:50:00.000,2023-07-13t17:43:00.000,2023-07-13 17:44:00,2023-07-13,17:44:00,0,Regular departures
ba8942,british airways,landed,2023-07-13t18:35:00.000,2023-07-13t19:10:00.000,2023-07-13 19:16:00,2023-07-13,19:16:00,41,Regular departures
ei3286,aer lingus,landed,2023-07-13t18:35:00.000,2023-07-13t19:10:00.000,2023-07-13 19:16:00,2023-07-13,19:16:00,41,Regular departures
fr508,ryanair,landed,2023-07-13t18:35:00.000,2023-07-13t18:37:00.000,2023-07-13 18:38:00,2023-07-13,18:38:00,4,Regular departures
u2240,easyjet,landed,2023-07-13t18:35:00.000,2023-07-13t19:27:00.000,2023-07-13 19:21:00,2023-07-13,19:21:00,47,Regular departures
u22924,easyjet,landed,2023-07-13t18:50:00.000,2023-07-13t19:09:00.000,2023-07-13 19:13:00,2023-07-13,19:13:00,23,Regular departures
u2210,easyjet,landed,2023-07-13t19:05:00.000,2023-07-13t19:30:00.000,2023-07-13 19:31:00,2023-07-13,19:31:00,27,Regular departures
ba8866,british airways,landed,2023-07-13t19:10:00.000,2023-07-13t19:03:00.000,2023-07-13 19:04:00,2023-07-13,19:04:00,0,Regular departures
ei3842,aer lingus,landed,2023-07-13t19:10:00.000,2023-07-13t19:03:00.000,2023-07-13 19:04:00,2023-07-13,19:04:00,0,Regular departures
u22868,easyjet,landed,2023-07-13t19:15:00.000,2023-07-13t19:45:00.000,2023-07-13 19:41:00,2023-07-13,19:41:00,26,Regular departures
u27354,easyjet,landed,2023-07-13t19:20:00.000,2023-07-13t19:35:00.000,2023-07-13 19:37:00,2023-07-13,19:37:00,18,Regular departures
ba7819,british airways,landed,2023-07-13t19:25:00.000,2023-07-13t19:06:00.000,2023-07-13 19:07:00,2023-07-13,19:07:00,0,Regular departures
si7045,sierra pacific airlines,landed,2023-07-13t19:25:00.000,2023-07-13t19:06:00.000,2023-07-13 19:07:00,2023-07-13,19:07:00,0,Regular departures
lm45,loganair,landed,2023-07-13t19:25:00.000,2023-07-13t19:06:00.000,2023-07-13 19:07:00,2023-07-13,19:07:00,0,Regular departures
u22738,easyjet,landed,2023-07-13t19:25:00.000,2023-07-13t19:25:00.000,2023-07-13 19:25:00,2023-07-13,19:25:00,1,Regular departures
u22894,easyjet,landed,2023-07-13t19:35:00.000,2023-07-13t19:48:00.000,2023-07-13 19:49:00,2023-07-13,19:49:00,15,Regular departures
fr3160,ryanair,landed,2023-07-13t20:05:00.000,2023-07-13t20:22:00.000,2023-07-13 20:24:00,2023-07-13,20:24:00,19,Regular departures
fr9335,ryanair,landed,2023-07-13t20:25:00.000,2023-07-13t20:22:00.000,2023-07-13 20:28:00,2023-07-13,20:28:00,3,Regular departures
fr4758,ryanair,landed,2023-07-13t21:35:00.000,2023-07-13t21:44:00.000,2023-07-13 21:43:00,2023-07-13,21:43:00,9,Regular departures
u2246,easyjet,landed,2023-07-13t21:35:00.000,2023-07-13t21:31:00.000,2023-07-13 21:31:00,2023-07-13,21:31:00,0,Regular departures
u2230,easyjet,landed,2023-07-13t22:45:00.000,2023-07-13t23:21:00.000,2023-07-13 23:18:00,2023-07-13,23:18:00,34,Shoulder hour flights
u22876,easyjet,landed,2023-07-13t22:55:00.000,2023-07-13t22:45:00.000,2023-07-13 22:46:00,2023-07-13,22:46:00,0,Regular departures
ey5816,etihad airways,landed,2023-07-13t23:00:00.000,2023-07-13t22:52:00.000,2023-07-13 22:48:00,2023-07-13,22:48:00,0,Regular departures
kq1057,kenya airways,landed,2023-07-13t23:00:00.000,2023-07-13t22:52:00.000,2023-07-13 22:48:00,2023-07-13,22:48:00,0,Regular departures
vs7014,virgin atlantic,landed,2023-07-13t23:00:00.000,2023-07-13t22:52:00.000,2023-07-13 22:48:00,2023-07-13,22:48:00,0,Regular departures
kl1057,klm,landed,2023-07-13t23:00:00.000,2023-07-13t22:52:00.000,2023-07-13 22:48:00,2023-07-13,22:48:00,0,Regular departures
ls1892,jet2,landed,2023-07-13t23:00:00.000,2023-07-13t22:32:00.000,2023-07-13 22:30:00,2023-07-13,22:30:00,0,Regular departures
ls1848,jet2,landed,2023-07-13t23:05:00.000,2023-07-13t23:49:00.000,2023-07-14 00:02:00,2023-07-14,00:02:00,57,Night hour departures
ls1854,jet2,landed,2023-07-13t23:10:00.000,2023-07-13t23:03:00.000,2023-07-13 23:05:00,2023-07-13,23:05:00,0,Shoulder hour flights
fr1362,ryanair,landed,2023-07-13t23:25:00.000,2023-07-14t00:04:00.000,2023-07-14 00:04:00,2023-07-14,00:04:00,40,Night hour departures
ls1802,jet2,landed,2023-07-13t23:25:00.000,2023-07-13t23:07:00.000,2023-07-13 23:09:00,2023-07-13,23:09:00,0,Shoulder hour flights
ls1840,jet2,landed,2023-07-13t23:25:00.000,2023-07-14t00:07:00.000,2023-07-14 00:07:00,2023-07-14,00:07:00,43,Night hour departures
fr8297,ryanair,landed,2023-07-13t23:30:00.000,2023-07-13t23:53:00.000,2023-07-13 23:52:00,2023-07-13,23:52:00,23,Night hour departures
ls1814,jet2,landed,2023-07-13t23:55:00.000,2023-07-14t00:36:00.000,2023-07-14 00:34:00,2023-07-14,00:34:00,39,Night hour departures
x36453,tuifly,landed,2023-07-14t00:05:00.000,2023-07-14t00:26:00.000,2023-07-14 00:19:00,2023-07-14,00:19:00,14,Night hour departures
fr8235,ryanair,landed,2023-07-14t00:20:00.000,2023-07-14t00:44:00.000,2023-07-14 00:44:00,2023-07-14,00:44:00,24,Night hour departures
x36465,tuifly,landed,2023-07-14t00:20:00.000,2023-07-14t00:44:00.000,2023-07-14 00:36:00,2023-07-14,00:36:00,17,Night hour departures
u29858,easyjet,landed,2023-07-13t19:26:00.000,2023-07-13t19:27:00.000,2023-07-13 19:28:00,2023-07-13,19:28:00,3,Regular departures
