flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
u22715,easyjet,active,2024-04-20t06:00:00.000,2024-04-20t06:00:00.000,2024-04-20 06:08:00,2024-04-20,06:08:00,8,Shoulder hour flights
u22721,easyjet,active,2024-04-20t06:00:00.000,2024-04-20t06:00:00.000,2024-04-20 06:02:00,2024-04-20,06:02:00,3,Shoulder hour flights
u22837,easyjet,active,2024-04-20t06:05:00.000,2024-04-20t06:47:00.000,2024-04-20 06:54:00,2024-04-20,06:54:00,50,Shoulder hour flights
ls1821,jet2,active,2024-04-20t06:10:00.000,2024-04-20t06:10:00.000,2024-04-20 06:20:00,2024-04-20,06:20:00,11,Shoulder hour flights
u22731,easyjet,active,2024-04-20t06:10:00.000,2024-04-20t06:10:00.000,2024-04-20 06:13:00,2024-04-20,06:13:00,4,Shoulder hour flights
u22773,easyjet,active,2024-04-20t06:10:00.000,2024-04-20t06:10:00.000,2024-04-20 06:18:00,2024-04-20,06:18:00,8,Shoulder hour flights
fr505,ryanair,active,2024-04-20t06:15:00.000,2024-04-20t06:15:00.000,2024-04-20 06:23:00,2024-04-20,06:23:00,8,Shoulder hour flights
u22702,easyjet,active,2024-04-20t06:15:00.000,2024-04-20t06:15:00.000,2024-04-20 06:16:00,2024-04-20,06:16:00,1,Shoulder hour flights
az3738,alitalia,active,2024-04-20t06:20:00.000,2024-04-20t06:32:00.000,2024-04-20 06:35:00,2024-04-20,06:35:00,16,Shoulder hour flights
dl9461,delta air lines,active,2024-04-20t06:20:00.000,2024-04-20t06:32:00.000,2024-04-20 06:35:00,2024-04-20,06:35:00,16,Shoulder hour flights
kq1050,kenya airways,active,2024-04-20t06:20:00.000,2024-04-20t06:32:00.000,2024-04-20 06:35:00,2024-04-20,06:35:00,16,Shoulder hour flights
vs7121,virgin atlantic,active,2024-04-20t06:20:00.000,2024-04-20t06:32:00.000,2024-04-20 06:35:00,2024-04-20,06:35:00,16,Shoulder hour flights
kl1074,klm,active,2024-04-20t06:20:00.000,2024-04-20t06:32:00.000,2024-04-20 06:35:00,2024-04-20,06:35:00,16,Shoulder hour flights
u22733,easyjet,active,2024-04-20t06:20:00.000,2024-04-20t06:20:00.000,2024-04-20 06:28:00,2024-04-20,06:28:00,8,Shoulder hour flights
u22877,easyjet,active,2024-04-20t06:25:00.000,2024-04-20t06:25:00.000,2024-04-20 06:38:00,2024-04-20,06:38:00,13,Shoulder hour flights
fr4440,ryanair,active,2024-04-20t06:30:00.000,2024-04-20t06:28:00.000,2024-04-20 06:33:00,2024-04-20,06:33:00,4,Shoulder hour flights
x3382,tuifly,active,2024-04-20t06:30:00.000,2024-04-20t06:52:00.000,2024-04-20 07:02:00,2024-04-20,07:02:00,33,Regular departures
u22883,easyjet,active,2024-04-20t06:35:00.000,2024-04-20t06:35:00.000,2024-04-20 06:40:00,2024-04-20,06:40:00,5,Shoulder hour flights
fr4121,ryanair,active,2024-04-20t06:55:00.000,2024-04-20t06:54:00.000,2024-04-20 07:06:00,2024-04-20,07:06:00,12,Regular departures
ls1805,jet2,active,2024-04-20t06:55:00.000,2024-04-20t06:57:00.000,2024-04-20 07:00:00,2024-04-20,07:00:00,5,Regular departures
ls1879,jet2,active,2024-04-20t07:00:00.000,2024-04-20t07:00:00.000,2024-04-20 07:10:00,2024-04-20,07:10:00,11,Regular departures
u22705,easyjet,active,2024-04-20t07:00:00.000,2024-04-20t07:12:00.000,2024-04-20 07:20:00,2024-04-20,07:20:00,20,Regular departures
u22813,easyjet,active,2024-04-20t07:00:00.000,2024-04-20t07:00:00.000,2024-04-20 07:17:00,2024-04-20,07:17:00,18,Regular departures
u22903,easyjet,active,2024-04-20t07:00:00.000,2024-04-20t07:00:00.000,2024-04-20 07:12:00,2024-04-20,07:12:00,13,Regular departures
u2209,easyjet,active,2024-04-20t07:05:00.000,2024-04-20t07:05:00.000,2024-04-20 07:04:00,2024-04-20,07:04:00,0,Regular departures
u2223,easyjet,active,2024-04-20t07:05:00.000,2024-04-20t07:37:00.000,2024-04-20 07:29:00,2024-04-20,07:29:00,25,Regular departures
fr8234,ryanair,active,2024-04-20t07:10:00.000,2024-04-20t07:10:00.000,2024-04-20 07:15:00,2024-04-20,07:15:00,5,Regular departures
u22831,easyjet,active,2024-04-20t07:10:00.000,2024-04-20t07:10:00.000,2024-04-20 07:23:00,2024-04-20,07:23:00,13,Regular departures
