_id,Actual Time,Document Index (generated),icaoCode,Status,to icaoCode,Type
65e23e257a25c1a92386b24e,2023-06-01t01:23:00.000,1,lclk,landed,eggd,arrival
65e23e257a25c1a92386b24f,2023-06-01t01:53:00.000,2,leal,landed,eggd,arrival
65e23e257a25c1a92386b250,2023-06-01t01:31:00.000,3,ltai,landed,eggd,arrival
65e23e257a25c1a92386b251,2023-06-01t01:35:00.000,4,lcph,landed,eggd,arrival
65e23e257a25c1a92386b252,2023-06-01t02:10:00.000,5,hesh,landed,eggd,arrival
65e23e257a25c1a92386b253,2023-06-01t01:05:00.000,6,gclp,landed,eggd,arrival
65e23e257a25c1a92386b254,2023-06-01t01:28:00.000,7,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b255,2023-06-01t02:41:00.000,8,ltai,landed,eggd,arrival
65e23e257a25c1a92386b256,2023-06-01t02:13:00.000,9,lgko,landed,eggd,arrival
65e23e257a25c1a92386b257,2023-06-01t23:32:00.000,10,lemd,landed,eggd,arrival
65e23e257a25c1a92386b258,2023-06-01t23:46:00.000,11,gcrr,landed,eggd,arrival
65e23e257a25c1a92386b259,2023-06-02t00:17:00.000,12,lgsk,landed,eggd,arrival
65e23e257a25c1a92386b25a,2023-06-02t00:29:00.000,13,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b25b,2023-06-02t00:01:00.000,14,ltfe,landed,eggd,arrival
65e23e257a25c1a92386b25c,2023-06-02t00:23:00.000,15,lgir,landed,eggd,arrival
65e23e257a25c1a92386b25d,2023-06-02t00:32:00.000,16,lepa,landed,eggd,arrival
65e23e257a25c1a92386b25e,2023-06-02t00:42:00.000,17,gcrr,landed,eggd,arrival
65e23e257a25c1a92386b25f,2023-06-02t00:59:00.000,18,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b260,2023-06-02t01:23:00.000,19,ltai,landed,eggd,arrival
65e23e257a25c1a92386b261,2023-06-02t01:13:00.000,20,gclp,landed,eggd,arrival
65e23e257a25c1a92386b262,2023-06-02t02:32:00.000,21,ltai,landed,eggd,arrival
65e23e257a25c1a92386b263,2023-06-02t03:23:00.000,22,lclk,landed,eggd,arrival
65e23e257a25c1a92386b264,2023-06-03t00:11:00.000,23,leal,landed,eggd,arrival
65e23e257a25c1a92386b265,2023-06-02t23:47:00.000,24,ltai,landed,eggd,arrival
65e23e257a25c1a92386b266,2023-06-03t00:09:00.000,25,lgrp,landed,eggd,arrival
65e23e257a25c1a92386b267,2023-06-03t00:14:00.000,26,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b268,2023-06-03t00:23:00.000,27,lemg,landed,eggd,arrival
65e23e257a25c1a92386b269,2023-06-03t00:05:00.000,28,gcts,landed,eggd,arrival
65e23e257a25c1a92386b26a,2023-06-03t01:55:00.000,29,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b26b,2023-06-03t02:39:00.000,30,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b26c,2023-06-03t03:52:00.000,31,hegn,landed,eggd,arrival
65e23e257a25c1a92386b26d,2023-06-03t23:34:00.000,32,gcfv,landed,eggd,arrival
65e23e257a25c1a92386b26e,2023-06-03t23:51:00.000,33,lepa,landed,eggd,arrival
65e23e257a25c1a92386b26f,2023-06-03t23:31:00.000,34,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b270,2023-06-04t00:01:00.000,35,gcfv,landed,eggd,arrival
65e23e257a25c1a92386b271,2023-06-04t00:04:00.000,36,leal,landed,eggd,arrival
65e23e257a25c1a92386b272,2023-06-04t00:37:00.000,37,leib,landed,eggd,arrival
65e23e257a25c1a92386b273,2023-06-04t00:57:00.000,38,lgrp,landed,eggd,arrival
65e23e257a25c1a92386b274,2023-06-04t01:21:00.000,39,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b275,2023-06-04t01:14:00.000,40,lcph,landed,eggd,arrival
65e23e257a25c1a92386b276,2023-06-04t00:46:00.000,41,gclp,landed,eggd,arrival
65e23e257a25c1a92386b277,2023-06-04t01:24:00.000,42,hesh,landed,eggd,arrival
65e23e257a25c1a92386b278,2023-06-04t01:34:00.000,43,leal,landed,eggd,arrival
65e23e257a25c1a92386b279,2023-06-04t01:54:00.000,44,lgrp,landed,eggd,arrival
65e23e257a25c1a92386b27a,2023-06-04t02:13:00.000,45,hegn,landed,eggd,arrival
65e23e257a25c1a92386b27b,2023-06-04t23:41:00.000,46,lgko,landed,eggd,arrival
65e23e257a25c1a92386b27c,2023-06-04t23:47:00.000,47,ltfe,landed,eggd,arrival
65e23e257a25c1a92386b27d,2023-06-05t00:04:00.000,48,lgkf,landed,eggd,arrival
65e23e257a25c1a92386b27e,2023-06-04t23:35:00.000,49,gcrr,landed,eggd,arrival
65e23e257a25c1a92386b27f,2023-06-05t00:00:00.000,50,lebl,landed,eggd,arrival
65e23e257a25c1a92386b280,2023-06-05t00:13:00.000,51,lirf,landed,eggd,arrival
65e23e257a25c1a92386b281,2023-06-05t00:35:00.000,52,leib,landed,eggd,arrival
65e23e257a25c1a92386b282,2023-06-05t00:31:00.000,53,gcrr,landed,eggd,arrival
65e23e257a25c1a92386b283,2023-06-05t00:58:00.000,54,lcph,landed,eggd,arrival
65e23e257a25c1a92386b284,2023-06-05t01:01:00.000,55,gcts,landed,eggd,arrival
65e23e257a25c1a92386b285,2023-06-02t05:49:00.000,56,lgkr,active,eggd,departure
65e23e257a25c1a92386b286,2023-06-05t01:53:00.000,57,ltai,landed,eggd,arrival
65e23e257a25c1a92386b287,2023-06-05t02:02:00.000,58,lgav,landed,eggd,arrival
65e23e257a25c1a92386b288,2023-06-05t01:28:00.000,59,leal,landed,eggd,arrival
65e23e257a25c1a92386b289,2023-06-05t02:22:00.000,60,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b28a,2023-06-05t02:15:00.000,61,hesh,landed,eggd,arrival
65e23e257a25c1a92386b28b,2023-06-05t04:02:00.000,62,lclk,landed,eggd,arrival
65e23e257a25c1a92386b28c,2023-06-05t23:36:00.000,63,lkpr,landed,eggd,arrival
65e23e257a25c1a92386b28d,2023-06-05t23:32:00.000,64,gclp,landed,eggd,arrival
65e23e257a25c1a92386b28e,2023-06-06t00:02:00.000,65,lebl,landed,eggd,arrival
65e23e257a25c1a92386b28f,2023-06-06t00:14:00.000,66,ltai,landed,eggd,arrival
65e23e257a25c1a92386b290,2023-06-05t23:57:00.000,67,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b291,2023-06-06t00:30:00.000,68,lmml,landed,eggd,arrival
65e23e257a25c1a92386b292,2023-06-06t00:42:00.000,69,dtnh,landed,eggd,arrival
65e23e257a25c1a92386b293,2023-06-06t00:59:00.000,70,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b294,2023-06-06t01:24:00.000,71,leib,landed,eggd,arrival
65e23e257a25c1a92386b295,2023-06-06t01:18:00.000,72,lgkr,landed,eggd,arrival
65e23e257a25c1a92386b296,2023-06-06t01:46:00.000,73,leal,landed,eggd,arrival
65e23e257a25c1a92386b297,2023-06-06t02:22:00.000,74,gclp,landed,eggd,arrival
65e23e257a25c1a92386b298,2023-06-06t02:57:00.000,75,hegn,landed,eggd,arrival
65e23e257a25c1a92386b299,2023-06-06t02:48:00.000,76,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b29a,2023-06-06t23:42:00.000,77,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b29b,2023-06-07t01:07:00.000,78,lfmn,landed,eggd,arrival
65e23e257a25c1a92386b29c,2023-06-07t00:54:00.000,79,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b29d,2023-06-07t01:46:00.000,80,hesh,landed,eggd,arrival
65e23e257a25c1a92386b29e,2023-06-07t01:54:00.000,81,leal,landed,eggd,arrival
65e23e257a25c1a92386b29f,2023-06-07t01:12:00.000,82,ltfe,landed,eggd,arrival
65e23e257a25c1a92386b2a0,2023-06-07t01:38:00.000,83,lgrp,landed,eggd,arrival
65e23e257a25c1a92386b2a1,2023-06-07t01:36:00.000,84,gcts,landed,eggd,arrival
65e23e257a25c1a92386b2a2,2023-06-07t02:29:00.000,85,hegn,landed,eggd,arrival
65e23e257a25c1a92386b2a3,2023-06-07t02:54:00.000,86,gvac,landed,eggd,arrival
65e23e257a25c1a92386b2a4,2023-06-07t23:43:00.000,87,egph,landed,eggd,arrival
65e23e257a25c1a92386b2a5,2023-06-07t23:55:00.000,88,eddk,landed,eggd,arrival
65e23e257a25c1a92386b2a6,2023-06-07t23:49:00.000,89,lime,landed,eggd,arrival
65e23e257a25c1a92386b2a7,2023-06-08t00:06:00.000,90,lebl,landed,eggd,arrival
65e23e257a25c1a92386b2a8,2023-06-07t23:45:00.000,91,lemg,landed,eggd,arrival
65e23e257a25c1a92386b2a9,2023-06-08t00:40:00.000,92,lgkf,landed,eggd,arrival
65e23e257a25c1a92386b2aa,2023-06-08t01:23:00.000,93,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b2ab,2023-06-08t00:55:00.000,94,lclk,landed,eggd,arrival
65e23e257a25c1a92386b2ac,2023-06-08t01:50:00.000,95,leal,landed,eggd,arrival
65e23e257a25c1a92386b2ad,2023-06-08t01:26:00.000,96,ltai,landed,eggd,arrival
65e23e257a25c1a92386b2ae,2023-06-08t01:29:00.000,97,lcph,landed,eggd,arrival
65e23e257a25c1a92386b2af,2023-06-08t01:21:00.000,98,hesh,landed,eggd,arrival
65e23e257a25c1a92386b2b0,2023-06-08t01:44:00.000,99,gclp,landed,eggd,arrival
65e23e257a25c1a92386b2b1,2023-06-08t02:23:00.000,100,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b2b2,2023-06-08t02:06:00.000,101,lgav,landed,eggd,arrival
65e23e257a25c1a92386b2b3,2023-06-08t02:27:00.000,102,lgko,landed,eggd,arrival
65e23e257a25c1a92386b2b4,2023-06-08t23:52:00.000,103,egpf,landed,eggd,arrival
65e23e257a25c1a92386b2b5,2023-06-09t00:09:00.000,104,lipz,landed,eggd,arrival
65e23e257a25c1a92386b2b6,2023-06-08t23:32:00.000,105,leal,landed,eggd,arrival
65e23e257a25c1a92386b2b7,2023-06-09t00:05:00.000,106,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b2b8,2023-06-09t00:13:00.000,107,lgir,landed,eggd,arrival
65e23e257a25c1a92386b2b9,2023-06-09t00:25:00.000,108,lepa,landed,eggd,arrival
65e23e257a25c1a92386b2ba,2023-06-09t00:59:00.000,109,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b2bb,2023-06-09t01:42:00.000,110,ltai,landed,eggd,arrival
65e23e257a25c1a92386b2bc,2023-06-09t01:32:00.000,111,gclp,landed,eggd,arrival
65e23e257a25c1a92386b2bd,2023-06-09t02:36:00.000,112,ltfe,landed,eggd,arrival
65e23e257a25c1a92386b2be,2023-06-09t02:33:00.000,113,ltai,landed,eggd,arrival
65e23e257a25c1a92386b2bf,2023-06-09t03:31:00.000,114,lclk,landed,eggd,arrival
65e23e257a25c1a92386b2c0,2023-06-09t23:35:00.000,115,eham,landed,eggd,arrival
65e23e257a25c1a92386b2c1,2023-06-09t23:35:00.000,116,eham,landed,eggd,arrival
65e23e257a25c1a92386b2c2,2023-06-09t23:35:00.000,117,eham,landed,eggd,arrival
65e23e257a25c1a92386b2c3,2023-06-09t23:52:00.000,118,ltai,landed,eggd,arrival
65e23e257a25c1a92386b2c4,2023-06-09t23:38:00.000,119,lclk,landed,eggd,arrival
65e23e257a25c1a92386b2c5,2023-06-09t23:55:00.000,120,lemd,landed,eggd,arrival
65e23e257a25c1a92386b2c6,2023-06-10t00:28:00.000,121,gcts,landed,eggd,arrival
65e23e257a25c1a92386b2c7,2023-06-10t01:43:00.000,122,lgkr,landed,eggd,arrival
65e23e257a25c1a92386b2c8,2023-06-10t01:00:00.000,123,lgmk,landed,eggd,arrival
65e23e257a25c1a92386b2c9,2023-06-10t01:20:00.000,124,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b2ca,2023-06-10t01:36:00.000,125,leal,landed,eggd,arrival
65e23e257a25c1a92386b2cb,2023-06-10t02:26:00.000,126,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b2cc,2023-06-10t03:36:00.000,127,hegn,landed,eggd,arrival
65e23e257a25c1a92386b2cd,2023-06-11t00:03:00.000,128,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b2ce,2023-06-11t00:19:00.000,129,lege,landed,eggd,arrival
65e23e257a25c1a92386b2cf,2023-06-10t23:48:00.000,130,gcfv,landed,eggd,arrival
65e23e257a25c1a92386b2d0,2023-06-10t23:44:00.000,131,leal,landed,eggd,arrival
65e23e257a25c1a92386b2d1,2023-06-11t00:49:00.000,132,lgkf,landed,eggd,arrival
65e23e257a25c1a92386b2d2,2023-06-11t01:16:00.000,133,lgrp,landed,eggd,arrival
65e23e257a25c1a92386b2d3,2023-06-11t00:37:00.000,134,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b2d4,2023-06-11t00:51:00.000,135,gclp,landed,eggd,arrival
65e23e257a25c1a92386b2d5,2023-06-11t01:31:00.000,136,hesh,landed,eggd,arrival
65e23e257a25c1a92386b2d6,2023-06-11t01:21:00.000,137,leal,landed,eggd,arrival
65e23e257a25c1a92386b2d7,2023-06-11t01:49:00.000,138,lgrp,landed,eggd,arrival
65e23e257a25c1a92386b2d8,2023-06-11t01:45:00.000,139,hegn,landed,eggd,arrival
65e23e257a25c1a92386b2d9,2023-06-11t02:08:00.000,140,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b2da,2023-06-11t23:44:00.000,141,egnt,landed,eggd,arrival
65e23e257a25c1a92386b2db,2023-06-11t23:32:00.000,142,lgko,landed,eggd,arrival
65e23e257a25c1a92386b2dc,2023-06-12t00:00:00.000,143,gcrr,landed,eggd,arrival
65e23e257a25c1a92386b2dd,2023-06-12t00:55:00.000,144,leib,landed,eggd,arrival
65e23e257a25c1a92386b2de,2023-06-12t00:51:00.000,145,gcrr,landed,eggd,arrival
65e23e257a25c1a92386b2df,2023-06-12t01:21:00.000,146,lcph,landed,eggd,arrival
65e23e257a25c1a92386b2e0,2023-06-12t01:10:00.000,147,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b2e1,2023-06-12t00:24:00.000,148,gcts,landed,eggd,arrival
65e23e257a25c1a92386b2e2,2023-06-12t02:02:00.000,149,ltai,landed,eggd,arrival
65e23e257a25c1a92386b2e3,2023-06-12t01:58:00.000,150,ltai,landed,eggd,arrival
65e23e257a25c1a92386b2e4,2023-06-12t02:39:00.000,151,hesh,landed,eggd,arrival
65e23e257a25c1a92386b2e5,2023-06-12t04:35:00.000,152,lclk,landed,eggd,arrival
65e23e257a25c1a92386b2e6,2023-06-13t00:16:00.000,153,gmmx,landed,eggd,arrival
65e23e257a25c1a92386b2e7,2023-06-13t00:31:00.000,154,lmml,landed,eggd,arrival
65e23e257a25c1a92386b2e8,2023-06-13t02:41:00.000,155,gclp,landed,eggd,arrival
65e23e257a25c1a92386b2e9,2023-06-13t23:32:00.000,156,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b2ea,2023-06-13t23:53:00.000,157,egpf,landed,eggd,arrival
65e23e257a25c1a92386b2eb,2023-06-14t00:14:00.000,158,evra,landed,eggd,arrival
65e23e257a25c1a92386b2ec,2023-06-13t23:33:00.000,159,gcts,landed,eggd,arrival
65e23e257a25c1a92386b2ed,2023-06-14t00:17:00.000,160,eidw,landed,eggd,arrival
65e23e257a25c1a92386b2ee,2023-06-14t01:27:00.000,161,hesh,landed,eggd,arrival
65e23e257a25c1a92386b2ef,2023-06-14t01:35:00.000,162,leal,landed,eggd,arrival
65e23e257a25c1a92386b2f0,2023-06-14t01:40:00.000,163,lgrp,landed,eggd,arrival
65e23e257a25c1a92386b2f1,2023-06-14t01:22:00.000,164,gcts,landed,eggd,arrival
65e23e257a25c1a92386b2f2,2023-06-14t02:17:00.000,165,hegn,landed,eggd,arrival
65e23e257a25c1a92386b2f3,2023-06-14t02:02:00.000,166,ltai,landed,eggd,arrival
65e23e257a25c1a92386b2f4,2023-06-14t02:38:00.000,167,ltai,landed,eggd,arrival
65e23e257a25c1a92386b2f5,2023-06-14t02:08:00.000,168,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b2f6,2023-06-14t02:41:00.000,169,gvac,landed,eggd,arrival
65e23e257a25c1a92386b2f7,2023-06-14t23:38:00.000,170,eddk,landed,eggd,arrival
65e23e257a25c1a92386b2f8,2023-06-14t23:31:00.000,171,gcfv,landed,eggd,arrival
65e23e257a25c1a92386b2f9,2023-06-15t00:00:00.000,172,lebl,landed,eggd,arrival
65e23e257a25c1a92386b2fa,2023-06-15t00:51:00.000,173,lgkf,landed,eggd,arrival
65e23e257a25c1a92386b2fb,2023-06-15t00:38:00.000,174,lgir,landed,eggd,arrival
65e23e257a25c1a92386b2fc,2023-06-15t01:01:00.000,175,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b2fd,2023-06-15t01:24:00.000,176,lclk,landed,eggd,arrival
65e23e257a25c1a92386b2fe,2023-06-15t01:47:00.000,177,leal,landed,eggd,arrival
65e23e257a25c1a92386b2ff,2023-06-15t01:12:00.000,178,lcph,landed,eggd,arrival
65e23e257a25c1a92386b300,2023-06-15t01:16:00.000,179,hesh,landed,eggd,arrival
65e23e257a25c1a92386b301,2023-06-15t01:34:00.000,180,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b302,2023-06-15t02:24:00.000,181,lgav,landed,eggd,arrival
65e23e257a25c1a92386b303,2023-06-15t02:40:00.000,182,ltai,landed,eggd,arrival
65e23e257a25c1a92386b304,2023-06-15t02:29:00.000,183,lgko,landed,eggd,arrival
65e23e257a25c1a92386b305,2023-06-15t23:37:00.000,184,lgko,landed,eggd,arrival
65e23e257a25c1a92386b306,2023-06-15t23:55:00.000,185,lipz,landed,eggd,arrival
65e23e257a25c1a92386b307,2023-06-15t23:46:00.000,186,lgsk,landed,eggd,arrival
65e23e257a25c1a92386b308,2023-06-15t23:59:00.000,187,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b309,2023-06-16t00:10:00.000,188,ltfe,landed,eggd,arrival
65e23e257a25c1a92386b30a,2023-06-16t00:05:00.000,189,lgir,landed,eggd,arrival
65e23e257a25c1a92386b30b,2023-06-16t00:46:00.000,190,lepa,landed,eggd,arrival
65e23e257a25c1a92386b30c,2023-06-16t00:32:00.000,191,gcrr,landed,eggd,arrival
65e23e257a25c1a92386b30d,2023-06-16t01:10:00.000,192,ltai,landed,eggd,arrival
65e23e257a25c1a92386b30e,2023-06-16t01:26:00.000,193,gclp,landed,eggd,arrival
65e23e257a25c1a92386b30f,2023-06-16t02:44:00.000,194,ltfe,landed,eggd,arrival
65e23e257a25c1a92386b310,2023-06-16t02:30:00.000,195,ltai,landed,eggd,arrival
65e23e257a25c1a92386b311,2023-06-16t23:33:00.000,196,lfrs,landed,eggd,arrival
65e23e257a25c1a92386b312,2023-06-16t23:50:00.000,197,egaa,landed,eggd,arrival
65e23e257a25c1a92386b313,2023-06-16t23:55:00.000,198,lgrp,landed,eggd,arrival
65e23e257a25c1a92386b314,2023-06-17t00:03:00.000,199,lebl,landed,eggd,arrival
65e23e257a25c1a92386b315,2023-06-16t23:44:00.000,200,lddu,landed,eggd,arrival
65e23e257a25c1a92386b316,2023-06-17t00:18:00.000,201,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b317,2023-06-16t23:52:00.000,202,lemg,landed,eggd,arrival
65e23e257a25c1a92386b318,2023-06-17t00:00:00.000,203,gcts,landed,eggd,arrival
65e23e257a25c1a92386b319,2023-06-17t00:42:00.000,204,lege,landed,eggd,arrival
65e23e257a25c1a92386b31a,2023-06-17t01:19:00.000,205,lgrp,landed,eggd,arrival
65e23e257a25c1a92386b31b,2023-06-17t01:24:00.000,206,lgkr,landed,eggd,arrival
65e23e257a25c1a92386b31c,2023-06-17t00:48:00.000,207,lgmk,landed,eggd,arrival
65e23e257a25c1a92386b31d,2023-06-17t01:09:00.000,208,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b31e,2023-06-17t01:21:00.000,209,leal,landed,eggd,arrival
65e23e257a25c1a92386b31f,2023-06-17t03:09:00.000,210,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b320,2023-06-17t03:28:00.000,211,hegn,landed,eggd,arrival
65e23e257a25c1a92386b321,2023-06-17t23:32:00.000,212,lemh,landed,eggd,arrival
65e23e257a25c1a92386b322,2023-06-17t23:43:00.000,213,lppr,landed,eggd,arrival
65e23e257a25c1a92386b323,2023-06-18t00:02:00.000,214,lgrp,landed,eggd,arrival
65e23e257a25c1a92386b324,2023-06-18t00:04:00.000,215,lepa,landed,eggd,arrival
65e23e257a25c1a92386b325,2023-06-17t23:52:00.000,216,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b326,2023-06-17t23:59:00.000,217,lcph,landed,eggd,arrival
65e23e257a25c1a92386b327,2023-06-17t23:57:00.000,218,gcfv,landed,eggd,arrival
65e23e257a25c1a92386b328,2023-06-17t23:49:00.000,219,leal,landed,eggd,arrival
65e23e257a25c1a92386b329,2023-06-18t00:19:00.000,220,leib,landed,eggd,arrival
65e23e257a25c1a92386b32a,2023-06-18t00:57:00.000,221,lgkf,landed,eggd,arrival
65e23e257a25c1a92386b32b,2023-06-18t00:42:00.000,222,gclp,landed,eggd,arrival
65e23e257a25c1a92386b32c,2023-06-18t00:52:00.000,223,hesh,landed,eggd,arrival
65e23e257a25c1a92386b32d,2023-06-18t01:46:00.000,224,lgrp,landed,eggd,arrival
65e23e257a25c1a92386b32e,2023-06-18t23:38:00.000,225,eham,landed,eggd,arrival
65e23e257a25c1a92386b32f,2023-06-18t23:38:00.000,226,eham,landed,eggd,arrival
65e23e257a25c1a92386b330,2023-06-18t23:38:00.000,227,eham,landed,eggd,arrival
65e23e257a25c1a92386b331,2023-06-18t23:35:00.000,228,lemd,landed,eggd,arrival
65e23e257a25c1a92386b332,2023-06-18t23:51:00.000,229,lcph,landed,eggd,arrival
65e23e257a25c1a92386b333,2023-06-18t23:47:00.000,230,gcrr,landed,eggd,arrival
65e23e257a25c1a92386b334,2023-06-18t23:41:00.000,231,leal,landed,eggd,arrival
65e23e257a25c1a92386b335,2023-06-19t00:39:00.000,232,gcrr,landed,eggd,arrival
65e23e257a25c1a92386b336,2023-06-19t01:17:00.000,233,lcph,landed,eggd,arrival
65e23e257a25c1a92386b337,2023-06-19t00:54:00.000,234,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b338,2023-06-19t01:06:00.000,235,gcts,landed,eggd,arrival
65e23e257a25c1a92386b339,2023-06-19t03:03:00.000,236,hesh,landed,eggd,arrival
65e23e257a25c1a92386b33a,2023-06-19t04:05:00.000,237,lclk,landed,eggd,arrival
65e23e257a25c1a92386b33b,2023-06-19t23:42:00.000,238,lemd,landed,eggd,arrival
65e23e257a25c1a92386b33c,2023-06-19t23:33:00.000,239,ltai,landed,eggd,arrival
65e23e257a25c1a92386b33d,2023-06-19t23:30:00.000,240,gmmx,landed,eggd,arrival
65e23e257a25c1a92386b33e,2023-06-19t23:44:00.000,241,lebl,landed,eggd,arrival
65e23e257a25c1a92386b33f,2023-06-19t23:38:00.000,242,ltai,landed,eggd,arrival
65e23e257a25c1a92386b340,2023-06-19t23:59:00.000,243,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b341,2023-06-20t00:05:00.000,244,lmml,landed,eggd,arrival
65e23e257a25c1a92386b342,2023-06-20t00:54:00.000,245,dtnh,landed,eggd,arrival
65e23e257a25c1a92386b343,2023-06-20t01:07:00.000,246,lpfr,landed,eggd,arrival
65e23e257a25c1a92386b344,2023-06-20t01:39:00.000,247,lbbg,landed,eggd,arrival
65e23e257a25c1a92386b345,2023-06-20t01:52:00.000,248,leib,landed,eggd,arrival
65e23e257a25c1a92386b346,2023-06-20t01:30:00.000,249,lgkr,landed,eggd,arrival
65e23e257a25c1a92386b347,2023-06-20t02:34:00.000,250,gclp,landed,eggd,arrival
65e23e257a25c1a92386b348,2023-06-20t02:43:00.000,251,hegn,landed,eggd,arrival
65e23e257a25c1a92386b349,2023-06-20t03:13:00.000,252,ltbs,landed,eggd,arrival
65e23e257a25c1a92386b34a,2023-06-20t23:54:00.000,253,egpf,landed,eggd,arrival
65e23e257a25c1a92386b34b,2023-06-20t23:32:00.000,254,evra,landed,eggd,arrival
