Date,Total,night,shoulder,regular
30/04/2024,222.0,22.0,5.0,193.0
29/04/2024,222.0,22.0,5.0,193.0
28/04/2024,222.0,22.0,5.0,193.0
27/04/2024,192.0,23.0,6.0,163.0
26/04/2024,243.0,21.0,11.0,211.0
25/04/2024,202.0,15.0,10.0,177.0
24/04/2024,232.0,18.0,5.0,209.0
23/04/2024,214.0,19.0,6.0,189.0
22/04/2024,226.0,20.0,2.0,204.0
21/04/2024,211.0,15.0,8.0,188.0
20/04/2024,196.0,25.0,5.0,166.0
19/04/2024,214.0,23.0,4.0,187.0
18/04/2024,225.0,20.0,7.0,198.0
17/04/2024,206.0,20.0,2.0,184.0
16/04/2024,191.0,20.0,5.0,166.0
15/04/2024,218.0,19.0,1.0,198.0
14/04/2024,236.0,18.0,9.0,209.0
13/04/2024,197.0,22.0,7.0,168.0
12/04/2024,244.0,19.0,8.0,217.0
11/04/2024,225.0,19.0,10.0,196.0
10/04/2024,236.0,19.0,6.0,211.0
09/04/2024,216.0,24.0,3.0,189.0
08/04/2024,238.0,19.0,7.0,212.0
07/04/2024,172.0,17.0,8.0,147.0
06/04/2024,138.0,14.0,5.0,119.0
05/04/2024,220.0,21.0,6.0,193.0
04/04/2024,193.0,12.0,5.0,176.0
03/04/2024,229.0,20.0,6.0,203.0
02/04/2024,207.0,20.0,2.0,185.0
01/04/2024,227.0,19.0,4.0,204.0
31/05/2024,267.0,24.0,7.0,236.0
30/05/2024,248.0,28.0,8.0,212.0
29/05/2024,252.0,26.0,4.0,222.0
28/05/2024,247.0,29.0,5.0,213.0
27/05/2024,253.0,32.0,4.0,217.0
26/05/2024,186.0,24.0,0.0,162.0
25/05/2024,214.0,21.0,6.0,187.0
24/05/2024,248.0,32.0,4.0,212.0
23/05/2024,243.0,26.0,7.0,210.0
22/05/2024,242.0,24.0,8.0,210.0
21/05/2024,230.0,25.0,3.0,202.0
20/05/2024,232.0,24.0,3.0,205.0
19/05/2024,240.0,20.0,9.0,211.0
18/05/2024,213.0,23.0,3.0,187.0
17/05/2024,224.0,18.0,7.0,199.0
16/05/2024,242.0,28.0,3.0,211.0
15/05/2024,251.0,27.0,5.0,219.0
14/05/2024,231.0,28.0,8.0,195.0
13/05/2024,227.0,27.0,2.0,198.0
12/05/2024,242.0,23.0,7.0,212.0
11/05/2024,203.0,26.0,9.0,168.0
10/05/2024,264.0,26.0,7.0,231.0
09/05/2024,247.0,25.0,8.0,214.0
08/05/2024,223.0,24.0,5.0,194.0
07/05/2024,227.0,26.0,6.0,195.0
06/05/2024,251.0,27.0,7.0,217.0
05/05/2024,251.0,18.0,7.0,226.0
04/05/2024,212.0,21.0,9.0,182.0
03/05/2024,219.0,20.0,0.0,199.0
02/05/2024,212.0,21.0,3.0,188.0
01/05/2024,229.0,24.0,3.0,202.0
10/06/2024,174.0,28.0,1.0,45.0
09/06/2024,222.0,22.0,5.0,193.0
08/06/2024,222.0,22.0,5.0,193.0
07/06/2024,222.0,22.0,5.0,193.0
06/06/2024,222.0,22.0,5.0,193.0
05/06/2024,141.0,27.0,3.0,111.0
04/06/2024,222.0,22.0,5.0,193.0
03/06/2024,212.0,1.0,0.0,211.0
02/06/2024,252.0,26.0,9.0,217.0
01/06/2024,209.0,30.0,6.0,173.0
