flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22726,easyjet,landed,2023-06-15t01:15:00.000,2023-06-15t01:51:00.000,2023-06-15 01:47:00,2023-06-15,01:47:00,32,Night hour departures
u22902,easyjet,landed,2023-06-15t01:15:00.000,2023-06-15t01:10:00.000,2023-06-15 01:12:00,2023-06-15,01:12:00,0,Night hour departures
x3227,tuifly,landed,2023-06-15t01:25:00.000,2023-06-15t01:16:00.000,2023-06-15 01:16:00,2023-06-15,01:16:00,0,Night hour departures
u22850,easyjet,landed,2023-06-15t01:35:00.000,2023-06-15t01:33:00.000,2023-06-15 01:34:00,2023-06-15,01:34:00,0,Night hour departures
u22804,easyjet,landed,2023-06-15t01:50:00.000,2023-06-15t02:28:00.000,2023-06-15 02:24:00,2023-06-15,02:24:00,35,Night hour departures
ls1810,jet2,landed,2023-06-15t02:00:00.000,2023-06-15t02:39:00.000,2023-06-15 02:40:00,2023-06-15,02:40:00,40,Night hour departures
x36343,tuifly,landed,2023-06-15t02:25:00.000,2023-06-15t02:36:00.000,2023-06-15 02:29:00,2023-06-15,02:29:00,4,Night hour departures
fr1590,ryanair,landed,2023-06-15t07:05:00.000,2023-06-15t06:58:00.000,2023-06-15 06:56:00,2023-06-15,06:56:00,0,Shoulder hour flights
fr2291,ryanair,landed,2023-06-15t07:35:00.000,2023-06-15t07:27:00.000,2023-06-15 07:29:00,2023-06-15,07:29:00,0,Regular departures
fr7948,ryanair,landed,2023-06-15t07:40:00.000,2023-06-15t07:24:00.000,2023-06-15 07:25:00,2023-06-15,07:25:00,0,Regular departures
ba8936,british airways,landed,2023-06-15t07:55:00.000,2023-06-15t07:49:00.000,2023-06-15 07:49:00,2023-06-15,07:49:00,0,Regular departures
ei3280,aer lingus,landed,2023-06-15t07:55:00.000,2023-06-15t07:49:00.000,2023-06-15 07:49:00,2023-06-15,07:49:00,0,Regular departures
fr4148,ryanair,landed,2023-06-15t08:45:00.000,2023-06-15t08:33:00.000,2023-06-15 08:30:00,2023-06-15,08:30:00,0,Regular departures
af3161,air france,landed,2023-06-15t08:45:00.000,2023-06-15t08:53:00.000,2023-06-15 08:47:00,2023-06-15,08:47:00,3,Regular departures
dl9629,delta air lines,landed,2023-06-15t08:45:00.000,2023-06-15t08:53:00.000,2023-06-15 08:47:00,2023-06-15,08:47:00,3,Regular departures
ey7395,etihad airways,landed,2023-06-15t08:45:00.000,2023-06-15t08:53:00.000,2023-06-15 08:47:00,2023-06-15,08:47:00,3,Regular departures
vs7040,virgin atlantic,landed,2023-06-15t08:45:00.000,2023-06-15t08:53:00.000,2023-06-15 08:47:00,2023-06-15,08:47:00,3,Regular departures
kl1049,klm,landed,2023-06-15t08:45:00.000,2023-06-15t08:53:00.000,2023-06-15 08:47:00,2023-06-15,08:47:00,3,Regular departures
u21723,easyjet,landed,2023-06-15t08:50:00.000,2023-06-15t08:38:00.000,2023-06-15 08:39:00,2023-06-15,08:39:00,0,Regular departures
lh970,lufthansa,landed,2023-06-15t09:00:00.000,2023-06-15t09:00:00.000,2023-06-15 08:54:00,2023-06-15,08:54:00,0,Regular departures
u27191,easyjet,landed,2023-06-15t09:05:00.000,2023-06-15t09:00:00.000,2023-06-15 08:58:00,2023-06-15,08:58:00,0,Regular departures
fr504,ryanair,landed,2023-06-15t09:20:00.000,2023-06-15t09:17:00.000,2023-06-15 09:18:00,2023-06-15,09:18:00,0,Regular departures
u2224,easyjet,landed,2023-06-15t09:45:00.000,2023-06-15t09:39:00.000,2023-06-15 09:35:00,2023-06-15,09:35:00,0,Regular departures
u2202,easyjet,landed,2023-06-15t10:05:00.000,2023-06-15t09:59:00.000,2023-06-15 10:00:00,2023-06-15,10:00:00,0,Regular departures
u2214,easyjet,landed,2023-06-15t10:05:00.000,2023-06-15t09:49:00.000,2023-06-15 09:46:00,2023-06-15,09:46:00,0,Regular departures
u22922,easyjet,landed,2023-06-15t10:15:00.000,2023-06-15t10:10:00.000,2023-06-15 10:11:00,2023-06-15,10:11:00,0,Regular departures
u22774,easyjet,landed,2023-06-15t10:30:00.000,2023-06-15t10:27:00.000,2023-06-15 10:26:00,2023-06-15,10:26:00,0,Regular departures
u22928,easyjet,landed,2023-06-15t10:50:00.000,2023-06-15t11:03:00.000,2023-06-15 11:00:00,2023-06-15,11:00:00,10,Regular departures
fr6027,ryanair,landed,2023-06-15t11:10:00.000,2023-06-15t11:04:00.000,2023-06-15 11:04:00,2023-06-15,11:04:00,0,Regular departures
u22710,easyjet,landed,2023-06-15t11:30:00.000,2023-06-15t11:25:00.000,2023-06-15 11:21:00,2023-06-15,11:21:00,0,Regular departures
ls1880,jet2,landed,2023-06-15t11:35:00.000,2023-06-15t11:53:00.000,2023-06-15 11:55:00,2023-06-15,11:55:00,21,Regular departures
u22782,easyjet,landed,2023-06-15t11:35:00.000,2023-06-15t11:50:00.000,2023-06-15 11:46:00,2023-06-15,11:46:00,12,Regular departures
u24979,easyjet,landed,2023-06-15t11:40:00.000,2023-06-15t11:29:00.000,2023-06-15 11:30:00,2023-06-15,11:30:00,0,Regular departures
fr4122,ryanair,landed,2023-06-15t11:50:00.000,2023-06-15t11:49:00.000,2023-06-15 11:51:00,2023-06-15,11:51:00,2,Regular departures
u22701,easyjet,landed,2023-06-15t11:55:00.000,2023-06-15t12:05:00.000,2023-06-15 12:06:00,2023-06-15,12:06:00,12,Regular departures
fr3386,ryanair,landed,2023-06-15t12:00:00.000,2023-06-15t12:12:00.000,2023-06-15 12:14:00,2023-06-15,12:14:00,14,Regular departures
fr8203,ryanair,landed,2023-06-15t12:05:00.000,2023-06-15t11:58:00.000,2023-06-15 11:59:00,2023-06-15,11:59:00,0,Regular departures
u22892,easyjet,landed,2023-06-15t12:05:00.000,2023-06-15t12:05:00.000,2023-06-15 12:03:00,2023-06-15,12:03:00,0,Regular departures
u22716,easyjet,landed,2023-06-15t12:10:00.000,2023-06-15t12:32:00.000,2023-06-15 12:33:00,2023-06-15,12:33:00,23,Regular departures
u22840,easyjet,landed,2023-06-15t12:10:00.000,2023-06-15t13:04:00.000,2023-06-15 13:00:00,2023-06-15,13:00:00,50,Regular departures
u22934,easyjet,landed,2023-06-15t12:15:00.000,2023-06-15t12:22:00.000,2023-06-15 12:23:00,2023-06-15,12:23:00,9,Regular departures
u22838,easyjet,landed,2023-06-15t12:20:00.000,2023-06-15t12:13:00.000,2023-06-15 12:18:00,2023-06-15,12:18:00,0,Regular departures
ls1822,jet2,landed,2023-06-15t12:25:00.000,2023-06-15t12:25:00.000,2023-06-15 12:28:00,2023-06-15,12:28:00,3,Regular departures
u22844,easyjet,landed,2023-06-15t12:40:00.000,2023-06-15t13:03:00.000,2023-06-15 13:04:00,2023-06-15,13:04:00,24,Regular departures
u22940,easyjet,landed,2023-06-15t12:50:00.000,2023-06-15t12:44:00.000,2023-06-15 12:38:00,2023-06-15,12:38:00,0,Regular departures
ls1872,jet2,landed,2023-06-15t13:00:00.000,2023-06-15t13:07:00.000,2023-06-15 13:08:00,2023-06-15,13:08:00,9,Regular departures
dl9356,delta air lines,landed,2023-06-15t13:10:00.000,2023-06-15t13:11:00.000,2023-06-15 13:12:00,2023-06-15,13:12:00,3,Regular departures
