Date,Total,night,shoulder,regular
30/04/2024,,,,
29/04/2024,,,,
28/04/2024,,,,
27/04/2024,192,23,6,163
26/04/2024,243,21,11,211
25/04/2024,202,15,10,177
24/04/2024,232,18,5,209
23/04/2024,214,19,6,189
22/04/2024,226,20,2,204
21/04/2024,211,15,8,188
20/04/2024,196,25,5,166
19/04/2024,214,23,4,187
18/04/2024,225,20,7,198
17/04/2024,206,20,2,184
16/04/2024,191,20,5,166
15/04/2024,218,19,1,198
14/04/2024,236,18,9,209
13/04/2024,197,22,7,168
12/04/2024,244,19,8,217
11/04/2024,225,19,10,196
10/04/2024,236,19,6,211
09/04/2024,216,24,3,189
08/04/2024,238,19,7,212
07/04/2024,172,17,8,147
06/04/2024,138,14,5,119
05/04/2024,220,21,6,193
04/04/2024,193,12,5,176
03/04/2024,229,20,6,203
02/04/2024,207,20,2,185
01/04/2024,227,19,4,204
31/05/2024,267,24,7,236
30/05/2024,248,28,8,212
29/05/2024,252,26,4,222
28/05/2024,247,29,5,213
27/05/2024,253,32,4,217
26/05/2024,186,24,0,162
25/05/2024,214,21,6,187
24/05/2024,248,32,4,212
23/05/2024,243,26,7,210
22/05/2024,242,24,8,210
21/05/2024,230,25,3,202
20/05/2024,232,24,3,205
19/05/2024,240,20,9,211
18/05/2024,213,23,3,187
17/05/2024,224,18,7,199
16/05/2024,242,28,3,211
15/05/2024,251,27,5,219
14/05/2024,231,28,8,195
13/05/2024,227,27,2,198
12/05/2024,242,23,7,212
11/05/2024,203,26,9,168
10/05/2024,264,26,7,231
09/05/2024,247,25,8,214
08/05/2024,223,24,5,194
07/05/2024,227,26,6,195
06/05/2024,251,27,7,217
05/05/2024,251,18,7,226
04/05/2024,212,21,9,182
03/05/2024,219,20,0,199
02/05/2024,212,21,3,188
01/05/2024,229,24,3,202
10/06/2024,174,28,1,45
09/06/2024,,,,
08/06/2024,,,,
07/06/2024,,,,
06/06/2024,,,,
05/06/2024,141,27,3,111
04/06/2024,,,,
03/06/2024,212,1,0,211
02/06/2024,252,26,9,217
01/06/2024,209,30,6,173
