Flight Type,IATA Code,Aircraft Details
Arrival,U22946,No aircraft details
Arrival,AZ3782,No aircraft details
Arrival,U22716,No aircraft details
Arrival,,No aircraft details
Arrival,RR8682,No aircraft details
Arrival,U22722,No aircraft details
Arrival,FR3559,No aircraft details
Arrival,FR6220,No aircraft details
Arrival,FR8682,No aircraft details
Arrival,U25527,No aircraft details
Arrival,U22886,No aircraft details
Arrival,FR2291,"{'registration': 'EI-IHB', 'iata': 'B38M', 'icao': 'B38M', 'icao24': '4CADE7'}"
Arrival,,No aircraft details
Arrival,FR4148,"{'registration': 'EI-EKX', 'iata': 'B738', 'icao': 'B738', 'icao24': '4CA816'}"
Arrival,X36347,No aircraft details
Arrival,FR506,No aircraft details
Arrival,U22934,No aircraft details
Arrival,U27267,"{'registration': 'OE-LKC', 'iata': 'A319', 'icao': 'A319', 'icao24': '440484'}"
Arrival,FR8235,No aircraft details
Arrival,U22812,No aircraft details
Arrival,U22710,No aircraft details
Arrival,U22922,No aircraft details
Arrival,FR8225,No aircraft details
Arrival,U22902,"{'registration': 'G-UZLA', 'iata': 'A20N', 'icao': 'A20N', 'icao24': '407793'}"
Arrival,U22932,"{'registration': 'G-EZUA', 'iata': 'A320', 'icao': 'A320', 'icao24': '40643C'}"
Arrival,XQ584,No aircraft details
Arrival,U24051,No aircraft details
Arrival,U27847,No aircraft details
Arrival,U24979,No aircraft details
Arrival,U2208,No aircraft details
Arrival,U22802,No aircraft details
Arrival,LS1810,No aircraft details
Arrival,VS6897,No aircraft details
Arrival,KQ1051,No aircraft details
Arrival,DL9203,No aircraft details
Arrival,U22942,No aircraft details
Arrival,LS1870,No aircraft details
Arrival,FR8245,No aircraft details
Arrival,U22720,"{'registration': 'G-EZWP', 'iata': 'A320', 'icao': 'A320', 'icao24': '406A91'}"
Arrival,,No aircraft details
Arrival,DL9298,No aircraft details
Arrival,FR4130,No aircraft details
Arrival,EI3284,No aircraft details
Arrival,U2224,No aircraft details
Arrival,EI3286,No aircraft details
Arrival,QR9658,No aircraft details
Arrival,BA8942,No aircraft details
Arrival,U22706,No aircraft details
Arrival,X36385,No aircraft details
Arrival,,No aircraft details
Arrival,FR746,No aircraft details
Arrival,U2210,No aircraft details
