flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22902,easyjet,landed,2024-02-18t00:10:00.000,2024-02-17t23:46:00.000,2024-02-17 23:48:00,2024-02-17,23:48:00,0,Night hour departures
u22914,easyjet,landed,2024-02-18t01:00:00.000,2024-02-18t01:03:00.000,2024-02-18 01:03:00,2024-02-18,01:03:00,4,Night hour departures
fr504,ryanair,landed,2024-02-18t07:35:00.000,2024-02-18t07:34:00.000,2024-02-18 07:35:00,2024-02-18,07:35:00,1,Regular departures
ba8936,british airways,landed,2024-02-18t08:00:00.000,2024-02-18t08:00:00.000,2024-02-18 08:00:00,2024-02-18,08:00:00,0,Regular departures
ei3280,aer lingus,landed,2024-02-18t08:00:00.000,2024-02-18t08:00:00.000,2024-02-18 08:00:00,2024-02-18,08:00:00,0,Regular departures
u24057,easyjet,landed,2024-02-18t09:10:00.000,2024-02-18t08:53:00.000,2024-02-18 08:54:00,2024-02-18,08:54:00,0,Regular departures
u2321,easyjet,landed,2024-02-18t09:45:00.000,2024-02-18t09:26:00.000,2024-02-18 09:27:00,2024-02-18,09:27:00,0,Regular departures
u2202,easyjet,landed,2024-02-18t10:00:00.000,2024-02-18t09:36:00.000,2024-02-18 09:38:00,2024-02-18,09:38:00,0,Regular departures
u22890,easyjet,landed,2024-02-18t11:15:00.000,2024-02-18t11:18:00.000,2024-02-18 11:14:00,2024-02-18,11:14:00,0,Regular departures
u24895,easyjet,landed,2024-02-18t11:20:00.000,2024-02-18t11:02:00.000,2024-02-18 11:04:00,2024-02-18,11:04:00,0,Regular departures
x36737,tuifly,landed,2024-02-18t11:25:00.000,2024-02-18t11:21:00.000,2024-02-18 11:22:00,2024-02-18,11:22:00,0,Regular departures
u22774,easyjet,landed,2024-02-18t11:30:00.000,2024-02-18t11:46:00.000,2024-02-18 11:46:00,2024-02-18,11:46:00,16,Regular departures
u299,easyjet,landed,2024-02-18t11:50:00.000,2024-02-18t11:34:00.000,2024-02-18 11:09:00,2024-02-18,11:09:00,0,Regular departures
u22952,easyjet,landed,2024-02-18t12:05:00.000,2024-02-18t12:10:00.000,2024-02-18 12:11:00,2024-02-18,12:11:00,7,Regular departures
fr4134,ryanair,landed,2024-02-18t12:15:00.000,2024-02-18t12:15:00.000,2024-02-18 12:17:00,2024-02-18,12:17:00,2,Regular departures
u22962,easyjet,landed,2024-02-18t12:15:00.000,2024-02-18t12:24:00.000,2024-02-18 12:24:00,2024-02-18,12:24:00,10,Regular departures
x36741,tuifly,landed,2024-02-18t12:20:00.000,2024-02-18t12:17:00.000,2024-02-18 12:21:00,2024-02-18,12:21:00,1,Regular departures
u22704,easyjet,landed,2024-02-18t12:25:00.000,2024-02-18t12:07:00.000,2024-02-18 12:08:00,2024-02-18,12:08:00,0,Regular departures
u22714,easyjet,landed,2024-02-18t12:35:00.000,2024-02-18t12:45:00.000,2024-02-18 12:45:00,2024-02-18,12:45:00,11,Regular departures
fr2291,ryanair,landed,2024-02-18t12:40:00.000,2024-02-18t12:37:00.000,2024-02-18 12:36:00,2024-02-18,12:36:00,0,Regular departures
u22884,easyjet,landed,2024-02-18t13:05:00.000,2024-02-18t13:08:00.000,2024-02-18 13:08:00,2024-02-18,13:08:00,4,Regular departures
u22948,easyjet,landed,2024-02-18t13:05:00.000,2024-02-18t12:47:00.000,2024-02-18 12:49:00,2024-02-18,12:49:00,0,Regular departures
u22946,easyjet,landed,2024-02-18t13:10:00.000,2024-02-18t12:48:00.000,2024-02-18 12:53:00,2024-02-18,12:53:00,0,Regular departures
dl9356,delta air lines,landed,2024-02-18t13:15:00.000,2024-02-18t13:17:00.000,2024-02-18 13:15:00,2024-02-18,13:15:00,0,Regular departures
ey7011,etihad airways,landed,2024-02-18t13:15:00.000,2024-02-18t13:17:00.000,2024-02-18 13:15:00,2024-02-18,13:15:00,0,Regular departures
g35514,gol,landed,2024-02-18t13:15:00.000,2024-02-18t13:17:00.000,2024-02-18 13:15:00,2024-02-18,13:15:00,0,Regular departures
kq1051,kenya airways,landed,2024-02-18t13:15:00.000,2024-02-18t13:17:00.000,2024-02-18 13:15:00,2024-02-18,13:15:00,0,Regular departures
vs7041,virgin atlantic,landed,2024-02-18t13:15:00.000,2024-02-18t13:17:00.000,2024-02-18 13:15:00,2024-02-18,13:15:00,0,Regular departures
kl1051,klm,landed,2024-02-18t13:15:00.000,2024-02-18t13:17:00.000,2024-02-18 13:15:00,2024-02-18,13:15:00,0,Regular departures
u22940,easyjet,landed,2024-02-18t13:25:00.000,2024-02-18t13:41:00.000,2024-02-18 13:42:00,2024-02-18,13:42:00,18,Regular departures
u22872,easyjet,landed,2024-02-18t13:30:00.000,2024-02-18t13:27:00.000,2024-02-18 13:28:00,2024-02-18,13:28:00,0,Regular departures
x36787,tuifly,landed,2024-02-18t13:35:00.000,2024-02-18t13:21:00.000,2024-02-18 13:22:00,2024-02-18,13:22:00,0,Regular departures
u21443,easyjet,landed,2024-02-18t13:55:00.000,2024-02-18t14:23:00.000,2024-02-18 14:19:00,2024-02-18,14:19:00,24,Regular departures
u22926,easyjet,landed,2024-02-18t14:00:00.000,2024-02-18t13:45:00.000,2024-02-18 13:39:00,2024-02-18,13:39:00,0,Regular departures
fr4756,ryanair,landed,2024-02-18t14:20:00.000,2024-02-18t14:10:00.000,2024-02-18 14:12:00,2024-02-18,14:12:00,0,Regular departures
u2238,easyjet,landed,2024-02-18t14:35:00.000,2024-02-18t14:38:00.000,2024-02-18 14:36:00,2024-02-18,14:36:00,1,Regular departures
fr506,ryanair,landed,2024-02-18t15:10:00.000,2024-02-18t15:29:00.000,2024-02-18 15:30:00,2024-02-18,15:30:00,21,Regular departures
ba8940,british airways,landed,2024-02-18t15:20:00.000,2024-02-18t14:59:00.000,2024-02-18 15:01:00,2024-02-18,15:01:00,0,Regular departures
ei3284,aer lingus,landed,2024-02-18t15:20:00.000,2024-02-18t14:59:00.000,2024-02-18 15:01:00,2024-02-18,15:01:00,0,Regular departures
u2319,easyjet,landed,2024-02-18t16:00:00.000,2024-02-18t15:42:00.000,2024-02-18 15:40:00,2024-02-18,15:40:00,0,Regular departures
u22868,easyjet,landed,2024-02-18t16:15:00.000,2024-02-18t16:18:00.000,2024-02-18 16:21:00,2024-02-18,16:21:00,7,Regular departures
u2204,easyjet,landed,2024-02-18t16:20:00.000,2024-02-18t16:38:00.000,2024-02-18 16:43:00,2024-02-18,16:43:00,23,Regular departures
xq584,sunexpress,landed,2024-02-18t16:30:00.000,2024-02-18t16:47:00.000,2024-02-18 16:48:00,2024-02-18,16:48:00,19,Regular departures
u2232,easyjet,landed,2024-02-18t16:40:00.000,2024-02-18t16:31:00.000,2024-02-18 16:32:00,2024-02-18,16:32:00,0,Regular departures
dl9234,delta air lines,landed,2024-02-18t16:45:00.000,2024-02-18t17:05:00.000,2024-02-18 17:06:00,2024-02-18,17:06:00,21,Regular departures
