flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
ba8936,british airways,landed,2024-03-20t07:35:00.000,2024-03-20t07:17:00.000,2024-03-20 07:20:00,2024-03-20,07:20:00,0,Regular departures
ei3280,aer lingus,landed,2024-03-20t07:35:00.000,2024-03-20t07:17:00.000,2024-03-20 07:20:00,2024-03-20,07:20:00,0,Regular departures
af3161,air france,landed,2024-03-20t08:30:00.000,2024-03-20t08:20:00.000,2024-03-20 08:21:00,2024-03-20,08:21:00,0,Regular departures
dl9629,delta air lines,landed,2024-03-20t08:30:00.000,2024-03-20t08:20:00.000,2024-03-20 08:21:00,2024-03-20,08:21:00,0,Regular departures
ey7395,etihad airways,landed,2024-03-20t08:30:00.000,2024-03-20t08:20:00.000,2024-03-20 08:21:00,2024-03-20,08:21:00,0,Regular departures
vs7040,virgin atlantic,landed,2024-03-20t08:30:00.000,2024-03-20t08:20:00.000,2024-03-20 08:21:00,2024-03-20,08:21:00,0,Regular departures
zq1049,german airways,landed,2024-03-20t08:30:00.000,2024-03-20t08:20:00.000,2024-03-20 08:21:00,2024-03-20,08:21:00,0,Regular departures
u2323,easyjet,landed,2024-03-20t08:35:00.000,2024-03-20t08:15:00.000,2024-03-20 08:15:00,2024-03-20,08:15:00,0,Regular departures
fr504,ryanair,landed,2024-03-20t08:55:00.000,2024-03-20t08:40:00.000,2024-03-20 08:41:00,2024-03-20,08:41:00,0,Regular departures
u2202,easyjet,landed,2024-03-20t10:00:00.000,2024-03-20t09:51:00.000,2024-03-20 09:46:00,2024-03-20,09:46:00,0,Regular departures
u2238,easyjet,landed,2024-03-20t10:25:00.000,2024-03-20t10:08:00.000,2024-03-20 10:09:00,2024-03-20,10:09:00,0,Regular departures
u22784,easyjet,landed,2024-03-20t10:25:00.000,2024-03-20t10:05:00.000,2024-03-20 10:01:00,2024-03-20,10:01:00,0,Regular departures
u22922,easyjet,landed,2024-03-20t11:00:00.000,2024-03-20t11:12:00.000,2024-03-20 11:12:00,2024-03-20,11:12:00,12,Regular departures
u22884,easyjet,landed,2024-03-20t11:15:00.000,2024-03-20t10:50:00.000,2024-03-20 10:50:00,2024-03-20,10:50:00,0,Regular departures
u299,easyjet,landed,2024-03-20t11:20:00.000,2024-03-20t11:04:00.000,2024-03-20 11:04:00,2024-03-20,11:04:00,0,Regular departures
fr2291,ryanair,landed,2024-03-20t11:40:00.000,2024-03-20t11:15:00.000,2024-03-20 11:15:00,2024-03-20,11:15:00,0,Regular departures
u22774,easyjet,landed,2024-03-20t11:50:00.000,2024-03-20t11:34:00.000,2024-03-20 11:34:00,2024-03-20,11:34:00,0,Regular departures
fr8255,ryanair,landed,2024-03-20t12:05:00.000,2024-03-20t11:42:00.000,2024-03-20 11:37:00,2024-03-20,11:37:00,0,Regular departures
u22704,easyjet,landed,2024-03-20t12:20:00.000,2024-03-20t11:59:00.000,2024-03-20 11:57:00,2024-03-20,11:57:00,0,Regular departures
u22714,easyjet,landed,2024-03-20t12:35:00.000,2024-03-20t12:17:00.000,2024-03-20 12:17:00,2024-03-20,12:17:00,0,Regular departures
u22710,easyjet,landed,2024-03-20t12:40:00.000,2024-03-20t12:52:00.000,2024-03-20 12:53:00,2024-03-20,12:53:00,14,Regular departures
u22722,easyjet,landed,2024-03-20t12:55:00.000,2024-03-20t12:29:00.000,2024-03-20 12:30:00,2024-03-20,12:30:00,0,Regular departures
u22872,easyjet,landed,2024-03-20t12:55:00.000,2024-03-20t12:35:00.000,2024-03-20 12:33:00,2024-03-20,12:33:00,0,Regular departures
dl9356,delta air lines,landed,2024-03-20t13:15:00.000,2024-03-20t13:18:00.000,2024-03-20 13:17:00,2024-03-20,13:17:00,2,Regular departures
ey7011,etihad airways,landed,2024-03-20t13:15:00.000,2024-03-20t13:18:00.000,2024-03-20 13:17:00,2024-03-20,13:17:00,2,Regular departures
g35514,gol,landed,2024-03-20t13:15:00.000,2024-03-20t13:18:00.000,2024-03-20 13:17:00,2024-03-20,13:17:00,2,Regular departures
kq1051,kenya airways,landed,2024-03-20t13:15:00.000,2024-03-20t13:18:00.000,2024-03-20 13:17:00,2024-03-20,13:17:00,2,Regular departures
vs7041,virgin atlantic,landed,2024-03-20t13:15:00.000,2024-03-20t13:18:00.000,2024-03-20 13:17:00,2024-03-20,13:17:00,2,Regular departures
kl1051,klm,landed,2024-03-20t13:15:00.000,2024-03-20t13:18:00.000,2024-03-20 13:17:00,2024-03-20,13:17:00,2,Regular departures
gr642,aurigny air services,landed,2024-03-20t13:40:00.000,2024-03-20t13:30:00.000,2024-03-20 13:30:00,2024-03-20,13:30:00,0,Regular departures
u21361,easyjet,landed,2024-03-20t13:50:00.000,2024-03-20t13:31:00.000,2024-03-20 13:33:00,2024-03-20,13:33:00,0,Regular departures
u22708,easyjet,landed,2024-03-20t13:50:00.000,2024-03-20t13:22:00.000,2024-03-20 13:23:00,2024-03-20,13:23:00,0,Regular departures
u2216,easyjet,landed,2024-03-20t14:30:00.000,2024-03-20t14:49:00.000,2024-03-20 14:47:00,2024-03-20,14:47:00,18,Regular departures
fr6220,ryanair,landed,2024-03-20t14:40:00.000,2024-03-20t14:38:00.000,2024-03-20 14:32:00,2024-03-20,14:32:00,0,Regular departures
fr4122,ryanair,landed,2024-03-20t14:45:00.000,2024-03-20t14:22:00.000,2024-03-20 14:22:00,2024-03-20,14:22:00,0,Regular departures
u22886,easyjet,landed,2024-03-20t14:50:00.000,2024-03-20t14:37:00.000,2024-03-20 14:37:00,2024-03-20,14:37:00,0,Regular departures
u22932,easyjet,landed,2024-03-20t15:05:00.000,2024-03-20t14:55:00.000,2024-03-20 14:50:00,2024-03-20,14:50:00,0,Regular departures
ba8940,british airways,landed,2024-03-20t15:30:00.000,2024-03-20t15:04:00.000,2024-03-20 15:06:00,2024-03-20,15:06:00,0,Regular departures
ei3284,aer lingus,landed,2024-03-20t15:30:00.000,2024-03-20t15:04:00.000,2024-03-20 15:06:00,2024-03-20,15:06:00,0,Regular departures
u22868,easyjet,landed,2024-03-20t16:35:00.000,2024-03-20t16:42:00.000,2024-03-20 16:44:00,2024-03-20,16:44:00,9,Regular departures
dl9234,delta air lines,landed,2024-03-20t16:45:00.000,2024-03-20t16:39:00.000,2024-03-20 16:39:00,2024-03-20,16:39:00,0,Regular departures
ey7393,etihad airways,landed,2024-03-20t16:45:00.000,2024-03-20t16:39:00.000,2024-03-20 16:39:00,2024-03-20,16:39:00,0,Regular departures
kq1053,kenya airways,landed,2024-03-20t16:45:00.000,2024-03-20t16:39:00.000,2024-03-20 16:39:00,2024-03-20,16:39:00,0,Regular departures
vs7042,virgin atlantic,landed,2024-03-20t16:45:00.000,2024-03-20t16:39:00.000,2024-03-20 16:39:00,2024-03-20,16:39:00,0,Regular departures
kl1053,klm,landed,2024-03-20t16:45:00.000,2024-03-20t16:39:00.000,2024-03-20 16:39:00,2024-03-20,16:39:00,0,Regular departures
u22720,easyjet,landed,2024-03-20t16:50:00.000,2024-03-20t16:32:00.000,2024-03-20 16:33:00,2024-03-20,16:33:00,0,Regular departures
x36347,tuifly,landed,2024-03-20t17:40:00.000,2024-03-20t17:30:00.000,2024-03-20 17:31:00,2024-03-20,17:31:00,0,Regular departures
u22888,easyjet,landed,2024-03-20t17:45:00.000,2024-03-20t17:24:00.000,2024-03-20 17:22:00,2024-03-20,17:22:00,0,Regular departures
u2220,easyjet,landed,2024-03-20t17:50:00.000,2024-03-20t17:31:00.000,2024-03-20 17:33:00,2024-03-20,17:33:00,0,Regular departures
u22782,easyjet,landed,2024-03-20t18:05:00.000,2024-03-20t17:44:00.000,2024-03-20 17:43:00,2024-03-20,17:43:00,0,Regular departures
ls1870,jet2,landed,2024-03-20t18:35:00.000,2024-03-20t18:23:00.000,2024-03-20 18:23:00,2024-03-20,18:23:00,0,Regular departures
ba8942,british airways,landed,2024-03-20t18:35:00.000,2024-03-20t18:22:00.000,2024-03-20 18:27:00,2024-03-20,18:27:00,0,Regular departures
qr9659,qatar airways,landed,2024-03-20t18:35:00.000,2024-03-20t18:22:00.000,2024-03-20 18:27:00,2024-03-20,18:27:00,0,Regular departures
ei3286,aer lingus,landed,2024-03-20t18:35:00.000,2024-03-20t18:22:00.000,2024-03-20 18:27:00,2024-03-20,18:27:00,0,Regular departures
ls1810,jet2,landed,2024-03-20t18:50:00.000,2024-03-20t18:51:00.000,2024-03-20 18:52:00,2024-03-20,18:52:00,2,Regular departures
ls1828,jet2,landed,2024-03-20t18:50:00.000,2024-03-20t18:36:00.000,2024-03-20 18:37:00,2024-03-20,18:37:00,0,Regular departures
,bae systems marine,landed,2024-03-20t08:14:00.000,2024-03-20t08:23:00.000,2024-03-20 08:26:00,2024-03-20,08:26:00,12,Regular departures
u24057,easyjet,landed,2024-03-20t18:50:00.000,2024-03-20t18:53:00.000,2024-03-20 18:45:00,2024-03-20,18:45:00,0,Regular departures
ba8866,british airways,landed,2024-03-20t19:10:00.000,2024-03-20t18:48:00.000,2024-03-20 18:50:00,2024-03-20,18:50:00,0,Regular departures
ei3842,aer lingus,landed,2024-03-20t19:10:00.000,2024-03-20t18:48:00.000,2024-03-20 18:50:00,2024-03-20,18:50:00,0,Regular departures
,centreline,landed,2024-03-20t11:34:00.000,2024-03-20t11:41:00.000,2024-03-20 11:40:00,2024-03-20,11:40:00,7,Regular departures
u2232,easyjet,landed,2024-03-20t19:15:00.000,2024-03-20t18:54:00.000,2024-03-20 18:54:00,2024-03-20,18:54:00,0,Regular departures
ba7819,british airways,landed,2024-03-20t19:25:00.000,2024-03-20t18:58:00.000,2024-03-20 18:58:00,2024-03-20,18:58:00,0,Regular departures
si7045,sierra pacific airlines,landed,2024-03-20t19:25:00.000,2024-03-20t18:58:00.000,2024-03-20 18:58:00,2024-03-20,18:58:00,0,Regular departures
lm45,loganair,landed,2024-03-20t19:25:00.000,2024-03-20t18:58:00.000,2024-03-20 18:58:00,2024-03-20,18:58:00,0,Regular departures
u22838,easyjet,landed,2024-03-20t20:00:00.000,2024-03-20t19:39:00.000,2024-03-20 19:33:00,2024-03-20,19:33:00,0,Regular departures
u22912,easyjet,landed,2024-03-20t20:15:00.000,2024-03-20t20:34:00.000,2024-03-20 20:33:00,2024-03-20,20:33:00,18,Regular departures
u22946,easyjet,landed,2024-03-20t20:25:00.000,2024-03-20t19:54:00.000,2024-03-20 19:54:00,2024-03-20,19:54:00,0,Regular departures
