count,average_actual_arrival,date
81,2023-05-01 14:38:24.444444416,2023-05-01
102,2023-05-02 15:49:21.764705792,2023-05-02
122,2023-05-03 15:12:29.016393216,2023-05-03
124,2023-05-04 15:15:09.193548544,2023-05-04
124,2023-05-05 15:51:38.709677312,2023-05-05
89,2023-05-06 15:26:23.595505664,2023-05-06
105,2023-05-07 16:04:37.142856960,2023-05-07
88,2023-05-08 15:13:26.590908928,2023-05-08
116,2023-05-09 15:45:41.379310336,2023-05-09
115,2023-05-10 15:33:56.869565184,2023-05-10
126,2023-05-11 14:48:07.619047936,2023-05-11
106,2023-05-12 15:59:07.358490624,2023-05-12
100,2023-05-13 15:32:22.800000256,2023-05-13
105,2023-05-14 16:08:51.428571392,2023-05-14
110,2023-05-15 14:57:39.818182144,2023-05-15
107,2023-05-16 15:47:10.654205440,2023-05-16
115,2023-05-17 14:45:41.739130368,2023-05-17
120,2023-05-18 15:18:46.500000000,2023-05-18
124,2023-05-19 15:21:01.935483648,2023-05-19
102,2023-05-20 15:47:57.058823936,2023-05-20
109,2023-05-21 15:43:05.504586752,2023-05-21
120,2023-05-22 15:02:19.999999744,2023-05-22
109,2023-05-23 15:24:13.211009280,2023-05-23
120,2023-05-24 15:41:42.000000000,2023-05-24
123,2023-05-25 15:04:42.926829056,2023-05-25
112,2023-05-26 15:56:42.857143040,2023-05-26
101,2023-05-27 15:03:28.514851584,2023-05-27
118,2023-05-28 15:42:32.033898240,2023-05-28
112,2023-05-29 15:12:59.464285696,2023-05-29
111,2023-05-30 15:13:22.162161920,2023-05-30
103,2023-05-31 14:30:27.378641408,2023-05-31
113,2023-06-01 14:54:16.460177408,2023-06-01
120,2023-06-02 15:18:13.000000000,2023-06-02
89,2023-06-03 15:08:54.606741504,2023-06-03
112,2023-06-04 15:20:00.535714048,2023-06-04
117,2023-06-05 14:49:08.717949184,2023-06-05
94,2023-06-06 14:44:37.021276416,2023-06-06
125,2023-06-07 15:26:42.720000512,2023-06-07
124,2023-06-08 14:39:33.870967552,2023-06-08
112,2023-06-09 15:03:32.142856960,2023-06-09
104,2023-06-10 15:10:10.384615168,2023-06-10
103,2023-06-11 15:12:49.514563328,2023-06-11
92,2023-06-12 14:23:56.086956288,2023-06-12
99,2023-06-13 15:22:20.606061056,2023-06-13
118,2023-06-14 14:45:24.406779392,2023-06-14
118,2023-06-15 14:27:01.016949248,2023-06-15
122,2023-06-16 15:46:06.885245696,2023-06-16
88,2023-06-17 14:59:06.136363776,2023-06-17
96,2023-06-18 15:26:38.124999936,2023-06-18
98,2023-06-19 15:22:31.836734464,2023-06-19
92,2023-06-20 15:31:08.478261248,2023-06-20
120,2023-06-21 15:21:05.500000000,2023-06-21
104,2023-06-22 14:27:03.461538304,2023-06-22
125,2023-06-23 16:03:14.400000000,2023-06-23
98,2023-06-24 15:27:41.632653056,2023-06-24
115,2023-06-25 15:56:41.739130624,2023-06-25
110,2023-06-26 15:20:58.363635968,2023-06-26
120,2023-06-27 15:38:19.499999744,2023-06-27
113,2023-06-28 15:19:37.168141312,2023-06-28
121,2023-06-29 15:05:40.661157120,2023-06-29
106,2023-06-30 15:15:14.150943488,2023-06-30
103,2023-07-01 15:12:23.883494400,2023-07-01
110,2023-07-02 15:23:22.363636736,2023-07-02
110,2023-07-03 15:30:27.272727040,2023-07-03
115,2023-07-04 15:29:17.739130624,2023-07-04
112,2023-07-05 15:10:06.428571392,2023-07-05
117,2023-07-06 15:23:27.692307712,2023-07-06
117,2023-07-07 15:28:18.461538560,2023-07-07
88,2023-07-08 14:10:05.454545664,2023-07-08
95,2023-07-09 14:57:27.157894400,2023-07-09
99,2023-07-10 15:23:53.333333504,2023-07-10
102,2023-07-11 14:31:18.235293952,2023-07-11
102,2023-07-12 15:14:49.411764480,2023-07-12
109,2023-07-13 15:29:26.422018304,2023-07-13
97,2023-07-14 14:46:40.824742400,2023-07-14
81,2023-07-15 14:54:38.518518528,2023-07-15
109,2023-07-16 15:23:12.660550400,2023-07-16
114,2023-07-17 15:18:56.315789568,2023-07-17
