flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr4440,ryanair,active,2023-07-31t05:55:00.000,2023-07-31t05:55:00.000,2023-07-31 06:03:00,2023-07-31,06:03:00,8,Shoulder hour flights
ls1877,jet2,active,2023-07-31t06:00:00.000,2023-07-31t06:00:00.000,2023-07-31 06:16:00,2023-07-31,06:16:00,16,Shoulder hour flights
x36114,tuifly,active,2023-07-31t06:00:00.000,2023-07-31t06:00:00.000,2023-07-31 06:09:00,2023-07-31,06:09:00,9,Shoulder hour flights
x36148,tuifly,active,2023-07-31t06:00:00.000,2023-07-31t06:00:00.000,2023-07-31 06:13:00,2023-07-31,06:13:00,14,Shoulder hour flights
u22709,easyjet,active,2023-07-31t06:00:00.000,2023-07-31t06:00:00.000,2023-07-31 06:00:00,2023-07-31,06:00:00,1,Shoulder hour flights
u22715,easyjet,active,2023-07-31t06:00:00.000,2023-07-31t06:00:00.000,2023-07-31 06:11:00,2023-07-31,06:11:00,12,Shoulder hour flights
u22891,easyjet,active,2023-07-31t06:05:00.000,2023-07-31t06:05:00.000,2023-07-31 06:19:00,2023-07-31,06:19:00,14,Shoulder hour flights
x36120,tuifly,active,2023-07-31t06:10:00.000,2023-07-31t06:10:00.000,2023-07-31 06:49:00,2023-07-31,06:49:00,40,Shoulder hour flights
u2223,easyjet,active,2023-07-31t06:15:00.000,2023-07-31t06:20:00.000,2023-07-31 06:47:00,2023-07-31,06:47:00,32,Shoulder hour flights
u22805,easyjet,active,2023-07-31t06:15:00.000,2023-07-31t06:15:00.000,2023-07-31 06:28:00,2023-07-31,06:28:00,14,Shoulder hour flights
af5199,air france,active,2023-07-31t06:20:00.000,2023-07-31t06:20:00.000,2023-07-31 06:53:00,2023-07-31,06:53:00,33,Shoulder hour flights
az3737,alitalia,active,2023-07-31t06:20:00.000,2023-07-31t06:20:00.000,2023-07-31 06:53:00,2023-07-31,06:53:00,33,Shoulder hour flights
dl9422,delta air lines,active,2023-07-31t06:20:00.000,2023-07-31t06:20:00.000,2023-07-31 06:53:00,2023-07-31,06:53:00,33,Shoulder hour flights
ey7330,etihad airways,active,2023-07-31t06:20:00.000,2023-07-31t06:20:00.000,2023-07-31 06:53:00,2023-07-31,06:53:00,33,Shoulder hour flights
g35535,gol,active,2023-07-31t06:20:00.000,2023-07-31t06:20:00.000,2023-07-31 06:53:00,2023-07-31,06:53:00,33,Shoulder hour flights
kq1046,kenya airways,active,2023-07-31t06:20:00.000,2023-07-31t06:20:00.000,2023-07-31 06:53:00,2023-07-31,06:53:00,33,Shoulder hour flights
vs6854,virgin atlantic,active,2023-07-31t06:20:00.000,2023-07-31t06:20:00.000,2023-07-31 06:53:00,2023-07-31,06:53:00,33,Shoulder hour flights
kl1046,klm,active,2023-07-31t06:20:00.000,2023-07-31t06:20:00.000,2023-07-31 06:53:00,2023-07-31,06:53:00,33,Shoulder hour flights
u22801,easyjet,active,2023-07-31t06:25:00.000,2023-07-31t06:25:00.000,2023-07-31 06:39:00,2023-07-31,06:39:00,15,Shoulder hour flights
x36150,tuifly,active,2023-07-31t06:30:00.000,2023-07-31t06:30:00.000,2023-07-31 06:41:00,2023-07-31,06:41:00,12,Shoulder hour flights
ls1805,jet2,active,2023-07-31t06:40:00.000,2023-07-31t06:40:00.000,2023-07-31 06:55:00,2023-07-31,06:55:00,16,Shoulder hour flights
x36118,tuifly,active,2023-07-31t06:40:00.000,2023-07-31t06:40:00.000,2023-07-31 07:13:00,2023-07-31,07:13:00,34,Regular departures
ls1821,jet2,active,2023-07-31t06:45:00.000,2023-07-31t06:45:00.000,2023-07-31 07:00:00,2023-07-31,07:00:00,15,Regular departures
ls1879,jet2,active,2023-07-31t06:45:00.000,2023-07-31t06:45:00.000,2023-07-31 06:58:00,2023-07-31,06:58:00,13,Shoulder hour flights
u2261,easyjet,active,2023-07-31t07:00:00.000,2023-07-31t07:00:00.000,2023-07-31 07:04:00,2023-07-31,07:04:00,5,Regular departures
u2201,easyjet,active,2023-07-31t07:05:00.000,2023-07-31t07:05:00.000,2023-07-31 07:15:00,2023-07-31,07:15:00,11,Regular departures
u22817,easyjet,active,2023-07-31t07:05:00.000,2023-07-31t07:05:00.000,2023-07-31 07:26:00,2023-07-31,07:26:00,21,Regular departures
u22901,easyjet,active,2023-07-31t07:05:00.000,2023-07-31t07:05:00.000,2023-07-31 07:24:00,2023-07-31,07:24:00,19,Regular departures
u22921,easyjet,active,2023-07-31t07:05:00.000,2023-07-31t07:05:00.000,2023-07-31 07:18:00,2023-07-31,07:18:00,13,Regular departures
ls1835,jet2,active,2023-07-31t07:10:00.000,2023-07-31t07:10:00.000,2023-07-31 07:21:00,2023-07-31,07:21:00,12,Regular departures
fr9503,ryanair,active,2023-07-31t07:15:00.000,2023-07-31t07:15:00.000,2023-07-31 07:30:00,2023-07-31,07:30:00,15,Regular departures
u22773,easyjet,active,2023-07-31t07:15:00.000,2023-07-31t07:15:00.000,2023-07-31 07:40:00,2023-07-31,07:40:00,26,Regular departures
u2213,easyjet,active,2023-07-31t07:20:00.000,2023-07-31t07:20:00.000,2023-07-31 07:28:00,2023-07-31,07:28:00,8,Regular departures
u22877,easyjet,active,2023-07-31t07:20:00.000,2023-07-31t07:20:00.000,2023-07-31 07:32:00,2023-07-31,07:32:00,13,Regular departures
ls1825,jet2,active,2023-07-31t07:25:00.000,2023-07-31t07:25:00.000,2023-07-31 07:36:00,2023-07-31,07:36:00,11,Regular departures
fr505,ryanair,active,2023-07-31t07:30:00.000,2023-07-31t07:30:00.000,2023-07-31 07:38:00,2023-07-31,07:38:00,9,Regular departures
ls1871,jet2,active,2023-07-31t07:30:00.000,2023-07-31t07:30:00.000,2023-07-31 07:43:00,2023-07-31,07:43:00,13,Regular departures
