departure_date,flight_type,total_flights,avg_departure_delay
2023-05-01,Regular departures,66,15.181818181818182
2023-05-01,Shoulder hour flights,18,18.944444444444443
2023-05-02,Regular departures,85,16.847058823529412
2023-05-02,Shoulder hour flights,21,17.904761904761905
2023-05-03,Regular departures,102,17.401960784313726
2023-05-03,Shoulder hour flights,21,9.761904761904763
2023-05-04,Regular departures,104,17.490384615384617
2023-05-04,Shoulder hour flights,14,18.357142857142858
2023-05-05,Regular departures,97,19.0
2023-05-05,Shoulder hour flights,19,12.578947368421053
2023-05-06,Regular departures,63,19.238095238095237
2023-05-06,Shoulder hour flights,22,16.772727272727273
2023-05-07,Regular departures,74,16.16216216216216
2023-05-07,Shoulder hour flights,24,18.416666666666668
2023-05-08,Regular departures,73,20.684931506849313
2023-05-08,Shoulder hour flights,2,5.0
2023-05-09,Regular departures,90,20.533333333333335
2023-05-09,Shoulder hour flights,21,16.571428571428573
2023-05-10,Regular departures,86,16.069767441860463
2023-05-10,Shoulder hour flights,22,11.772727272727273
2023-05-11,Regular departures,103,15.79611650485437
2023-05-11,Shoulder hour flights,23,14.347826086956522
2023-05-12,Night hour departures,1,5.0
2023-05-12,Regular departures,79,22.924050632911392
2023-05-12,Shoulder hour flights,9,16.11111111111111
2023-05-13,Regular departures,68,22.441176470588236
2023-05-13,Shoulder hour flights,14,14.428571428571429
2023-05-14,Regular departures,69,21.797101449275363
2023-05-14,Shoulder hour flights,23,16.608695652173914
2023-05-15,Regular departures,80,16.5625
2023-05-15,Shoulder hour flights,18,17.0
2023-05-16,Regular departures,90,15.555555555555555
2023-05-16,Shoulder hour flights,24,13.416666666666666
2023-05-17,Regular departures,85,16.870588235294118
2023-05-17,Shoulder hour flights,19,16.68421052631579
2023-05-18,Regular departures,85,18.776470588235295
2023-05-18,Shoulder hour flights,24,14.625
2023-05-19,Regular departures,96,17.083333333333332
2023-05-19,Shoulder hour flights,20,10.05
2023-05-20,Regular departures,74,20.743243243243242
2023-05-20,Shoulder hour flights,12,17.333333333333332
2023-05-21,Regular departures,82,21.451219512195124
2023-05-21,Shoulder hour flights,22,14.772727272727273
2023-05-22,Regular departures,92,15.641304347826088
2023-05-22,Shoulder hour flights,20,15.65
2023-05-23,Regular departures,88,17.238636363636363
2023-05-23,Shoulder hour flights,15,20.8
2023-05-24,Regular departures,87,19.264367816091955
2023-05-24,Shoulder hour flights,20,12.45
2023-05-25,Regular departures,80,21.175
2023-05-25,Shoulder hour flights,23,20.52173913043478
2023-05-26,Night hour departures,1,3.0
2023-05-26,Regular departures,77,24.51948051948052
2023-05-26,Shoulder hour flights,21,22.38095238095238
2023-05-27,Regular departures,66,23.848484848484848
2023-05-27,Shoulder hour flights,23,20.652173913043477
2023-05-28,Regular departures,79,21.89873417721519
2023-05-28,Shoulder hour flights,17,16.764705882352942
2023-05-29,Regular departures,73,19.15068493150685
2023-05-29,Shoulder hour flights,14,9.428571428571429
2023-05-30,Regular departures,75,20.573333333333334
2023-05-30,Shoulder hour flights,23,22.52173913043478
2023-05-31,Night hour departures,1,5.0
2023-05-31,Regular departures,69,24.115942028985508
2023-05-31,Shoulder hour flights,12,22.416666666666668
2023-06-01,Regular departures,81,22.45679012345679
2023-06-01,Shoulder hour flights,24,24.166666666666668
2023-06-02,Night hour departures,1,10.0
2023-06-02,Regular departures,84,27.797619047619047
2023-06-02,Shoulder hour flights,19,15.631578947368421
2023-06-03,Regular departures,58,24.689655172413794
2023-06-03,Shoulder hour flights,24,16.708333333333332
2023-06-04,Regular departures,75,19.786666666666665
2023-06-04,Shoulder hour flights,21,16.523809523809526
2023-06-05,Regular departures,89,22.84269662921348
2023-06-05,Shoulder hour flights,13,14.076923076923077
2023-06-06,Regular departures,62,25.903225806451612
2023-06-06,Shoulder hour flights,12,16.333333333333332
2023-06-07,Regular departures,92,24.25
2023-06-07,Shoulder hour flights,24,10.041666666666666
2023-06-08,Night hour departures,1,5.0
2023-06-08,Regular departures,85,18.870588235294118
2023-06-08,Shoulder hour flights,22,17.59090909090909
2023-06-09,Night hour departures,1,12.0
2023-06-09,Regular departures,71,23.802816901408452
2023-06-09,Shoulder hour flights,19,14.31578947368421
2023-06-10,Regular departures,81,23.839506172839506
2023-06-10,Shoulder hour flights,22,18.227272727272727
2023-06-11,Regular departures,78,23.474358974358974
2023-06-11,Shoulder hour flights,22,17.0
2023-06-12,Regular departures,56,20.875
2023-06-12,Shoulder hour flights,23,18.130434782608695
2023-06-13,Regular departures,80,23.5625
2023-06-13,Shoulder hour flights,21,22.333333333333332
2023-06-14,Regular departures,84,19.523809523809526
2023-06-14,Shoulder hour flights,14,19.0
2023-06-15,Regular departures,87,20.35632183908046
2023-06-15,Shoulder hour flights,23,12.130434782608695
2023-06-16,Night hour departures,1,11.0
2023-06-16,Regular departures,97,23.762886597938145
2023-06-16,Shoulder hour flights,21,13.047619047619047
2023-06-17,Regular departures,63,19.825396825396826
2023-06-17,Shoulder hour flights,23,24.434782608695652
2023-06-18,Regular departures,67,23.53731343283582
2023-06-18,Shoulder hour flights,24,18.666666666666668
2023-06-19,Regular departures,75,19.333333333333332
2023-06-19,Shoulder hour flights,21,17.142857142857142
2023-06-20,Regular departures,66,26.075757575757574
2023-06-20,Shoulder hour flights,21,23.80952380952381
2023-06-21,Regular departures,95,23.126315789473683
2023-06-21,Shoulder hour flights,20,16.45
2023-06-22,Regular departures,72,20.77777777777778
2023-06-22,Shoulder hour flights,17,21.058823529411764
2023-06-23,Regular departures,96,27.385416666666668
2023-06-23,Shoulder hour flights,23,13.956521739130435
2023-06-24,Regular departures,75,20.573333333333334
2023-06-24,Shoulder hour flights,22,16.59090909090909
2023-06-25,Regular departures,93,17.752688172043012
2023-06-25,Shoulder hour flights,27,18.77777777777778
2023-06-26,Night hour departures,1,5.0
2023-06-26,Regular departures,89,21.528089887640448
2023-06-26,Shoulder hour flights,22,12.090909090909092
2023-06-27,Regular departures,91,21.10989010989011
2023-06-27,Shoulder hour flights,25,16.12
2023-06-28,Regular departures,87,24.54022988505747
2023-06-28,Shoulder hour flights,20,15.4
2023-06-29,Regular departures,95,17.45263157894737
2023-06-29,Shoulder hour flights,24,18.083333333333332
2023-06-30,Night hour departures,1,10.0
2023-06-30,Regular departures,63,22.07936507936508
2023-06-30,Shoulder hour flights,14,12.142857142857142
2023-07-01,Regular departures,68,25.970588235294116
2023-07-01,Shoulder hour flights,23,12.304347826086957
2023-07-02,Regular departures,69,18.028985507246375
2023-07-02,Shoulder hour flights,23,9.782608695652174
2023-07-03,Regular departures,78,20.833333333333332
2023-07-03,Shoulder hour flights,22,12.545454545454545
2023-07-04,Regular departures,87,20.919540229885058
2023-07-04,Shoulder hour flights,22,19.181818181818183
2023-07-05,Regular departures,84,21.392857142857142
2023-07-05,Shoulder hour flights,24,10.5
2023-07-06,Regular departures,91,21.142857142857142
2023-07-06,Shoulder hour flights,24,12.166666666666666
2023-07-07,Regular departures,83,26.72289156626506
2023-07-07,Shoulder hour flights,22,14.318181818181818
2023-07-08,Regular departures,47,25.80851063829787
2023-07-08,Shoulder hour flights,23,22.217391304347824
2023-07-09,Regular departures,63,22.873015873015873
2023-07-09,Shoulder hour flights,23,26.91304347826087
2023-07-10,Regular departures,82,20.402439024390244
2023-07-10,Shoulder hour flights,20,17.85
2023-07-11,Regular departures,71,18.12676056338028
