flight_id,flight_number,direction,actual_time,origin,destination,aircraft_type,airline,registration
39bafe4c,F43,Departure,2025-04-03 10:59:52,BRS,PUF,B738,N/A,EI-FFA
39ba8eeb,LS1853,Departure,2025-04-03 10:59:55,BRS,LPA,B738,N/A,G-JZBM
39baaf0f,LS1822,Arrival,2025-04-03 10:59:57,FAO,BRS,B738,N/A,G-DRTV
39baca89,LS1891,Departure,2025-04-03 10:59:57,BRS,TFS,B738,N/A,G-DRTL
39bab494,U22716,Arrival,2025-04-03 10:59:58,AGP,BRS,A320,N/A,G-EZTA
39baef61,FR746,Arrival,2025-04-03 10:59:58,CPH,BRS,B738,N/A,9H-QBZ
39bab370,FR5342,Arrival,2025-04-03 10:59:58,OTP,BRS,B38M,N/A,EI-IGE
39badd8e,,Arrival,2025-04-03 10:59:58,PMI,BRS,LJ40,N/A,M-CKAY
39bad7cb,LS1872,Arrival,2025-04-03 10:59:58,PMI,BRS,B738,N/A,G-DRTJ
39bab088,U22844,Arrival,2025-04-03 10:59:58,NAP,BRS,A20N,N/A,G-UZHL
39bab756,U22724,Arrival,2025-04-03 10:59:58,ALC,BRS,A320,N/A,G-EZTV
39baf080,U22732,Arrival,2025-04-03 10:59:58,TFS,BRS,A21N,N/A,G-UZMK
39bab825,U22840,Arrival,2025-04-03 10:59:58,PSA,BRS,A320,N/A,G-EZRT
39bab2bf,U22940,Arrival,2025-04-03 10:59:58,GIB,BRS,A20N,N/A,G-UZHK
39baacf4,U22872,Arrival,2025-04-03 10:59:58,FAO,BRS,A20N,N/A,G-UZHC
39baa88a,U27508,Departure,2025-04-03 10:59:58,BRS,FAO,A320,N/A,OE-IJB
39bad03f,U22769,Departure,2025-04-03 10:59:58,BRS,BOD,A320,N/A,G-EZWA
39bada0e,U22711,Departure,2025-04-03 10:59:58,BRS,PMI,A320,N/A,G-EZUW
39bad890,U22887,Departure,2025-04-03 10:59:58,BRS,GVA,A320,N/A,G-EZUA
39ba9917,LS1877,Departure,2025-04-03 10:59:58,BRS,MLA,B738,N/A,G-DRTK
39baeea4,FR505,Departure,2025-04-03 10:59:58,BRS,DUB,B738,N/A,EI-EVA
39ba678a,BY6458,Departure,2025-04-03 10:59:58,BRS,LCA,B738,N/A,G-FDZD
39baee31,BY6465,Arrival,2025-04-03 10:59:59,ACE,BRS,B38M,N/A,G-TUMD
39bad84a,FR4756,Arrival,2025-04-03 10:59:59,ACE,BRS,B38M,N/A,EI-IHY
39bad613,LS1808,Arrival,2025-04-03 10:59:59,AGP,BRS,B738,N/A,G-JZHG
39badeb2,U22838,Arrival,2025-04-03 10:59:59,FCO,BRS,A21N,N/A,G-UZMG
39bac6a4,BY6407,Arrival,2025-04-03 10:59:59,MLA,BRS,B38M,N/A,G-TUMY
39bac005,FR624,Arrival,2025-04-03 10:59:59,BUD,BRS,B38M,N/A,9H-VVG
39bab1e3,U22701,Arrival,2025-04-03 10:59:59,RMU,BRS,A20N,N/A,G-UZLL
39bafc23,FR8235,Arrival,2025-04-03 10:59:59,PMI,BRS,A320,N/A,9H-LOW
39bae1c2,FR2292,Departure,2025-04-03 10:59:59,BRS,ALC,B38M,N/A,EI-IJR
