flight_type,flight_number,flight_icao,airline_name,airline_iata,flight_status,flight_date,dep_airport,dep_iata,dep_icao,dep_terminal,dep_gate,dep_scheduled,dep_estimated,dep_actual,dep_delay,arr_airport,arr_iata,arr_icao,arr_terminal,arr_gate,arr_baggage,arr_scheduled,arr_estimated,arr_actual,arr_delay,aircraft_registration,aircraft_iata,is_codeshare,codeshare_airline,codeshare_flight
Departure,FR4755,RYR4755,Ryanair,FR,active,2025-07-24,Bristol,BRS,EGGD,,15,2025-07-24T05:55:00+00:00,2025-07-24T05:55:00+00:00,2025-07-24T06:08:00+00:00,13,Lanzarote,ACE,GCRR,1,,5,2025-07-24T09:40:00+00:00,,,1,,,No,,
Departure,FR5341,RYR5341,Ryanair,FR,active,2025-07-24,Bristol,BRS,EGGD,,17,2025-07-24T05:55:00+00:00,2025-07-24T05:55:00+00:00,2025-07-24T06:27:00+00:00,33,Henri Coanda International,OTP,LROP,,17,,2025-07-24T11:10:00+00:00,,,9,,,No,,
Departure,LS1877,EXS1877,Jet2,LS,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T05:55:00+00:00,2025-07-24T05:55:00+00:00,2025-07-24T06:16:00+00:00,21,Malta International,MLA,LMML,,,,2025-07-24T10:10:00+00:00,,,1,,,No,,
Departure,LS1819,EXS1819,Jet2,LS,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:00:00+00:00,2025-07-24T06:00:00+00:00,2025-07-24T06:25:00+00:00,25,Kefalonia Istland International Airport,EFL,LGKF,,,,2025-07-24T11:15:00+00:00,,,17,,,No,,
Departure,X36406,TUI6406,TUIfly,X3,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:00:00+00:00,2025-07-24T06:00:00+00:00,2025-07-24T06:18:00+00:00,19,Malta International,MLA,LMML,,,,2025-07-24T10:15:00+00:00,,,,,,No,,
Departure,X36482,TUI6482,TUIfly,X3,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:00:00+00:00,2025-07-24T06:00:00+00:00,2025-07-24T06:20:00+00:00,21,Kefalonia Istland International Airport,EFL,LGKF,,,,2025-07-24T11:15:00+00:00,,,11,,,No,,
Departure,U22709,EZY2709,easyJet,U2,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:00:00+00:00,2025-07-24T06:00:00+00:00,2025-07-24T06:29:00+00:00,30,Son Sant Joan Airport,PMI,LEPA,,,05,2025-07-24T09:25:00+00:00,,,3,,,No,,
Departure,U22737,EZY2737,easyJet,U2,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T10:30:00+00:00,2025-07-24T10:30:00+00:00,2025-07-24T10:35:00+00:00,6,Bilbao,BIO,LEBB,O,,6,2025-07-24T13:15:00+00:00,,,,,,No,,
Departure,U22765,EZY2765,easyJet,U2,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T10:55:00+00:00,2025-07-24T10:55:00+00:00,2025-07-24T11:11:00+00:00,16,Cote D'azur International Airport,NCE,LFMN,2,,,2025-07-24T14:00:00+00:00,,,,,,No,,
Departure,LS1801,EXS1801,Jet2,LS,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T14:35:00+00:00,2025-07-24T14:35:00+00:00,,120,Lanzarote,ACE,GCRR,1,,5,2025-07-24T18:35:00+00:00,,,,,,No,,
Departure,FR4147,RYR4147,Ryanair,FR,active,2025-07-24,Bristol,BRS,EGGD,,11,2025-07-24T14:50:00+00:00,2025-07-24T14:50:00+00:00,2025-07-24T15:26:00+00:00,36,Faro,FAO,LPFR,,11,,2025-07-24T17:25:00+00:00,,,18,,,No,,
Departure,U2217,EZY217,easyJet,U2,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T14:55:00+00:00,2025-07-24T14:55:00+00:00,2025-07-24T15:35:00+00:00,40,Edinburgh,EDI,EGPH,,,9,2025-07-24T16:10:00+00:00,,,18,,,No,,
Departure,FR5213,RYR5213,Ryanair,FR,active,2025-07-24,Bristol,BRS,EGGD,,17,2025-07-24T15:00:00+00:00,2025-07-24T15:00:00+00:00,,35,Alicante El Altet,ALC,LEAL,,,7B,2025-07-24T18:30:00+00:00,,,,,,No,,
Departure,U22935,EZY2935,easyJet,U2,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T15:00:00+00:00,2025-07-24T15:00:00+00:00,2025-07-24T15:39:00+00:00,39,Prague Vaclav Havel Airport,PRG,LKPR,1,,12,2025-07-24T18:05:00+00:00,,,16,,,No,,
Departure,FR8234,RYR8234,Ryanair,FR,active,2025-07-24,Bristol,BRS,EGGD,,9,2025-07-24T14:25:00+00:00,2025-07-24T14:25:00+00:00,,70,Son Sant Joan Airport,PMI,LEPA,,,19,2025-07-24T17:45:00+00:00,,,,,,No,,
Departure,LS1847,EXS1847,Jet2,LS,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T14:25:00+00:00,2025-07-24T14:25:00+00:00,,55,Kos Island International Airport,KGS,LGKO,,,,2025-07-24T20:25:00+00:00,,,,,,No,,
Departure,U2227,EZY227,easyJet,U2,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T14:30:00+00:00,2025-07-24T14:30:00+00:00,2025-07-24T15:04:00+00:00,34,Aldergrove International Airport,BFS,EGAA,,,,2025-07-24T15:40:00+00:00,,,14,,,No,,
Departure,,AZE,Arcus Air,,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:00:00+00:00,2025-07-24T13:00:00+00:00,2025-07-24T13:33:00+00:00,33,Ensheim,SCN,EDDR,,,,2025-07-24T15:38:00+00:00,,,13,,,No,,
Departure,U22893,EZY2893,easyJet,U2,active,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:10:00+00:00,2025-07-24T13:10:00+00:00,2025-07-24T13:20:00+00:00,10,Dubrovnik,DBV,LDDU,,,,2025-07-24T16:55:00+00:00,,,,,,No,,
Departure,T31074,EZE1074,Eastern Airways,T3,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:15:00+00:00,2025-07-24T06:15:00+00:00,,15,Schiphol,AMS,EHAM,,A08,,2025-07-24T08:35:00+00:00,,,,,,No,,
Departure,LS1821,EXS1821,Jet2,LS,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:20:00+00:00,2025-07-24T06:20:00+00:00,,15,Faro,FAO,LPFR,,,,2025-07-24T09:00:00+00:00,,,,,,No,,
Departure,LS1897,EXS1897,Jet2,LS,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:25:00+00:00,2025-07-24T06:25:00+00:00,,15,Zakinthos International Airport,ZTH,LGZA,,,,2025-07-24T12:00:00+00:00,,,,,,No,,
Departure,X36404,TUI6404,TUIfly,X3,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:30:00+00:00,2025-07-24T06:30:00+00:00,,,Son Sant Joan Airport,PMI,LEPA,,,03,2025-07-24T09:50:00+00:00,,,,,,No,,
Departure,U22939,EZY2939,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:30:00+00:00,2025-07-24T06:30:00+00:00,,30,North Front,GIB,LXGB,,,,2025-07-24T10:15:00+00:00,,,,,,No,,
Departure,LS1891,EXS1891,Jet2,LS,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:35:00+00:00,2025-07-24T06:35:00+00:00,,15,Sur Reina Sofia,TFS,GCTS,,,A3,2025-07-24T10:50:00+00:00,,,,,,No,,
Departure,U22841,EZY2841,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:40:00+00:00,2025-07-24T06:40:00+00:00,,,Milano Malpensa,MXP,LIMC,2,,01,2025-07-24T09:40:00+00:00,,,,,,No,,
Departure,FR623,RYR623,Ryanair,FR,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:45:00+00:00,2025-07-24T06:45:00+00:00,,15,Liszt Ferenc International,BUD,LHBP,2B,,,2025-07-24T10:20:00+00:00,,,,,,No,,
Departure,X36436,TUI6436,TUIfly,X3,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:45:00+00:00,2025-07-24T06:45:00+00:00,,,Dubrovnik,DBV,LDDU,,,,2025-07-24T10:25:00+00:00,,,,,,No,,
Departure,X36408,TUI6408,TUIfly,X3,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T06:55:00+00:00,2025-07-24T06:55:00+00:00,,,Ioannis Kapodistrias,CFU,LGKR,,,,2025-07-24T12:00:00+00:00,,,,,,No,,
Departure,LS1807,EXS1807,Jet2,LS,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:00:00+00:00,2025-07-24T07:00:00+00:00,,15,Pablo Ruiz Picasso,AGP,LEMG,,,,2025-07-24T10:40:00+00:00,,,,,,No,,
Departure,U2213,EZY213,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:00:00+00:00,2025-07-24T07:00:00+00:00,,,Edinburgh,EDI,EGPH,,,9,2025-07-24T08:20:00+00:00,,,,,,No,,
Departure,U22781,EZY2781,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:00:00+00:00,2025-07-24T07:00:00+00:00,,,Marseille Provence Airport,MRS,LFML,MP2,,21,2025-07-24T10:00:00+00:00,,,,,,No,,
Departure,U22839,EZY2839,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:00:00+00:00,2025-07-24T07:00:00+00:00,,,Galileo Galilei,PSA,LIRP,,,,2025-07-24T10:20:00+00:00,,,,,,No,,
Departure,U22921,EZY2921,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:05:00+00:00,2025-07-24T07:05:00+00:00,,,Schiphol,AMS,EHAM,,,,2025-07-24T09:25:00+00:00,,,,,,No,,
Departure,U2223,EZY223,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:05:00+00:00,2025-07-24T07:05:00+00:00,,,Aldergrove International Airport,BFS,EGAA,,,,2025-07-24T08:15:00+00:00,,,,,,No,,
Departure,U22877,EZY2877,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:10:00+00:00,2025-07-24T07:10:00+00:00,,,Madeira,FNC,LPMA,,,,2025-07-24T10:55:00+00:00,,,,,,No,,
Departure,U2237,EZY237,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:15:00+00:00,2025-07-24T07:15:00+00:00,,,Newcastle Airport,NCL,EGNT,,,,2025-07-24T08:20:00+00:00,,,,,,No,,
Departure,U22773,EZY2773,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:15:00+00:00,2025-07-24T07:15:00+00:00,,,Charles De Gaulle,CDG,LFPG,2B,,,2025-07-24T09:35:00+00:00,,,,,,No,,
Departure,LS1871,EXS1871,Jet2,LS,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:25:00+00:00,2025-07-24T07:25:00+00:00,,15,Son Sant Joan Airport,PMI,LEPA,,,03,2025-07-24T10:50:00+00:00,,,,,,No,,
Departure,U2201,EZY201,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:30:00+00:00,2025-07-24T07:30:00+00:00,,,Glasgow International,GLA,EGPF,M,,,2025-07-24T08:45:00+00:00,,,,,,No,,
Departure,U22837,EZY2837,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T07:30:00+00:00,2025-07-24T07:30:00+00:00,,,Leonardo Da Vinci (Fiumicino),FCO,LIRF,1,,,2025-07-24T11:05:00+00:00,,,,,,No,,
