flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
GMA23,GMA023,G-GMAF,BE20,EGGD/BRS,EGJB/GCI,0,33,2024-11-11 03:59:59 UTC,Night flight,GMA
GMA23,GMA023,G-GMAF,BE20,EGGD/BRS,EGJB/GCI,15000,282,2024-11-11 04:14:59 UTC,Night flight,GMA
FR8224,RYR2VV,EI-HAT,B38M,EGGD/BRS,EPRZ/RZE,0,17,2024-11-11 06:00:00 UTC,Shoulder period,RYR
FR4753,RYR56SX,EI-EBO,B738,EGGD/BRS,GCTS/TFS,0,2,2024-11-11 06:00:00 UTC,Shoulder period,RYR
KL1074,KLM70M,G-CLSN,E190,EGGD/BRS,EHAM/AMS,0,0,2024-11-11 05:59:57 UTC,Night flight,EZE
KL1074,KLM70M,G-CLSN,E190,EGGD/BRS,EHAM/AMS,0,7,2024-11-11 06:14:59 UTC,Shoulder period,EZE
FR4753,RYR56SX,EI-EBO,B738,EGGD/BRS,GCTS/TFS,19150,406,2024-11-11 06:14:57 UTC,Shoulder period,RYR
U22713,EZY74HA,G-UZMH,A21N,EGGD/BRS,LEMG/AGP,0,17,2024-11-11 06:14:59 UTC,Shoulder period,EZY
FR2292,RYR87SV,EI-IFV,B38M,EGGD/BRS,LEAL/ALC,0,0,2024-11-11 06:14:54 UTC,Shoulder period,RYR
U22713,EZY74HA,G-UZMH,A21N,EGGD/BRS,LEMG/AGP,26825,457,2024-11-11 06:29:59 UTC,Shoulder period,EZY
U22837,EZY101J,G-UZHA,A20N,EGGD/BRS,LIRF/FCO,0,8,2024-11-11 06:29:59 UTC,Shoulder period,EZY
FR2292,RYR87SV,EI-IFV,B38M,EGGD/BRS,LEAL/ALC,15950,366,2024-11-11 06:29:57 UTC,Shoulder period,RYR
FR504,RYR61VY,EI-DYA,B738,EIDW/DUB,EGGD/BRS,0,109,2024-11-11 06:44:59 UTC,Day flight,RYR
U2221,EZY692G,G-EZWI,A320,EGGD/BRS,EGAA/BFS,15975,332,2024-11-11 06:44:58 UTC,Day flight,EZY
FR9503,RYR9503,EI-DWP,B738,EGGD/BRS,EPBY/BZG,0,54,2024-11-11 06:59:59 UTC,Day flight,RYR
,EXS17MT,G-JZHW,B738,EGGP/LPL,EGGD/BRS,0,11,2024-11-11 06:59:59 UTC,Day flight,EXS
U2213,EZY972M,G-EZTZ,A320,EGGD/BRS,EGPH/EDI,0,0,2024-11-11 06:59:28 UTC,Day flight,EZY
U29003,EZY9003,G-UZHF,A20N,EGGD/BRS,LXGB/GIB,0,0,2024-11-11 06:59:59 UTC,Day flight,EZY
LS1805,EXS53RW,G-JZBV,B738,EGGD/BRS,LEAL/ALC,21875,432,2024-11-11 07:14:59 UTC,Day flight,EXS
U29003,EZY9003,G-UZHF,A20N,EGGD/BRS,LXGB/GIB,18250,361,2024-11-11 07:14:59 UTC,Day flight,EZY
U22877,EZY14VG,G-UZHD,A20N,EGGD/BRS,LPMA/FNC,5225,288,2024-11-11 07:14:58 UTC,Day flight,EZY
U2201,EZY404T,G-EZRT,A320,EGGD/BRS,EGPF/GLA,0,93,2024-11-11 07:14:48 UTC,Day flight,EZY
U22773,EZY98FE,G-EZGY,A320,EGGD/BRS,LFPG/CDG,0,0,2024-11-11 07:14:56 UTC,Day flight,EZY
U22721,EZY42HC,G-UZLP,A20N,EGGD/BRS,LEAL/ALC,0,1,2024-11-11 07:15:00 UTC,Day flight,EZY
U2213,EZY972M,G-EZTZ,A320,EGGD/BRS,EGPH/EDI,20400,333,2024-11-11 07:14:58 UTC,Day flight,EZY
U22721,EZY42HC,G-UZLP,A20N,EGGD/BRS,LEAL/ALC,25750,444,2024-11-11 07:29:59 UTC,Day flight,EZY
U22733,EZY29AN,G-UZHI,A20N,EGGD/BRS,GCRR/ACE,7125,271,2024-11-11 07:29:57 UTC,Day flight,EZY
LS1817,EXS1817,G-JZBN,B738,EGGD/BRS,LTBS/DLM,0,0,2024-11-11 07:29:54 UTC,Day flight,EXS
FR505,RYR66QN,EI-DYA,B738,EGGD/BRS,EIDW/DUB,0,0,2024-11-11 07:29:32 UTC,Day flight,RYR
U2237,EZY26LE,G-EZUW,A320,EGGD/BRS,EGNT/NCL,0,0,2024-11-11 07:29:55 UTC,Day flight,EZY
U22871,EZY69RV,G-UZMI,A21N,EGGD/BRS,LPFR/FAO,1875,174,2024-11-11 07:29:58 UTC,Day flight,EZY
EI3280,EAI8BR,EI-HDI,AT76,EIDW/DUB,EGGD/BRS,14625,316,2024-11-11 07:29:59 UTC,Day flight,EAI
U2321,EZY73YR,G-UZHZ,A20N,EGPH/EDI,EGGD/BRS,1950,175,2024-11-11 07:44:57 UTC,Day flight,EZY
U2237,EZY26LE,G-EZUW,A320,EGGD/BRS,EGNT/NCL,0,10,2024-11-11 07:44:59 UTC,Day flight,EZY
U22921,EZY52FJ,G-EZRX,A320,EGGD/BRS,EHAM/AMS,0,5,2024-11-11 07:44:59 UTC,Day flight,EZY
EI3280,EAI8BR,EI-HDI,AT76,EIDW/DUB,EGGD/BRS,0,4,2024-11-11 07:44:58 UTC,Day flight,EAI
U22781,EZY18QT,G-EZTG,A320,EGGD/BRS,LFBO/TLS,0,2,2024-11-11 07:44:58 UTC,Day flight,EZY
LS1817,EXS1817,G-JZBN,B738,EGGD/BRS,LTBS/DLM,22200,397,2024-11-11 07:44:58 UTC,Day flight,EXS
FR505,RYR66QN,EI-DYA,B738,EGGD/BRS,EIDW/DUB,14875,324,2024-11-11 07:44:57 UTC,Day flight,RYR
U22781,EZY18QT,G-EZTG,A320,EGGD/BRS,LFBO/TLS,11850,327,2024-11-11 08:00:00 UTC,Day flight,EZY
U22931,EZY46BE,G-UZLL,A20N,EGGD/BRS,EKCH/CPH,22350,379,2024-11-11 07:59:59 UTC,Day flight,EZY
FR6220,RYR47SE,SP-RSI,B738,EPKK/KRK,EGGD/BRS,15050,270,2024-11-11 07:59:59 UTC,Day flight,RYS
FR6220,RYR47SE,SP-RSI,B738,EPKK/KRK,EGGD/BRS,0,60,2024-11-11 08:14:59 UTC,Day flight,RYS
KL1075,KLM49G,D-APRI,E190,EHAM/AMS,EGGD/BRS,14300,318,2024-11-11 08:14:57 UTC,Day flight,GER
EI3281,EAI81A,EI-HDI,AT76,EGGD/BRS,EIDW/DUB,0,9,2024-11-11 08:29:59 UTC,Day flight,EAI
KL1075,KLM49G,D-APRI,E190,EHAM/AMS,EGGD/BRS,0,0,2024-11-11 08:29:41 UTC,Day flight,GER
,GCIFY,G-CIFY,P28A,EGGD/BRS,None/None,0,2,2024-11-11 08:45:00 UTC,Day flight,
U2322,EZY625M,G-UZHZ,A20N,EGGD/BRS,EGPH/EDI,5200,266,2024-11-11 08:45:00 UTC,Day flight,EZY
EI3281,EAI81A,EI-HDI,AT76,EGGD/BRS,EIDW/DUB,12000,246,2024-11-11 08:44:58 UTC,Day flight,EAI
FR3160,RYR82LH,EI-EKC,B738,LEBL/BCN,EGGD/BRS,6750,246,2024-11-11 08:59:58 UTC,Day flight,RYR
U2222,EZY21TD,G-EZWI,A320,EGAA/BFS,EGGD/BRS,3550,203,2024-11-11 08:59:58 UTC,Day flight,EZY
FR6221,RYR59UJ,SP-RSI,B738,EGGD/BRS,EPKK/KRK,9175,284,2024-11-11 08:59:59 UTC,Day flight,RYS
LS1891,EXS43UN,G-JZBL,B738,EGGD/BRS,GCTS/TFS,0,9,2024-11-11 08:59:58 UTC,Day flight,EXS
,EXS18SH,G-JZHW,B738,EGGD/BRS,LTAI/AYT,0,20,2024-11-11 08:59:59 UTC,Day flight,EXS
LS1891,EXS43UN,G-JZBL,B738,EGGD/BRS,GCTS/TFS,19275,426,2024-11-11 09:14:58 UTC,Day flight,EXS
KL1076,KLM80X,D-APRI,E190,EGGD/BRS,EHAM/AMS,0,1,2024-11-11 09:14:57 UTC,Day flight,GER
,GCIFY,G-CIFY,P28A,EGGD/BRS,None/None,2400,98,2024-11-11 09:14:57 UTC,Day flight,
KL1076,KLM80X,D-APRI,E190,EGGD/BRS,EHAM/AMS,16300,369,2024-11-11 09:29:57 UTC,Day flight,GER
U2214,EZY37UM,G-EZTZ,A320,EGPH/EDI,EGGD/BRS,0,13,2024-11-11 09:44:58 UTC,Day flight,EZY
U2202,EZY93CM,G-EZRT,A320,EGPF/GLA,EGGD/BRS,4050,264,2024-11-11 09:44:59 UTC,Day flight,EZY
U2238,EZY38YA,G-EZUW,A320,EGNT/NCL,EGGD/BRS,2325,175,2024-11-11 09:59:58 UTC,Day flight,EZY
,GWPDC,G-WPDC,EC35,EGGD/BRS,None/None,575,129,2024-11-11 09:59:29 UTC,Day flight,
FR3161,RYR42EB,EI-EKC,B738,EGGD/BRS,LEBL/BCN,0,60,2024-11-11 10:00:00 UTC,Day flight,RYR
LS1809,EXS1809,G-DRTP,B738,EGGD/BRS,LTAI/AYT,0,2,2024-11-11 10:00:00 UTC,Day flight,EXS
U22774,EZY36XH,G-EZGY,A320,LFPG/CDG,EGGD/BRS,2575,185,2024-11-11 10:14:57 UTC,Day flight,EZY
U2231,EZY974X,G-EZWI,A320,EGGD/BRS,EGAC/BHD,0,10,2024-11-11 10:14:59 UTC,Day flight,EZY
LS1809,EXS1809,G-DRTP,B738,EGGD/BRS,LTAI/AYT,10850,328,2024-11-11 10:14:57 UTC,Day flight,EXS
FR506,RYR44PX,EI-DWV,B738,EIDW/DUB,EGGD/BRS,2550,177,2024-11-11 10:45:00 UTC,Day flight,RYR
U2215,EZY759D,G-EZTZ,A320,EGGD/BRS,EGPH/EDI,0,15,2024-11-11 10:45:00 UTC,Day flight,EZY
LS1827,EXS18RK,G-DRTK,B738,EGGD/BRS,GCFV/FUE,5375,242,2024-11-11 10:44:59 UTC,Day flight,EXS
U22839,EZY28GC,G-EZUW,A320,EGGD/BRS,LIRP/PSA,0,2,2024-11-11 10:45:00 UTC,Day flight,EZY
BY6114,TOM63A,G-TUMU,B38M,EGGD/BRS,GCLP/LPA,0,3,2024-11-11 10:44:58 UTC,Day flight,TOM
