date,count
2022-12-31,2
2023-01-01,159
2023-01-02,171
2023-01-03,148
2023-01-04,123
2023-01-05,143
2023-01-06,161
2023-01-07,118
2023-01-08,157
2023-01-09,157
2023-01-10,109
2023-01-11,92
2023-01-12,118
2023-01-13,164
2023-01-14,130
2023-01-15,159
2023-01-16,132
2023-01-17,85
2023-01-18,56
2023-01-19,119
2023-01-20,159
2023-01-21,113
2023-01-22,150
2023-01-23,116
2023-01-24,94
2023-01-25,73
2023-01-26,109
2023-01-27,147
2023-01-28,118
2023-01-29,152
2023-01-30,139
2023-01-31,89
2023-02-01,110
2023-02-02,141
2023-02-03,165
2023-02-04,138
2023-02-05,164
2023-02-06,161
2023-02-07,128
2023-02-08,113
2023-02-09,155
2023-02-10,179
2023-02-11,136
2023-02-12,179
2023-02-13,184
2023-02-14,144
2023-02-15,143
2023-02-16,143
2023-02-17,118
2023-02-18,146
2023-02-19,180
2023-02-20,183
2023-02-21,145
2023-02-22,148
2023-02-23,166
2023-02-24,188
2023-02-25,157
2023-02-26,179
2023-02-27,173
2023-02-28,152
2023-03-01,137
2023-03-02,162
2023-03-03,194
2023-03-04,150
2023-03-05,176
2023-03-06,177
2023-03-07,139
2023-03-08,8
2023-03-09,94
2023-03-10,114
2023-03-11,93
2023-03-12,157
2023-03-13,155
2023-03-14,147
2023-03-15,136
2023-03-16,160
2023-03-17,185
2023-03-18,121
2023-03-19,181
2023-03-20,183
2023-03-21,150
2023-03-22,142
2023-03-23,136
2023-03-24,163
2023-03-25,108
2023-03-26,144
2023-03-27,171
2023-03-28,172
2023-03-29,169
2023-03-30,180
2023-03-31,159
2023-04-01,105
2023-04-02,156
2023-04-03,190
2023-04-04,176
2023-04-05,180
2023-04-06,191
2023-04-07,182
2023-04-08,183
2023-04-09,201
2023-04-10,201
2023-04-11,206
2023-04-12,168
2023-04-13,179
2023-04-14,207
2023-04-15,184
2023-04-16,203
2023-04-17,206
2023-04-18,177
2023-04-19,191
2023-04-20,222
2023-04-21,202
2023-04-22,181
2023-04-23,199
2023-04-24,189
2023-04-25,192
2023-04-26,152
2023-04-27,217
2023-04-28,210
2023-04-29,171
2023-04-30,209
2023-05-01,159
2023-05-02,203
2023-05-03,237
2023-05-04,239
2023-05-05,230
2023-05-06,171
2023-05-07,198
2023-05-08,162
2023-05-09,220
2023-05-10,217
2023-05-11,244
2023-05-12,191
2023-05-13,176
2023-05-14,194
2023-05-15,207
2023-05-16,218
2023-05-17,210
2023-05-18,225
2023-05-19,234
2023-05-20,183
2023-05-21,207
2023-05-22,226
2023-05-23,210
2023-05-24,219
2023-05-25,220
2023-05-26,205
2023-05-27,183
2023-05-28,211
2023-05-29,198
2023-05-30,206
2023-05-31,184
2023-06-01,209
2023-06-02,220
2023-06-03,164
2023-06-04,202
2023-06-05,216
2023-06-06,165
2023-06-07,232
2023-06-08,226
2023-06-09,200
2023-06-10,199
2023-06-11,197
2023-06-12,172
2023-06-13,194
2023-06-14,210
2023-06-15,222
2023-06-16,233
2023-06-17,175
2023-06-18,180
2023-06-19,191
2023-06-20,175
2023-06-21,229
2023-06-22,187
2023-06-23,234
2023-06-24,194
2023-06-25,229
2023-06-26,218
2023-06-27,228
2023-06-28,216
2023-06-29,232
2023-06-30,183
2023-07-01,184
2023-07-02,197
2023-07-03,206
2023-07-04,215
2023-07-05,218
2023-07-06,225
2023-07-07,213
2023-07-08,157
2023-07-09,173
2023-07-10,200
2023-07-11,192
2023-07-12,180
2023-07-13,198
2023-07-14,169
2023-07-15,156
2023-07-16,201
2023-07-17,215
2023-07-18,213
2023-07-19,234
2023-07-20,267
2023-07-21,244
2023-07-22,195
2023-07-23,225
2023-07-24,207
2023-07-25,217
2023-07-26,199
2023-07-27,242
2023-07-28,198
2023-07-29,177
2023-07-30,210
2023-07-31,208
2023-08-01,235
2023-08-02,196
2023-08-03,241
2023-08-04,237
2023-08-05,169
2023-08-06,216
2023-08-07,234
2023-08-08,215
2023-08-09,232
2023-08-10,244
2023-08-11,231
2023-08-12,175
2023-08-13,225
2023-08-14,239
2023-08-15,223
2023-08-16,213
2023-08-17,210
2023-08-18,193
2023-08-19,201
2023-08-20,223
2023-08-21,221
2023-08-22,227
2023-08-23,239
2023-08-24,182
2023-08-25,181
2023-08-26,173
2023-08-27,170
2023-08-28,125
2023-08-29,135
2023-08-30,225
2023-08-31,233
2023-09-01,215
2023-09-02,189
2023-09-03,222
2023-09-04,241
2023-09-05,226
2023-09-06,243
2023-09-07,231
