date,count
31/12/2022,2
01/01/2023,159
02/01/2023,171
03/01/2023,148
04/01/2023,123
05/01/2023,143
06/01/2023,161
07/01/2023,118
08/01/2023,157
09/01/2023,157
10/01/2023,109
11/01/2023,92
12/01/2023,118
13/01/2023,164
14/01/2023,130
15/01/2023,159
16/01/2023,132
17/01/2023,85
18/01/2023,56
19/01/2023,119
20/01/2023,159
21/01/2023,113
22/01/2023,150
23/01/2023,116
24/01/2023,94
25/01/2023,73
26/01/2023,109
27/01/2023,147
28/01/2023,118
29/01/2023,152
30/01/2023,139
31/01/2023,89
01/02/2023,110
02/02/2023,141
03/02/2023,165
04/02/2023,138
05/02/2023,164
06/02/2023,161
07/02/2023,128
08/02/2023,113
09/02/2023,155
10/02/2023,179
11/02/2023,136
12/02/2023,179
13/02/2023,184
14/02/2023,144
15/02/2023,143
16/02/2023,143
17/02/2023,118
18/02/2023,146
19/02/2023,180
20/02/2023,183
21/02/2023,145
22/02/2023,148
23/02/2023,166
24/02/2023,188
25/02/2023,157
26/02/2023,179
27/02/2023,173
28/02/2023,152
01/03/2023,137
02/03/2023,162
03/03/2023,194
04/03/2023,150
05/03/2023,176
06/03/2023,177
07/03/2023,139
08/03/2023,8
09/03/2023,94
10/03/2023,114
11/03/2023,93
12/03/2023,157
13/03/2023,155
14/03/2023,147
15/03/2023,136
16/03/2023,160
17/03/2023,185
18/03/2023,121
19/03/2023,181
20/03/2023,183
21/03/2023,150
22/03/2023,142
23/03/2023,136
24/03/2023,163
25/03/2023,108
26/03/2023,144
27/03/2023,171
28/03/2023,172
29/03/2023,169
30/03/2023,180
31/03/2023,159
01/04/2023,105
02/04/2023,156
03/04/2023,190
04/04/2023,176
05/04/2023,180
06/04/2023,191
07/04/2023,182
08/04/2023,183
09/04/2023,201
10/04/2023,201
11/04/2023,206
12/04/2023,168
13/04/2023,179
14/04/2023,207
15/04/2023,184
16/04/2023,203
17/04/2023,206
18/04/2023,177
19/04/2023,191
20/04/2023,222
21/04/2023,202
22/04/2023,181
23/04/2023,199
24/04/2023,189
25/04/2023,192
26/04/2023,152
27/04/2023,217
28/04/2023,210
29/04/2023,171
30/04/2023,209
01/05/2023,159
02/05/2023,203
03/05/2023,237
04/05/2023,239
05/05/2023,230
06/05/2023,171
07/05/2023,198
08/05/2023,162
09/05/2023,220
10/05/2023,217
11/05/2023,244
12/05/2023,191
13/05/2023,176
14/05/2023,194
15/05/2023,207
16/05/2023,218
17/05/2023,210
18/05/2023,225
19/05/2023,234
20/05/2023,183
21/05/2023,207
22/05/2023,226
23/05/2023,210
24/05/2023,219
25/05/2023,220
26/05/2023,205
27/05/2023,183
28/05/2023,211
29/05/2023,198
30/05/2023,206
31/05/2023,184
01/06/2023,209
02/06/2023,220
03/06/2023,164
04/06/2023,202
05/06/2023,216
06/06/2023,165
07/06/2023,232
08/06/2023,226
09/06/2023,200
10/06/2023,199
11/06/2023,197
12/06/2023,172
13/06/2023,194
14/06/2023,210
15/06/2023,222
16/06/2023,233
17/06/2023,175
18/06/2023,180
19/06/2023,191
20/06/2023,175
21/06/2023,229
22/06/2023,187
23/06/2023,234
24/06/2023,194
25/06/2023,229
26/06/2023,218
27/06/2023,228
28/06/2023,216
29/06/2023,232
30/06/2023,183
01/07/2023,184
02/07/2023,197
03/07/2023,206
04/07/2023,215
05/07/2023,218
06/07/2023,225
07/07/2023,213
08/07/2023,157
09/07/2023,173
10/07/2023,200
11/07/2023,192
12/07/2023,180
13/07/2023,198
14/07/2023,169
15/07/2023,156
16/07/2023,201
17/07/2023,215
18/07/2023,213
19/07/2023,234
20/07/2023,267
21/07/2023,244
22/07/2023,195
23/07/2023,225
24/07/2023,207
25/07/2023,217
26/07/2023,199
27/07/2023,242
28/07/2023,198
29/07/2023,177
30/07/2023,210
31/07/2023,208
01/08/2023,235
02/08/2023,196
03/08/2023,241
04/08/2023,237
05/08/2023,169
06/08/2023,216
07/08/2023,234
08/08/2023,215
09/08/2023,232
10/08/2023,244
11/08/2023,231
12/08/2023,175
13/08/2023,225
14/08/2023,239
15/08/2023,223
16/08/2023,213
17/08/2023,210
18/08/2023,193
19/08/2023,201
20/08/2023,223
21/08/2023,221
22/08/2023,227
23/08/2023,239
24/08/2023,182
25/08/2023,181
26/08/2023,173
27/08/2023,170
28/08/2023,125
29/08/2023,135
30/08/2023,225
31/08/2023,233
01/09/2023,215
02/09/2023,189
03/09/2023,222
04/09/2023,241
05/09/2023,226
06/09/2023,243
07/09/2023,231
08/09/2023,260
09/09/2023,178
10/09/2023,190
11/09/2023,260
12/09/2023,238
13/09/2023,246
14/09/2023,256
15/09/2023,232
16/09/2023,203
17/09/2023,149
18/09/2023,194
19/09/2023,250
20/09/2023,242
21/09/2023,254
22/09/2023,253
23/09/2023,193
24/09/2023,224
25/09/2023,272
26/09/2023,253
27/09/2023,225
28/09/2023,260
29/09/2023,262
30/09/2023,227
01/10/2023,257
02/10/2023,245
03/10/2023,220
04/10/2023,243
05/10/2023,260
06/10/2023,250
07/10/2023,208
08/10/2023,249
09/10/2023,250
10/10/2023,239
11/10/2023,255
12/10/2023,243
13/10/2023,189
14/10/2023,193
15/10/2023,239
16/10/2023,211
17/10/2023,226
18/10/2023,227
19/10/2023,236
20/10/2023,211
21/10/2023,190
22/10/2023,246
23/10/2023,209
24/10/2023,250
25/10/2023,232
26/10/2023,206
27/10/2023,222
28/10/2023,95
29/10/2023,218
30/10/2023,259
31/10/2023,211
01/11/2023,198
02/11/2023,148
03/11/2023,212
04/11/2023,172
05/11/2023,186
06/11/2023,224
07/11/2023,125
08/11/2023,146
09/11/2023,174
10/11/2023,197
11/11/2023,148
12/11/2023,173
13/11/2023,167
14/11/2023,125
15/11/2023,139
16/11/2023,166
17/11/2023,193
18/11/2023,137
19/11/2023,156
20/11/2023,160
21/11/2023,125
22/11/2023,128
23/11/2023,168
24/11/2023,192
25/11/2023,146
26/11/2023,160
27/11/2023,210
28/11/2023,139
29/11/2023,141
30/11/2023,146
01/12/2023,149
02/12/2023,110
03/12/2023,150
04/12/2023,189
05/12/2023,318
06/12/2023,322
07/12/2023,121
08/12/2023,70
12/12/2023,108
13/12/2023,164
14/12/2023,195
15/12/2023,230
16/12/2023,198
17/12/2023,222
18/12/2023,239
19/12/2023,203
20/12/2023,203
21/12/2023,171
22/12/2023,656
23/12/2023,449
24/12/2023,317
25/12/2023,95
26/12/2023,176
27/12/2023,155
28/12/2023,179
29/12/2023,205
30/12/2023,179
31/12/2023,182
01/01/2024,217
02/01/2024,187
03/01/2024,173
04/01/2024,188
05/01/2024,205
06/01/2024,168
07/01/2024,177
08/01/2024,189
09/01/2024,115
10/01/2024,108
11/01/2024,135
12/01/2024,180
13/01/2024,311
14/01/2024,179
15/01/2024,155
16/01/2024,107
17/01/2024,106
18/01/2024,141
19/01/2024,383
20/01/2024,165
21/01/2024,111
22/01/2024,168
23/01/2024,108
24/01/2024,109
25/01/2024,145
26/01/2024,192
27/01/2024,142
31/01/2024,96
01/02/2024,170
02/02/2024,213
03/02/2024,165
04/02/2024,198
05/02/2024,220
06/02/2024,150
07/02/2024,156
08/02/2024,174
09/02/2024,209
10/02/2024,193
11/02/2024,209
12/02/2024,232
13/02/2024,169
14/02/2024,166
16/02/2024,237
17/02/2024,196
18/02/2024,213
19/02/2024,238
20/02/2024,486
21/02/2024,332
22/02/2024,181
23/02/2024,198
