date,total_flights,average_delay,most_frequent_departure_airport,most_frequent_arrival_airport
2023-05-06,1,15.0,edi,brs
2023-05-07,1,14.0,fao,brs
2023-05-08,8,15.125,pmi,brs
2023-05-10,3,19.666666666666668,lpa,brs
2023-05-14,1,23.0,fao,brs
2023-05-15,2,47.0,dub,brs
2023-05-16,1,31.0,dub,brs
2023-05-20,1,43.0,dub,brs
2023-05-25,3,15.666666666666666,agp,brs
2023-06-13,2,33.0,dub,brs
2023-06-19,1,12.0,bzg,brs
2023-06-22,1,29.0,bio,brs
2023-06-24,4,22.0,dub,brs
2023-06-25,1,29.0,teb,brs
2023-06-27,1,35.0,dlm,brs
2023-07-01,1,34.0,nte,brs
2023-07-02,1,33.0,ace,brs
2023-07-05,1,40.0,fao,brs
2023-07-07,1,3.0,jsi,brs
2023-07-10,1,15.0,skg,brs
2023-07-12,1,28.0,cfu,brs
2023-07-13,3,23.333333333333332,nce,brs
2023-07-17,2,20.0,bzr,brs
2023-07-23,1,25.0,lig,brs
2023-07-31,1,11.0,bod,brs
2023-08-03,3,28.666666666666668,dub,brs
2023-08-04,1,15.0,bwf,brs
2023-08-05,3,29.666666666666668,dub,brs
2023-08-09,1,15.0,agp,brs
2023-08-12,1,19.0,agp,brs
2023-08-13,1,38.0,fao,brs
2023-08-18,1,22.0,ams,brs
2023-08-22,1,22.0,tpa,brs
2023-08-23,3,21.333333333333332,dub,brs
2023-08-27,1,50.0,chq,brs
2023-09-01,1,29.0,yyt,brs
2023-09-08,1,28.0,mah,brs
2023-10-06,1,16.0,ath,brs
2023-11-12,1,14.0,jer,brs
2023-11-19,6,11.5,ams,brs
2023-11-20,7,11.714285714285714,ams,brs
2023-12-08,1,10.0,sjc,brs
2024-02-15,1,11.0,sjc,brs
2024-02-24,1,30.0,szg,brs
2024-02-25,11,22.727272727272727,ams,brs
2024-02-26,6,22.666666666666668,ams,brs
2024-03-24,1,51.0,bed,brs
2024-04-02,1,35.0,agp,brs
2024-04-07,16,15.4375,ams,brs
2024-04-14,1,2.0,gci,brs
2023-05-01,84,15.988095238095237,brs,ams
2023-05-02,106,17.056603773584907,brs,ams
2023-05-03,123,16.097560975609756,brs,ams
2023-05-04,118,17.593220338983052,brs,ams
2023-05-05,116,17.948275862068964,brs,ams
2023-05-06,85,18.6,brs,ams
2023-05-07,98,16.714285714285715,brs,ams
2023-05-08,75,20.266666666666666,brs,ams
2023-05-09,111,19.783783783783782,brs,ams
2023-05-10,108,15.194444444444445,brs,ams
2023-05-11,126,15.531746031746032,brs,ams
2023-05-12,89,22.03370786516854,brs,pmi
2023-05-13,82,21.073170731707318,brs,ams
2023-05-14,92,20.5,brs,ams
2023-05-15,98,16.642857142857142,brs,ams
2023-05-16,114,15.105263157894736,brs,ams
2023-05-17,104,16.83653846153846,brs,ams
