type,status,departure.iataCode,departure.icaoCode,departure.actualTime,arrival.iataCode,arrival.icaoCode,arrival.actualTime
arrival,landed,alc,leal,2023-01-01t17:55:00.000,brs,eggd,2023-01-01t18:57:00.000
arrival,landed,sof,lbsf,2022-12-31t22:16:00.000,brs,eggd,2022-12-31t23:18:00.000
arrival,landed,pfo,lcph,2022-12-31t21:05:00.000,brs,eggd,2022-12-31t23:36:00.000
arrival,landed,hrg,hegn,2022-12-31t22:08:00.000,brs,eggd,2023-01-01t01:46:00.000
arrival,landed,dub,eidw,2023-01-01t06:38:00.000,brs,eggd,2023-01-01t07:35:00.000
arrival,landed,gla,egpf,2023-01-01t07:05:00.000,brs,eggd,2023-01-01t08:05:00.000
arrival,landed,fra,eddf,2023-01-01t07:49:00.000,brs,eggd,2023-01-01t08:20:00.000
arrival,landed,edi,egph,2023-01-01t08:59:00.000,brs,eggd,2023-01-01t09:59:00.000
arrival,landed,wmi,epmo,2023-01-01t09:17:00.000,brs,eggd,2023-01-01t11:04:00.000
arrival,landed,gva,lsgg,2023-01-01t10:59:00.000,brs,eggd,2023-01-01t11:27:00.000
arrival,landed,dub,eidw,2023-01-01t10:32:00.000,brs,eggd,2023-01-01t11:17:00.000
arrival,landed,cdg,lfpg,2023-01-01t12:25:00.000,brs,eggd,2023-01-01t12:19:00.000
arrival,landed,ory,lfpo,2023-01-01t11:27:00.000,brs,eggd,2023-01-01t11:22:00.000
arrival,landed,bcn,lebl,2023-01-01t11:10:00.000,brs,eggd,2023-01-01t11:56:00.000
arrival,landed,bgy,lime,2023-01-01t11:07:00.000,brs,eggd,2023-01-01t11:51:00.000
arrival,landed,inn,lowi,2023-01-01t11:24:00.000,brs,eggd,2023-01-01t12:15:00.000
arrival,landed,noc,eikn,2023-01-01t11:34:00.000,brs,eggd,2023-01-01t12:30:00.000
arrival,landed,agp,lemg,2023-01-01t11:16:00.000,brs,eggd,2023-01-01t12:22:00.000
arrival,landed,fao,lpfr,2023-01-01t10:40:00.000,brs,eggd,2023-01-01t12:45:00.000
arrival,landed,szg,lows,2023-01-01t12:00:00.000,brs,eggd,2023-01-01t12:59:00.000
arrival,landed,ams,eham,2023-01-01t13:03:00.000,brs,eggd,2023-01-01t13:05:00.000
arrival,landed,gib,lxgb,2023-01-01t11:48:00.000,brs,eggd,2023-01-01t13:02:00.000
arrival,landed,bfs,egaa,2023-01-01t12:43:00.000,brs,eggd,2023-01-01t13:34:00.000
arrival,landed,lis,lppt,2023-01-01t11:20:00.000,brs,eggd,2023-01-01t13:08:00.000
arrival,landed,fao,lpfr,2023-01-01t11:23:00.000,brs,eggd,2023-01-01t13:26:00.000
arrival,landed,kef,bikf,2023-01-01t11:39:00.000,brs,eggd,2023-01-01t14:15:00.000
arrival,landed,dub,eidw,2023-01-01t13:58:00.000,brs,eggd,2023-01-01t14:55:00.000
arrival,landed,dub,eidw,2023-01-01t14:17:00.000,brs,eggd,2023-01-01t15:03:00.000
arrival,landed,ath,lgav,2023-01-01t13:25:00.000,brs,eggd,2023-01-01t15:07:00.000
arrival,landed,gci,egjb,2023-01-01t14:58:00.000,brs,eggd,2023-01-01t15:37:00.000
arrival,landed,lys,lfll,2023-01-01t15:24:00.000,brs,eggd,2023-01-01t15:50:00.000
arrival,landed,gva,lsgg,2023-01-01t16:45:00.000,brs,eggd,2023-01-01t17:08:00.000
arrival,landed,bhd,egac,2023-01-01t15:45:00.000,brs,eggd,2023-01-01t16:35:00.000
arrival,landed,ams,eham,2023-01-01t16:58:00.000,brs,eggd,2023-01-01t16:56:00.000
arrival,landed,bfs,egaa,2023-01-01t15:57:00.000,brs,eggd,2023-01-01t16:51:00.000
arrival,landed,tfs,gcts,2023-01-01t13:46:00.000,brs,eggd,2023-01-01t17:00:00.000
arrival,landed,tsf,liph,2023-01-01t16:17:00.000,brs,eggd,2023-01-01t17:15:00.000
arrival,landed,gva,lsgg,2023-01-01t16:53:00.000,brs,eggd,2023-01-01t17:20:00.000
arrival,landed,inv,egpe,2023-01-01t15:58:00.000,brs,eggd,2023-01-01t17:11:00.000
arrival,landed,iom,egns,2023-01-01t16:43:00.000,brs,eggd,2023-01-01t17:27:00.000
arrival,landed,ams,eham,2023-01-01t17:23:00.000,brs,eggd,2023-01-01t17:24:00.000
arrival,landed,tls,lfbo,2023-01-01t17:12:00.000,brs,eggd,2023-01-01t17:36:00.000
arrival,landed,gla,egpf,2023-01-01t16:51:00.000,brs,eggd,2023-01-01t17:52:00.000
arrival,landed,tfs,gcts,2023-01-01t14:37:00.000,brs,eggd,2023-01-01t17:49:00.000
arrival,landed,edi,egph,2023-01-01t17:35:00.000,brs,eggd,2023-01-01t18:35:00.000
arrival,landed,dub,eidw,2023-01-01t17:43:00.000,brs,eggd,2023-01-01t18:42:00.000
arrival,landed,fco,lirf,2023-01-01t17:20:00.000,brs,eggd,2023-01-01t18:39:00.000
arrival,landed,agp,lemg,2023-01-01t18:31:00.000,brs,eggd,2023-01-01t19:37:00.000
arrival,landed,krk,epkk,2023-01-01t18:52:00.000,brs,eggd,2023-01-01t20:25:00.000
arrival,landed,gva,lsgg,2023-01-01t19:45:00.000,brs,eggd,2023-01-01t20:08:00.000
arrival,landed,ncl,egnt,2023-01-01t20:20:00.000,brs,eggd,2023-01-01t21:12:00.000
arrival,landed,dub,eidw,2023-01-01t21:25:00.000,brs,eggd,2023-01-01t22:08:00.000
arrival,landed,ams,eham,2023-01-01t21:26:00.000,brs,eggd,2023-01-01t21:26:00.000
arrival,landed,mad,lemd,2023-01-01t21:01:00.000,brs,eggd,2023-01-01t21:35:00.000
arrival,landed,gva,lsgg,2023-01-01t22:14:00.000,brs,eggd,2023-01-01t22:34:00.000
arrival,landed,edi,egph,2023-01-01t20:49:00.000,brs,eggd,2023-01-01t21:52:00.000
arrival,landed,psa,lirp,2023-01-01t21:09:00.000,brs,eggd,2023-01-01t22:04:00.000
arrival,landed,cdg,lfpg,2023-01-01t22:00:00.000,brs,eggd,2023-01-01t21:57:00.000
arrival,landed,prg,lkpr,2023-01-01t20:53:00.000,brs,eggd,2023-01-01t21:50:00.000
arrival,landed,ams,eham,2023-01-01t22:02:00.000,brs,eggd,2023-01-01t22:00:00.000
arrival,landed,ace,gcrr,2023-01-01t18:50:00.000,brs,eggd,2023-01-01t21:54:00.000
arrival,landed,gla,egpf,2023-01-01t21:15:00.000,brs,eggd,2023-01-01t22:17:00.000
arrival,landed,ber,eddb,2023-01-01t21:51:00.000,brs,eggd,2023-01-01t22:48:00.000
arrival,landed,bcn,lebl,2023-01-01t21:40:00.000,brs,eggd,2023-01-01t22:20:00.000
arrival,landed,bsl,lfsb,2023-01-01t22:51:00.000,brs,eggd,2023-01-01t23:12:00.000
arrival,landed,dub,eidw,2023-01-01t22:56:00.000,brs,eggd,2023-01-01t23:41:00.000
arrival,landed,bud,lhbp,2023-01-01t22:28:00.000,brs,eggd,2023-01-02t00:07:00.000
arrival,landed,szg,lows,2023-01-01t12:40:00.000,brs,eggd,2023-01-01t13:39:00.000
arrival,landed,dub,eidw,2023-01-02t06:49:00.000,brs,eggd,2023-01-02t07:34:00.000
arrival,landed,dub,eidw,2023-01-02t07:03:00.000,brs,eggd,2023-01-02t07:57:00.000
arrival,landed,kun,eyka,2023-01-02t06:47:00.000,brs,eggd,2023-01-02t07:48:00.000
arrival,landed,wro,epwr,2023-01-02t06:25:00.000,brs,eggd,2023-01-02t07:38:00.000
arrival,landed,ncl,egnt,2023-01-02t08:32:00.000,brs,eggd,2023-01-02t09:19:00.000
arrival,landed,gla,egpf,2023-01-02t08:57:00.000,brs,eggd,2023-01-02t09:53:00.000
arrival,landed,cgn,eddk,2023-01-02t10:17:00.000,brs,eggd,2023-01-02t10:32:00.000
arrival,landed,fra,eddf,2023-01-02t10:03:00.000,brs,eggd,2023-01-02t10:25:00.000
arrival,landed,cdg,lfpg,2023-01-02t11:00:00.000,brs,eggd,2023-01-02t10:52:00.000
arrival,landed,ory,lfpo,2023-01-02t10:54:00.000,brs,eggd,2023-01-02t10:47:00.000
arrival,landed,ams,eham,2023-01-02t11:01:00.000,brs,eggd,2023-01-02t11:02:00.000
arrival,landed,gva,lsgg,2023-01-02t11:17:00.000,brs,eggd,2023-01-02t11:38:00.000
arrival,landed,tls,lfbo,2023-01-02t11:02:00.000,brs,eggd,2023-01-02t11:29:00.000
arrival,landed,edi,egph,2023-01-02t10:50:00.000,brs,eggd,2023-01-02t11:42:00.000
arrival,landed,bfs,egaa,2023-01-02t10:33:00.000,brs,eggd,2023-01-02t11:23:00.000
arrival,landed,cph,ekch,2023-01-02t11:08:00.000,brs,eggd,2023-01-02t12:06:00.000
arrival,landed,mad,lemd,2023-01-02t19:15:00.000,brs,eggd,2023-01-02t19:59:00.000
arrival,landed,rze,eprz,2023-01-02t10:41:00.000,brs,eggd,2023-01-02t12:23:00.000
