Time,City,Flight Number
10:12 PM,Madrid,U22707
10:10 PM,Barcelona,FR3161
10:05 PM,Malaga,U27006
9:19 PM,Glasgow,U2211
9:15 PM,Newcastle,U2239
9:08 PM,Edinburgh,U2320
9:03 PM,Dublin,FR507
8:55 PM,Edinburgh,U2219
8:48 PM,Dublin,EI3287
8:41 PM,Tenerife,FR4753
8:40 PM,Porto,FR1331
8:24 PM,Malaga,U27004
8:19 PM,Palma de Mallorca,LS1899
8:15 PM,Belfast,U2229
8:06 PM,Aberdeen,LM46
7:59 PM,Jersey,SI495
7:57 PM,Copenhagen,U22931
7:38 PM,Madrid,FR155
7:33 PM,Olbia,U22835
7:26 PM,Dublin,EI3285
7:19 PM,Barcelona,U22705
7:05 PM,Faro,U22873
6:46 PM,Athens,U22803
6:43 PM,Porto,U22875
6:35 PM,Enfidha,U22929
6:30 PM,Alicante,U22721
6:20 PM,Palermo,U22847
5:55 PM,Amsterdam,KL1082
5:33 PM,Bodrum,U22853
5:09 PM,Palma de Mallorca,FR8234
5:02 PM,Agadir,LS3415
4:52 PM,Lanzarote,LS1801
4:47 PM,Barcelona,U27192
4:45 PM,Skiathos,LS1839
4:40 PM,Cork,EI3843
4:38 PM,Inverness,U2245
4:36 PM,Amsterdam,U27075
4:31 PM,Kos,LS1847
4:10 PM,Gran Canaria,BY6468
3:58 PM,Alicante,FR5213
3:51 PM,Heraklion,BY6452
3:47 PM,Lanzarote,BY6464
3:39 PM,Prague,U22935
3:35 PM,Edinburgh,U2217
3:26 PM,Faro,FR4147
3:18 PM,Bodrum,LS1813
3:04 PM,Belfast,U2227
2:55 PM,Gran Canaria,LS1853
2:53 PM,Venice,FR1361
2:41 PM,Dalaman,U22861
2:30 PM,Lisbon,U22867
2:26 PM,Amsterdam,KL1080
2:23 PM,Malaga,FR4121
2:16 PM,Prague,FR749
2:02 PM,Larnaca,U22903
2:00 PM,Geneva,U22885
1:40 PM,Lanzarote,U22733
1:36 PM,Dalaman,LS1817
1:33 PM,Saarbrucken,AZE159V
1:30 PM,Paris,U22775
1:26 PM,Rhodes,U22801
1:20 PM,Dubrovnik,U22893
1:12 PM,Guernsey,GR643
1:12 PM,N/A,GWPDC
1:09 PM,N/A,N/A
12:36 PM,Pula,U22895
12:33 PM,Istanbul,PC1197
12:26 PM,Dublin,FR505
12:18 PM,Venice,U22831
12:04 PM,Paris,U24630
11:28 AM,Berlin,U22933
11:25 AM,Glasgow,U2205
11:23 AM,Palma de Mallorca,U22711
11:18 AM,Alicante,FR2292
11:11 AM,Nice,U22765
10:51 AM,Bordeaux,U22769
10:40 AM,Jersey,SI473
10:35 AM,Bilbao,U22737
10:01 AM,Faro,U27508
9:49 AM,N/A,N/A
9:49 AM,N/A,N/A
9:30 AM,Amsterdam,KL1076
9:21 AM,Alicante,U25526
9:06 AM,Dublin,FR509
9:03 AM,Copenhagen,FR745
9:01 AM,Northolt,JFA74A
8:53 AM,Chania,LS1887
8:45 AM,Dublin,EI3281
8:43 AM,Rome,U22837
8:31 AM,Palma de Mallorca,LS1871
7:43 AM,Palma de Mallorca,BY6404
7:41 AM,Glasgow,U2201
7:30 AM,Marseille,U22781
7:28 AM,Budapest,FR623
7:26 AM,Funchal,U22877
7:24 AM,Newcastle,U2237
7:21 AM,Paris,U22773
7:19 AM,Amsterdam,U22921
7:17 AM,Edinburgh,U2213
7:15 AM,Corfu,BY6408
7:12 AM,Zakynthos,LS1897
7:10 AM,Pisa,U22839
7:07 AM,Malaga,LS1807
7:05 AM,Belfast,U2223
7:03 AM,Gibraltar,U22939
7:01 AM,Milan,U22841
6:57 AM,Dubrovnik,BY6436
6:44 AM,Tenerife,LS1891
6:38 AM,Amsterdam,KL1074
6:36 AM,Wroclaw,FR8212
6:34 AM,Faro,LS1821
6:32 AM,Murcia,U22702
6:29 AM,Palma de Mallorca,U22709
6:27 AM,Bucharest,FR5341
6:25 AM,Kefalonia,LS1819
6:23 AM,Alicante,U22723
6:20 AM,Kefalonia,BY6482
6:18 AM,Malta,BY6406
6:16 AM,Malta,LS1877
6:13 AM,Malaga,U22715
6:11 AM,Tenerife,U22731
6:08 AM,Lanzarote,FR4755
6:05 AM,Split,U22891
6:01 AM,Naples,U22843
12:13 AM,Edinburgh,U2320
