Time,City,Flight Number
11:53 PM,Dubrovnik,U22894
11:50 PM,Newcastle,U2242
11:47 PM,Larnaca,LS3424
11:39 PM,Palma de Mallorca,LS1900
11:33 PM,Paris,U22778
11:25 PM,Antalya,LS1846
11:21 PM,Tenerife,LS1890
11:18 PM,Lanzarote,LS1804
11:10 PM,Madrid,U22708
11:00 PM,Berlin,U22934
10:56 PM,Heraklion,LS1832
10:53 PM,Edinburgh,U2220
10:42 PM,Lisbon,U22870
10:35 PM,Belfast,U2230
10:32 PM,Zakynthos,BY6533
10:11 PM,Faro,FR4148
10:07 PM,Amsterdam,KL1083
10:05 PM,Basel,U22882
9:44 PM,Krakow,U22938
9:15 PM,Dublin,FR506
8:32 PM,Palma de Mallorca,FR8245
8:27 PM,N/A,HLE10
8:02 PM,Palma de Mallorca,U27267
7:54 PM,Cork,EI3842
7:37 PM,Dublin,EI3286
7:26 PM,Geneva,U22886
7:23 PM,Edinburgh,U2218
7:20 PM,Amsterdam,U27076
7:17 PM,Rome,U22838
7:11 PM,Mahon,U22730
7:02 PM,Aberdeen,LM45
6:49 PM,Dublin,FR513
6:04 PM,Ibiza,FR8265
6:03 PM,N/A,GYFLI
6:00 PM,Toulouse,U22784
5:53 PM,Antalya,U22856
5:47 PM,Antalya,XQ584
5:40 PM,Amsterdam,KL1081
5:37 PM,Milan,FR3559
5:34 PM,Nice,U22766
5:31 PM,Belfast,U2262
5:21 PM,Newcastle,U2240
5:15 PM,Corfu,BY6525
5:10 PM,Paris,U22776
5:07 PM,N/A,GKWAK
5:03 PM,Inverness,U2246
4:55 PM,Jersey,SI494
4:52 PM,Tenerife,LS1884
4:49 PM,Venice,FR1362
4:41 PM,Tenerife,BY6509
4:23 PM,Palma de Mallorca,U22712
4:07 PM,Valencia,FR4441
4:04 PM,Girona,FR9335
4:02 PM,Dublin,EI3284
3:45 PM,Skiathos,BY6559
3:41 PM,Isle of Man,U2234
3:37 PM,Kos,U22806
3:34 PM,Wroclaw,FR8213
3:31 PM,Malaga,U27003
3:27 PM,Edinburgh,U2216
3:24 PM,Tenerife,U22732
3:20 PM,Alicante,FR2291
3:10 PM,Copenhagen,U22932
3:07 PM,Bordeaux,U22770
3:00 PM,Fuerteventura,FR1667
2:54 PM,Burgas,BY6513
2:50 PM,Rzeszow,FR8225
2:37 PM,Krakow,FR5519
2:23 PM,Enfidha,U22942
2:06 PM,Burgas,LS1858
2:02 PM,Split,U22892
1:56 PM,Tivat,U22948
1:45 PM,Belfast,U2224
1:41 PM,Corfu,LS1816
1:38 PM,Catania,U22846
1:34 PM,Amsterdam,KL1079
1:31 PM,Faro,LS1822
1:23 PM,Ibiza,LS1836
1:13 PM,Mahon,LS1860
1:10 PM,Dublin,FR504
1:07 PM,Palma de Mallorca,BY6535
1:00 PM,Lisbon,U22868
12:53 PM,Pisa,U22840
12:42 PM,Amsterdam,U25531
12:38 PM,Barcelona,U22704
12:35 PM,Palma de Mallorca,LS1872
12:32 PM,Alicante,U22722
12:29 PM,Zurich,WK294
12:28 PM,N/A,GCJTG
12:22 PM,Alicante,LS1806
12:12 PM,Malaga,U22716
12:06 PM,Guernsey,GR642
11:53 AM,Palma de Mallorca,U22710
11:46 AM,Cork,EI3840
11:40 AM,Malaga,FR4122
11:26 AM,Amsterdam,U22922
11:24 AM,Jersey,SI470
11:07 AM,Geneva,U22884
10:44 AM,Bristol,ELE67
10:31 AM,Paris,U22774
10:12 AM,Glasgow,U2202
10:09 AM,Belfast,U2222
10:06 AM,Limoges,FR3386
10:02 AM,Edinburgh,U2214
9:43 AM,London,CASTLE06
9:10 AM,Palma de Mallorca,FR8235
8:49 AM,Antalya,FH567
8:39 AM,Alicante,U25527
8:36 AM,Amsterdam,KL1075
8:31 AM,Faro,U27507
8:13 AM,Dalaman,FH653
8:04 AM,Dublin,EI3280
6:47 AM,Dublin,FR508
2:50 AM,Madrid,U22708
2:27 AM,Palma de Mallorca,LS1900
2:20 AM,Athens,U22804
2:16 AM,Bodrum,U22854
1:48 AM,Barcelona,FR3160
1:45 AM,Lanzarote,LS1802
1:40 AM,Faro,U22872
1:21 AM,Madrid,FR154
1:19 AM,Kos,LS1848
1:16 AM,Gran Canaria,BY6469
1:10 AM,Porto,FR1332
1:07 AM,Agadir,LS3416
1:03 AM,Enfidha,U22930
12:57 AM,Palermo,U22848
12:54 AM,Olbia,U22836
12:33 AM,Larnaca,U22904
12:29 AM,Heraklion,BY6453
12:27 AM,Skiathos,LS1840
12:24 AM,Lanzarote,BY6465
12:17 AM,Copenhagen,U22932
12:12 AM,Dalaman,U22862
12:10 AM,Dublin,FR506
12:08 AM,Barcelona,U22706
12:05 AM,Alicante,U22722
12:02 AM,Bodrum,LS1814
