flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_delay,time_category
x36148,tuifly,active,2023-05-01t06:00:00.000,2023-05-01t06:02:00.000,2023-05-01 06:12:00,12,Shoulder hour flights
u22709,easyjet,active,2023-05-01t06:00:00.000,2023-05-01t06:00:00.000,2023-05-01 06:32:00,33,Shoulder hour flights
u22715,easyjet,active,2023-05-01t06:00:00.000,2023-05-01t06:00:00.000,2023-05-01 06:08:00,9,Shoulder hour flights
u22845,easyjet,active,2023-05-01t06:00:00.000,2023-05-01t06:10:00.000,2023-05-01 06:20:00,20,Shoulder hour flights
u22891,easyjet,active,2023-05-01t06:05:00.000,2023-05-01t06:10:00.000,2023-05-01 06:26:00,21,Shoulder hour flights
x36120,tuifly,active,2023-05-01t06:10:00.000,2023-05-01t06:11:00.000,2023-05-01 06:39:00,29,Shoulder hour flights
u22805,easyjet,active,2023-05-01t06:10:00.000,2023-05-01t06:10:00.000,2023-05-01 06:24:00,14,Shoulder hour flights
u2223,easyjet,active,2023-05-01t06:15:00.000,2023-05-01t06:15:00.000,2023-05-01 06:22:00,7,Shoulder hour flights
af5199,air france,active,2023-05-01t06:20:00.000,2023-05-01t06:20:00.000,2023-05-01 06:41:00,21,Shoulder hour flights
az3737,alitalia,active,2023-05-01t06:20:00.000,2023-05-01t06:20:00.000,2023-05-01 06:41:00,21,Shoulder hour flights
dl9422,delta air lines,active,2023-05-01t06:20:00.000,2023-05-01t06:20:00.000,2023-05-01 06:41:00,21,Shoulder hour flights
ey7330,etihad airways,active,2023-05-01t06:20:00.000,2023-05-01t06:20:00.000,2023-05-01 06:41:00,21,Shoulder hour flights
g35535,gol,active,2023-05-01t06:20:00.000,2023-05-01t06:20:00.000,2023-05-01 06:41:00,21,Shoulder hour flights
kq1046,kenya airways,active,2023-05-01t06:20:00.000,2023-05-01t06:20:00.000,2023-05-01 06:41:00,21,Shoulder hour flights
vs6854,virgin atlantic,active,2023-05-01t06:20:00.000,2023-05-01t06:20:00.000,2023-05-01 06:41:00,21,Shoulder hour flights
kl1046,klm,active,2023-05-01t06:20:00.000,2023-05-01t06:20:00.000,2023-05-01 06:41:00,21,Shoulder hour flights
u22801,easyjet,active,2023-05-01t06:25:00.000,2023-05-01t06:25:00.000,2023-05-01 07:04:00,40,Regular departures
ls1805,jet2,active,2023-05-01t06:40:00.000,2023-05-01t06:55:00.000,2023-05-01 06:55:00,16,Shoulder hour flights
x36118,tuifly,active,2023-05-01t06:40:00.000,2023-05-01t06:40:00.000,2023-05-01 06:52:00,12,Shoulder hour flights
ls1879,jet2,active,2023-05-01t06:45:00.000,2023-05-01t07:24:00.000,2023-05-01 07:27:00,43,Regular departures
u2237,easyjet,active,2023-05-01t07:00:00.000,2023-05-01t07:00:00.000,2023-05-01 07:06:00,7,Regular departures
u2261,easyjet,active,2023-05-01t07:00:00.000,2023-05-01t06:57:00.000,2023-05-01 07:12:00,13,Regular departures
u2201,easyjet,active,2023-05-01t07:05:00.000,2023-05-01t07:05:00.000,2023-05-01 07:02:00,0,Regular departures
u2213,easyjet,active,2023-05-01t07:05:00.000,2023-05-01t07:05:00.000,2023-05-01 07:14:00,10,Regular departures
u22901,easyjet,active,2023-05-01t07:05:00.000,2023-05-01t07:20:00.000,2023-05-01 07:48:00,44,Regular departures
u22921,easyjet,active,2023-05-01t07:05:00.000,2023-05-01t07:05:00.000,2023-05-01 07:19:00,14,Regular departures
fr9503,ryanair,active,2023-05-01t07:15:00.000,2023-05-01t07:15:00.000,2023-05-01 07:17:00,2,Regular departures
u22773,easyjet,active,2023-05-01t07:15:00.000,2023-05-01t07:25:00.000,2023-05-01 07:43:00,29,Regular departures
u22877,easyjet,active,2023-05-01t07:20:00.000,2023-05-01t07:20:00.000,2023-05-01 07:55:00,35,Regular departures
fr505,ryanair,active,2023-05-01t07:30:00.000,2023-05-01t07:30:00.000,2023-05-01 07:30:00,1,Regular departures
ls1871,jet2,active,2023-05-01t07:30:00.000,2023-05-01t07:47:00.000,2023-05-01 07:50:00,21,Regular departures
