flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
x36680,tuifly,active,2023-10-07t06:00:00.000,2023-10-07t06:00:00.000,2023-10-07 06:11:00,2023-10-07,06:11:00,12,Shoulder hour flights
ls1827,jet2,active,2023-10-07t06:05:00.000,2023-10-07t06:05:00.000,2023-10-07 06:07:00,2023-10-07,06:07:00,2,Shoulder hour flights
x36672,tuifly,active,2023-10-07t06:05:00.000,2023-10-07t06:05:00.000,2023-10-07 06:13:00,2023-10-07,06:13:00,9,Shoulder hour flights
u22837,easyjet,active,2023-10-07t06:05:00.000,2023-10-07t06:03:00.000,2023-10-07 06:16:00,2023-10-07,06:16:00,11,Shoulder hour flights
u22731,easyjet,active,2023-10-07t06:10:00.000,2023-10-07t06:10:00.000,2023-10-07 06:18:00,2023-10-07,06:18:00,8,Shoulder hour flights
u22721,easyjet,active,2023-10-07t06:10:00.000,2023-10-07t06:33:00.000,2023-10-07 06:20:00,2023-10-07,06:20:00,10,Shoulder hour flights
u22921,easyjet,active,2023-10-07t06:10:00.000,2023-10-07t06:10:00.000,2023-10-07 06:09:00,2023-10-07,06:09:00,0,Shoulder hour flights
ls1821,jet2,active,2023-10-07t06:15:00.000,2023-10-07t06:30:00.000,2023-10-07 06:31:00,2023-10-07,06:31:00,16,Shoulder hour flights
af5199,air france,active,2023-10-07t06:20:00.000,2023-10-07t06:27:00.000,2023-10-07 06:23:00,2023-10-07,06:23:00,4,Shoulder hour flights
az3737,alitalia,active,2023-10-07t06:20:00.000,2023-10-07t06:27:00.000,2023-10-07 06:23:00,2023-10-07,06:23:00,4,Shoulder hour flights
dl9422,delta air lines,active,2023-10-07t06:20:00.000,2023-10-07t06:27:00.000,2023-10-07 06:23:00,2023-10-07,06:23:00,4,Shoulder hour flights
ey7330,etihad airways,active,2023-10-07t06:20:00.000,2023-10-07t06:27:00.000,2023-10-07 06:23:00,2023-10-07,06:23:00,4,Shoulder hour flights
g35535,gol,active,2023-10-07t06:20:00.000,2023-10-07t06:27:00.000,2023-10-07 06:23:00,2023-10-07,06:23:00,4,Shoulder hour flights
kq1046,kenya airways,active,2023-10-07t06:20:00.000,2023-10-07t06:27:00.000,2023-10-07 06:23:00,2023-10-07,06:23:00,4,Shoulder hour flights
vs6854,virgin atlantic,active,2023-10-07t06:20:00.000,2023-10-07t06:27:00.000,2023-10-07 06:23:00,2023-10-07,06:23:00,4,Shoulder hour flights
kl1046,klm,active,2023-10-07t06:20:00.000,2023-10-07t06:27:00.000,2023-10-07 06:23:00,2023-10-07,06:23:00,4,Shoulder hour flights
ls1835,jet2,active,2023-10-07t06:20:00.000,2023-10-07t06:20:00.000,2023-10-07 06:40:00,2023-10-07,06:40:00,21,Shoulder hour flights
u22733,easyjet,active,2023-10-07t06:20:00.000,2023-10-07t06:20:00.000,2023-10-07 06:38:00,2023-10-07,06:38:00,19,Shoulder hour flights
fr505,ryanair,active,2023-10-07t06:25:00.000,2023-10-07t06:25:00.000,2023-10-07 06:25:00,2023-10-07,06:25:00,1,Shoulder hour flights
u22877,easyjet,active,2023-10-07t06:25:00.000,2023-10-07t07:05:00.000,2023-10-07 06:51:00,2023-10-07,06:51:00,27,Shoulder hour flights
u22883,easyjet,active,2023-10-07t06:30:00.000,2023-10-07t07:05:00.000,2023-10-07 07:11:00,2023-10-07,07:11:00,41,Regular departures
ls1805,jet2,active,2023-10-07t06:55:00.000,2023-10-07t06:55:00.000,2023-10-07 07:06:00,2023-10-07,07:06:00,11,Regular departures
ls1807,jet2,active,2023-10-07t06:55:00.000,2023-10-07t06:55:00.000,2023-10-07 06:56:00,2023-10-07,06:56:00,1,Shoulder hour flights
u22891,easyjet,active,2023-10-07t06:55:00.000,2023-10-07t06:55:00.000,2023-10-07 07:08:00,2023-10-07,07:08:00,13,Regular departures
u22705,easyjet,active,2023-10-07t07:00:00.000,2023-10-07t07:15:00.000,2023-10-07 06:58:00,2023-10-07,06:58:00,0,Shoulder hour flights
u22813,easyjet,active,2023-10-07t07:00:00.000,2023-10-07t07:00:00.000,2023-10-07 07:26:00,2023-10-07,07:26:00,26,Regular departures
u22903,easyjet,active,2023-10-07t07:00:00.000,2023-10-07t07:04:00.000,2023-10-07 07:33:00,2023-10-07,07:33:00,33,Regular departures
u2213,easyjet,active,2023-10-07t07:05:00.000,2023-10-07t08:03:00.000,2023-10-07 07:43:00,2023-10-07,07:43:00,38,Regular departures
u2223,easyjet,active,2023-10-07t07:05:00.000,2023-10-07t07:18:00.000,2023-10-07 07:13:00,2023-10-07,07:13:00,8,Regular departures
u22831,easyjet,active,2023-10-07t07:10:00.000,2023-10-07t07:19:00.000,2023-10-07 07:20:00,2023-10-07,07:20:00,10,Regular departures
fr2292,ryanair,active,2023-10-07t07:20:00.000,2023-10-07t07:20:00.000,2023-10-07 07:28:00,2023-10-07,07:28:00,8,Regular departures
u22763,easyjet,active,2023-10-07t07:20:00.000,2023-10-07t07:45:00.000,2023-10-07 07:51:00,2023-10-07,07:51:00,32,Regular departures
ls1871,jet2,active,2023-10-07t07:30:00.000,2023-10-07t07:30:00.000,2023-10-07 07:54:00,2023-10-07,07:54:00,25,Regular departures
fr8224,ryanair,active,2023-10-07t07:40:00.000,2023-10-07t07:45:00.000,2023-10-07 07:57:00,2023-10-07,07:57:00,17,Regular departures
x36660,tuifly,active,2023-10-07t07:55:00.000,2023-10-07t07:55:00.000,2023-10-07 08:15:00,2023-10-07,08:15:00,20,Regular departures
ls1829,jet2,active,2023-10-07t08:05:00.000,2023-10-07t08:05:00.000,2023-10-07 08:08:00,2023-10-07,08:08:00,4,Regular departures
fr8681,ryanair,active,2023-10-07t08:15:00.000,2023-10-07t08:15:00.000,2023-10-07 08:44:00,2023-10-07,08:44:00,30,Regular departures
ba8937,british airways,active,2023-10-07t08:25:00.000,2023-10-07t08:35:00.000,2023-10-07 08:25:00,2023-10-07,08:25:00,0,Regular departures
ei3281,aer lingus,active,2023-10-07t08:25:00.000,2023-10-07t08:35:00.000,2023-10-07 08:25:00,2023-10-07,08:25:00,0,Regular departures
fr4121,ryanair,active,2023-10-07t08:30:00.000,2023-10-07t08:30:00.000,2023-10-07 08:37:00,2023-10-07,08:37:00,8,Regular departures
fr4755,ryanair,active,2023-10-07t08:50:00.000,2023-10-07t09:05:00.000,2023-10-07 09:16:00,2023-10-07,09:16:00,27,Regular departures
dl9423,delta air lines,active,2023-10-07t09:15:00.000,2023-10-07t09:23:00.000,2023-10-07 09:25:00,2023-10-07,09:25:00,10,Regular departures
ey5843,etihad airways,active,2023-10-07t09:15:00.000,2023-10-07t09:23:00.000,2023-10-07 09:25:00,2023-10-07,09:25:00,10,Regular departures
kq1050,kenya airways,active,2023-10-07t09:15:00.000,2023-10-07t09:23:00.000,2023-10-07 09:25:00,2023-10-07,09:25:00,10,Regular departures
vs7044,virgin atlantic,active,2023-10-07t09:15:00.000,2023-10-07t09:23:00.000,2023-10-07 09:25:00,2023-10-07,09:25:00,10,Regular departures
kl1050,klm,active,2023-10-07t09:15:00.000,2023-10-07t09:23:00.000,2023-10-07 09:25:00,2023-10-07,09:25:00,10,Regular departures
fr1361,ryanair,active,2023-10-07t09:30:00.000,2023-10-07t09:45:00.000,2023-10-07 09:58:00,2023-10-07,09:58:00,28,Regular departures
rr6221,ryanair sun,active,2023-10-07t09:30:00.000,2023-10-07t09:30:00.000,2023-10-07 09:52:00,2023-10-07,09:52:00,22,Regular departures
u27508,easyjet,active,2023-10-07t09:40:00.000,2023-10-07t10:28:00.000,2023-10-07 10:25:00,2023-10-07,10:25:00,45,Regular departures
u2245,easyjet,active,2023-10-07t09:50:00.000,2023-10-07t09:45:00.000,2023-10-07 10:00:00,2023-10-07,10:00:00,11,Regular departures
u22895,easyjet,active,2023-10-07t10:40:00.000,2023-10-07t10:40:00.000,2023-10-07 10:36:00,2023-10-07,10:36:00,0,Regular departures
u22717,easyjet,active,2023-10-07t12:20:00.000,2023-10-07t12:20:00.000,2023-10-07 12:28:00,2023-10-07,12:28:00,8,Regular departures
u2406,easyjet,active,2023-10-07t12:25:00.000,2023-10-07t12:26:00.000,2023-10-07 12:36:00,2023-10-07,12:36:00,12,Regular departures
x36676,tuifly,active,2023-10-07t12:35:00.000,2023-10-07t12:50:00.000,2023-10-07 12:52:00,2023-10-07,12:52:00,17,Regular departures
u2225,easyjet,active,2023-10-07t12:35:00.000,2023-10-07t12:48:00.000,2023-10-07 12:47:00,2023-10-07,12:47:00,12,Regular departures
u22871,easyjet,active,2023-10-07t12:40:00.000,2023-10-07t12:50:00.000,2023-10-07 12:54:00,2023-10-07,12:54:00,15,Regular departures
u22711,easyjet,active,2023-10-07t12:45:00.000,2023-10-07t12:45:00.000,2023-10-07 13:16:00,2023-10-07,13:16:00,32,Regular departures
u22911,easyjet,active,2023-10-07t12:50:00.000,2023-10-07t12:50:00.000,2023-10-07 13:07:00,2023-10-07,13:07:00,18,Regular departures
u22781,easyjet,active,2023-10-07t13:10:00.000,2023-10-07t13:10:00.000,2023-10-07 13:11:00,2023-10-07,13:11:00,2,Regular departures
u24980,easyjet,active,2023-10-07t13:10:00.000,2023-10-07t13:52:00.000,2023-10-07 13:54:00,2023-10-07,13:54:00,45,Regular departures
ls1809,jet2,active,2023-10-07t13:15:00.000,2023-10-07t13:30:00.000,2023-10-07 13:25:00,2023-10-07,13:25:00,10,Regular departures
u22807,easyjet,active,2023-10-07t13:20:00.000,2023-10-07t13:37:00.000,2023-10-07 13:46:00,2023-10-07,13:46:00,27,Regular departures
