Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival
easyJet,Charles De Gaulle,2024-04-18T10:00:00+00:00,2024-04-18T10:34:00+00:00,Bristol,2024-04-18T10:20:00+00:00,2024-04-18T10:28:00+00:00
Ryanair,Girona-Costa Brava,2024-04-18T10:20:00+00:00,2024-04-18T10:22:00+00:00,Bristol,2024-04-18T11:30:00+00:00,2024-04-18T11:27:00+00:00
Platoon Aviation,Manchester Airport,2024-04-18T19:40:00+00:00,,Bristol,2024-04-18T20:27:00+00:00,
Jet2,Malta International,2024-04-18T11:00:00+00:00,2024-04-18T11:11:00+00:00,Bristol,2024-04-18T13:30:00+00:00,2024-04-18T13:30:00+00:00
Ryanair,Dublin International,2024-04-18T20:45:00+00:00,2024-04-18T21:17:00+00:00,Bristol,2024-04-18T21:50:00+00:00,2024-04-18T21:57:00+00:00
Blue Islands,Jersey,2024-04-18T09:10:00+00:00,,Bristol,2024-04-18T10:10:00+00:00,
Jet2,Faro,2024-04-18T09:45:00+00:00,2024-04-18T09:46:00+00:00,Bristol,2024-04-18T12:25:00+00:00,2024-04-18T12:12:00+00:00
Loganair,Jersey,2024-04-18T09:10:00+00:00,,Bristol,2024-04-18T10:10:00+00:00,
,Jersey,2024-04-18T09:10:00+00:00,,Bristol,2024-04-18T10:10:00+00:00,
Jet2,Pablo Ruiz Picasso,2024-04-18T11:25:00+00:00,2024-04-18T11:39:00+00:00,Bristol,2024-04-18T13:10:00+00:00,2024-04-18T13:11:00+00:00
Blue Islands,Jersey,2024-04-18T09:10:00+00:00,2024-04-18T09:39:00+00:00,Bristol,2024-04-18T10:07:00+00:00,2024-04-18T10:31:00+00:00
easyJet,Galileo Galilei,2024-04-18T10:50:00+00:00,2024-04-18T11:20:00+00:00,Bristol,2024-04-18T12:10:00+00:00,2024-04-18T12:29:00+00:00
easyJet,North Front,2024-04-18T11:00:00+00:00,2024-04-18T10:55:00+00:00,Bristol,2024-04-18T12:50:00+00:00,2024-04-18T12:36:00+00:00
easyJet,Leonardo Da Vinci (Fiumicino),2024-04-18T11:45:00+00:00,2024-04-18T12:12:00+00:00,Bristol,2024-04-18T13:40:00+00:00,2024-04-18T13:40:00+00:00
easyJet,Edinburgh,2024-04-18T16:45:00+00:00,2024-04-18T17:22:00+00:00,Bristol,2024-04-18T18:00:00+00:00,2024-04-18T18:15:00+00:00
easyJet,Diagoras,2024-04-18T19:45:00+00:00,2024-04-18T19:52:00+00:00,Bristol,2024-04-18T22:10:00+00:00,2024-04-18T22:03:00+00:00
Ryanair,Alicante El Altet,2024-04-18T13:30:00+00:00,2024-04-18T13:59:00+00:00,Bristol,2024-04-18T15:05:00+00:00,2024-04-18T15:26:00+00:00
easyJet,Alicante El Altet,2024-04-18T10:25:00+00:00,2024-04-18T10:45:00+00:00,Bristol,2024-04-18T12:00:00+00:00,2024-04-18T12:21:00+00:00
easyJet,Corvera International,2024-04-18T10:20:00+00:00,2024-04-18T10:35:00+00:00,Bristol,2024-04-18T11:55:00+00:00,2024-04-18T12:08:00+00:00
Ryanair,Beziers Vias,2024-04-18T10:35:00+00:00,2024-04-18T11:20:00+00:00,Bristol,2024-04-18T11:35:00+00:00,2024-04-18T12:15:00+00:00
easyJet,Son Sant Joan Airport,2024-04-18T14:30:00+00:00,2024-04-18T14:33:00+00:00,Bristol,2024-04-18T16:00:00+00:00,2024-04-18T15:57:00+00:00
easyJet,Dubrovnik,2024-04-18T17:40:00+00:00,2024-04-18T17:49:00+00:00,Bristol,2024-04-18T19:40:00+00:00,2024-04-18T19:36:00+00:00
easyJet,Bilbao,2024-04-18T16:55:00+00:00,2024-04-18T16:58:00+00:00,Bristol,2024-04-18T17:40:00+00:00,2024-04-18T17:45:00+00:00
easyJet,Split,2024-04-18T10:10:00+00:00,2024-04-18T10:35:00+00:00,Bristol,2024-04-18T11:55:00+00:00,2024-04-18T12:05:00+00:00
Kenya Airways,Schiphol,2024-04-18T12:55:00+00:00,2024-04-18T13:52:00+00:00,Bristol,2024-04-18T13:10:00+00:00,2024-04-18T13:43:00+00:00
Delta Air Lines,Schiphol,2024-04-18T12:55:00+00:00,2024-04-18T13:52:00+00:00,Bristol,2024-04-18T13:10:00+00:00,2024-04-18T13:43:00+00:00
Virgin Atlantic,Schiphol,2024-04-18T12:55:00+00:00,2024-04-18T13:52:00+00:00,Bristol,2024-04-18T13:10:00+00:00,2024-04-18T13:43:00+00:00
easyJet,Son Sant Joan Airport,2024-04-18T10:00:00+00:00,2024-04-18T10:06:00+00:00,Bristol,2024-04-18T11:30:00+00:00,2024-04-18T11:32:00+00:00
easyJet,Son Sant Joan Airport,2024-04-18T14:30:00+00:00,,Bristol,2024-04-18T16:00:00+00:00,
Ryanair,Bydgoszcz I. J. Paderewski Airport,2024-04-18T15:35:00+00:00,2024-04-18T16:00:00+00:00,Bristol,2024-04-18T17:00:00+00:00,2024-04-18T17:00:00+00:00
easyJet,Edinburgh,2024-04-18T19:05:00+00:00,2024-04-18T19:02:00+00:00,Bristol,2024-04-18T20:20:00+00:00,2024-04-18T19:57:00+00:00
TUIfly,Malta International,2024-04-18T11:15:00+00:00,2024-04-18T11:39:00+00:00,Bristol,2024-04-18T13:40:00+00:00,2024-04-18T13:56:00+00:00
easyJet,Orly,2024-04-18T15:50:00+00:00,2024-04-18T16:22:00+00:00,Bristol,2024-04-18T16:10:00+00:00,2024-04-18T16:24:00+00:00
Jet2,Lanzarote,2024-04-18T14:05:00+00:00,2024-04-18T14:06:00+00:00,Bristol,2024-04-18T18:00:00+00:00,2024-04-18T17:41:00+00:00
easyJet,Faro,2024-04-18T09:50:00+00:00,2024-04-18T09:51:00+00:00,Bristol,2024-04-18T12:30:00+00:00,2024-04-18T12:23:00+00:00
British Airways,Dublin International,2024-04-18T14:30:00+00:00,2024-04-18T14:54:00+00:00,Bristol,2024-04-18T15:50:00+00:00,2024-04-18T15:50:00+00:00
Qatar Airways,Dublin International,2024-04-18T14:30:00+00:00,2024-04-18T14:54:00+00:00,Bristol,2024-04-18T15:50:00+00:00,2024-04-18T15:50:00+00:00
Aer Lingus,Dublin International,2024-04-18T14:30:00+00:00,2024-04-18T14:54:00+00:00,Bristol,2024-04-18T15:50:00+00:00,2024-04-18T15:50:00+00:00
Ryanair,Marco Polo,2024-04-18T15:50:00+00:00,2024-04-18T16:56:00+00:00,Bristol,2024-04-18T17:10:00+00:00,2024-04-18T17:57:00+00:00
TUIfly,Larnaca,2024-04-18T22:45:00+00:00,2024-04-18T22:50:00+00:00,Bristol,2024-04-19T01:45:00+00:00,2024-04-19T01:35:00+00:00
easyJet,Charles De Gaulle,2024-04-18T12:50:00+00:00,2024-04-18T13:34:00+00:00,Bristol,2024-04-18T13:10:00+00:00,2024-04-18T13:34:00+00:00
Jet2,Sur Reina Sofia,2024-04-18T15:35:00+00:00,2024-04-18T15:43:00+00:00,Bristol,2024-04-18T19:45:00+00:00,2024-04-18T19:48:00+00:00
TUIfly,Lanzarote,2024-04-18T14:50:00+00:00,2024-04-18T14:55:00+00:00,Bristol,2024-04-18T18:45:00+00:00,2024-04-18T18:31:00+00:00
easyJet,Geneve-cointrin,2024-04-18T16:50:00+00:00,2024-04-18T17:01:00+00:00,Bristol,2024-04-18T17:35:00+00:00,2024-04-18T17:26:00+00:00
easyJet,Lisbon Portela,2024-04-18T16:50:00+00:00,2024-04-18T17:14:00+00:00,Bristol,2024-04-18T19:25:00+00:00,2024-04-18T19:32:00+00:00
easyJet,Madeira,2024-04-18T11:30:00+00:00,2024-04-18T11:30:00+00:00,Bristol,2024-04-18T15:00:00+00:00,2024-04-18T14:51:00+00:00
Virgin Atlantic,Schiphol,2024-04-18T22:00:00+00:00,2024-04-18T22:20:00+00:00,Bristol,2024-04-18T22:20:00+00:00,2024-04-18T22:14:00+00:00
Kenya Airways,Schiphol,2024-04-18T22:00:00+00:00,2024-04-18T22:20:00+00:00,Bristol,2024-04-18T22:20:00+00:00,2024-04-18T22:14:00+00:00
Etihad Airways,Schiphol,2024-04-18T22:00:00+00:00,2024-04-18T22:20:00+00:00,Bristol,2024-04-18T22:20:00+00:00,2024-04-18T22:14:00+00:00
Ryanair,Pablo Ruiz Picasso,2024-04-18T19:00:00+00:00,2024-04-18T19:29:00+00:00,Bristol,2024-04-18T20:45:00+00:00,2024-04-18T21:01:00+00:00
easyJet,Pablo Ruiz Picasso,2024-04-18T19:00:00+00:00,2024-04-18T19:24:00+00:00,Bristol,2024-04-18T20:40:00+00:00,2024-04-18T20:54:00+00:00
German Airways,Schiphol,2024-04-18T16:40:00+00:00,2024-04-18T17:03:00+00:00,Bristol,2024-04-18T16:55:00+00:00,2024-04-18T16:55:00+00:00
British Airways,Dyce,2024-04-18T17:55:00+00:00,2024-04-18T17:52:00+00:00,Bristol,2024-04-18T19:25:00+00:00,2024-04-18T18:57:00+00:00
Sierra Pacific Airlines,Dyce,2024-04-18T17:55:00+00:00,2024-04-18T17:52:00+00:00,Bristol,2024-04-18T19:25:00+00:00,2024-04-18T18:57:00+00:00
Loganair,Dyce,2024-04-18T17:55:00+00:00,2024-04-18T17:52:00+00:00,Bristol,2024-04-18T19:25:00+00:00,2024-04-18T18:57:00+00:00
easyJet,Edinburgh,2024-04-18T21:30:00+00:00,2024-04-18T21:56:00+00:00,Bristol,2024-04-18T22:45:00+00:00,2024-04-18T22:44:00+00:00
easyJet,Glasgow International,2024-04-18T17:55:00+00:00,2024-04-18T18:51:00+00:00,Bristol,2024-04-18T19:05:00+00:00,2024-04-18T19:45:00+00:00
easyJet,Berlin Brandenburg Airport,2024-04-18T18:30:00+00:00,2024-04-18T18:59:00+00:00,Bristol,2024-04-18T19:30:00+00:00,2024-04-18T19:42:00+00:00
easyJet,Orly,2024-04-18T19:05:00+00:00,2024-04-18T19:32:00+00:00,Bristol,2024-04-18T19:25:00+00:00,2024-04-18T19:29:00+00:00
easyJet,Prague Vaclav Havel Airport,2024-04-18T21:50:00+00:00,2024-04-18T22:26:00+00:00,Bristol,2024-04-18T22:55:00+00:00,2024-04-18T23:16:00+00:00
easyJet,John Paul II Balice International,2024-04-18T21:00:00+00:00,2024-04-18T21:23:00+00:00,Bristol,2024-04-18T22:40:00+00:00,2024-04-18T22:37:00+00:00
easyJet,Aldergrove International Airport,2024-04-18T16:20:00+00:00,2024-04-18T16:51:00+00:00,Bristol,2024-04-18T17:25:00+00:00,2024-04-18T17:36:00+00:00
Jet2,Milas,2024-04-18T21:00:00+00:00,2024-04-18T21:33:00+00:00,Bristol,2024-04-18T23:15:00+00:00,2024-04-18T23:29:00+00:00
Jet2,Son Sant Joan Airport,2024-04-18T11:35:00+00:00,2024-04-18T12:16:00+00:00,Bristol,2024-04-18T13:05:00+00:00,2024-04-18T13:37:00+00:00
Aer Lingus,Cork,2024-04-18T18:30:00+00:00,2024-04-18T18:36:00+00:00,Bristol,2024-04-18T19:50:00+00:00,2024-04-18T19:39:00+00:00
Aer Lingus,Dublin International,2024-04-18T17:05:00+00:00,2024-04-18T17:11:00+00:00,Bristol,2024-04-18T18:25:00+00:00,2024-04-18T18:06:00+00:00
Qatar Airways,Dublin International,2024-04-18T17:05:00+00:00,2024-04-18T17:11:00+00:00,Bristol,2024-04-18T18:25:00+00:00,2024-04-18T18:06:00+00:00
British Airways,Dublin International,2024-04-18T17:05:00+00:00,2024-04-18T17:11:00+00:00,Bristol,2024-04-18T18:25:00+00:00,2024-04-18T18:06:00+00:00
easyJet,Inverness,2024-04-18T17:55:00+00:00,2024-04-18T18:15:00+00:00,Bristol,2024-04-18T19:15:00+00:00,2024-04-18T19:19:00+00:00
easyJet,Larnaca,2024-04-18T21:05:00+00:00,2024-04-18T21:23:00+00:00,Bristol,2024-04-19T00:20:00+00:00,2024-04-19T00:08:00+00:00
Ryanair,John Paul II Balice International,2024-04-18T19:50:00+00:00,2024-04-18T20:33:00+00:00,Bristol,2024-04-18T21:25:00+00:00,2024-04-18T21:42:00+00:00
easyJet,Dalaman,2024-04-18T21:10:00+00:00,2024-04-18T21:15:00+00:00,Bristol,2024-04-18T23:45:00+00:00,2024-04-18T23:23:00+00:00
easyJet,Cote D'azur International Airport,2024-04-18T14:20:00+00:00,2024-04-18T15:15:00+00:00,Bristol,2024-04-18T15:30:00+00:00,2024-04-18T16:07:00+00:00
Ryanair,Faro,2024-04-18T22:20:00+00:00,2024-04-18T22:37:00+00:00,Bristol,2024-04-19T00:55:00+00:00,2024-04-19T01:04:00+00:00
easyJet,Charles De Gaulle,2024-04-18T19:30:00+00:00,2024-04-18T20:09:00+00:00,Bristol,2024-04-18T19:50:00+00:00,2024-04-18T20:04:00+00:00
easyJet,Mérignac,2024-04-18T13:35:00+00:00,2024-04-18T14:05:00+00:00,Bristol,2024-04-18T14:10:00+00:00,2024-04-18T14:29:00+00:00
