_id,type,from_icaoCode,to_icaoCode,actualTime
65e207ae9cfa213c20949234,arrival,lclk,eggd,2023-06-01t01:23:00.000
65e207ae9cfa213c20949235,arrival,leal,eggd,2023-06-01t01:53:00.000
65e207ae9cfa213c20949236,arrival,ltai,eggd,2023-06-01t01:31:00.000
65e207ae9cfa213c20949237,arrival,lcph,eggd,2023-06-01t01:35:00.000
65e207ae9cfa213c20949238,arrival,hesh,eggd,2023-06-01t02:10:00.000
65e207ae9cfa213c20949239,arrival,gclp,eggd,2023-06-01t01:05:00.000
65e207ae9cfa213c2094923a,arrival,ltbs,eggd,2023-06-01t01:28:00.000
65e207ae9cfa213c2094923b,arrival,ltai,eggd,2023-06-01t02:41:00.000
65e207ae9cfa213c2094923c,arrival,lgko,eggd,2023-06-01t02:13:00.000
65e207ae9cfa213c2094923d,arrival,lemd,eggd,2023-06-01t23:32:00.000
65e207ae9cfa213c2094923e,arrival,gcrr,eggd,2023-06-01t23:46:00.000
65e207ae9cfa213c2094923f,arrival,lgsk,eggd,2023-06-02t00:17:00.000
65e207ae9cfa213c20949240,arrival,ltbs,eggd,2023-06-02t00:29:00.000
65e207ae9cfa213c20949241,arrival,ltfe,eggd,2023-06-02t00:01:00.000
65e207ae9cfa213c20949242,arrival,lgir,eggd,2023-06-02t00:23:00.000
65e207ae9cfa213c20949243,arrival,lepa,eggd,2023-06-02t00:32:00.000
65e207ae9cfa213c20949244,arrival,gcrr,eggd,2023-06-02t00:42:00.000
65e207ae9cfa213c20949245,arrival,lpfr,eggd,2023-06-02t00:59:00.000
65e207ae9cfa213c20949246,arrival,ltai,eggd,2023-06-02t01:23:00.000
65e207ae9cfa213c20949247,arrival,gclp,eggd,2023-06-02t01:13:00.000
65e207ae9cfa213c20949248,arrival,ltai,eggd,2023-06-02t02:32:00.000
65e207ae9cfa213c20949249,arrival,lclk,eggd,2023-06-02t03:23:00.000
65e207ae9cfa213c2094924a,arrival,leal,eggd,2023-06-03t00:11:00.000
65e207ae9cfa213c2094924b,arrival,ltai,eggd,2023-06-02t23:47:00.000
65e207ae9cfa213c2094924c,arrival,lgrp,eggd,2023-06-03t00:09:00.000
65e207ae9cfa213c2094924d,arrival,ltbs,eggd,2023-06-03t00:14:00.000
65e207ae9cfa213c2094924e,arrival,lemg,eggd,2023-06-03t00:23:00.000
65e207ae9cfa213c2094924f,arrival,gcts,eggd,2023-06-03t00:05:00.000
65e207ae9cfa213c20949250,arrival,ltbs,eggd,2023-06-03t01:55:00.000
65e207ae9cfa213c20949251,arrival,ltbs,eggd,2023-06-03t02:39:00.000
65e207ae9cfa213c20949252,arrival,hegn,eggd,2023-06-03t03:52:00.000
65e207ae9cfa213c20949253,arrival,gcfv,eggd,2023-06-03t23:34:00.000
65e207ae9cfa213c20949254,arrival,lepa,eggd,2023-06-03t23:51:00.000
65e207ae9cfa213c20949255,arrival,ltbs,eggd,2023-06-03t23:31:00.000
65e207ae9cfa213c20949256,arrival,gcfv,eggd,2023-06-04t00:01:00.000
65e207ae9cfa213c20949257,arrival,leal,eggd,2023-06-04t00:04:00.000
65e207ae9cfa213c20949258,arrival,leib,eggd,2023-06-04t00:37:00.000
65e207ae9cfa213c20949259,arrival,lgrp,eggd,2023-06-04t00:57:00.000
65e207ae9cfa213c2094925a,arrival,lpfr,eggd,2023-06-04t01:21:00.000
65e207ae9cfa213c2094925b,arrival,lcph,eggd,2023-06-04t01:14:00.000
65e207ae9cfa213c2094925c,arrival,gclp,eggd,2023-06-04t00:46:00.000
65e207ae9cfa213c2094925d,arrival,hesh,eggd,2023-06-04t01:24:00.000
