Date,Count
2022-12-19,1
2022-12-21,1
2022-12-23,2
2022-12-26,2
2022-12-27,1
2022-12-28,1
2022-12-30,2
2022-12-31,1
2023-01-01,50
2023-01-02,66
2023-01-03,67
2023-01-04,54
2023-01-05,58
2023-01-06,73
2023-01-07,60
2023-01-08,57
2023-01-09,75
2023-01-10,50
2023-01-11,46
2023-01-12,50
2023-01-13,69
2023-01-14,56
2023-01-15,51
2023-01-16,67
2023-01-17,52
2023-01-18,44
2023-01-19,49
2023-01-20,69
2023-01-21,53
2023-01-22,51
2023-01-23,72
2023-01-24,51
2023-01-25,42
2023-01-26,45
2023-01-27,71
2023-01-28,51
2023-01-29,48
2023-01-30,68
2023-01-31,46
2023-02-01,49
2023-02-02,53
2023-02-03,69
2023-02-04,59
2023-02-05,58
2023-02-06,71
2023-02-07,49
2023-02-08,48
2023-02-09,56
2023-02-10,69
2023-02-11,56
2023-02-12,66
2023-02-13,72
2023-02-14,55
2023-02-15,51
2023-02-16,58
2023-02-17,68
2023-02-18,61
2023-02-19,67
2023-02-20,76
2023-02-21,53
2023-02-22,48
2023-02-23,60
2023-02-24,70
2023-02-25,60
2023-02-26,67
2023-02-27,69
2023-02-28,55
2023-03-01,58
2023-03-02,61
2023-03-03,74
2023-03-04,62
2023-03-05,64
2023-03-06,74
2023-03-07,55
2023-03-08,38
2023-03-09,59
2023-03-10,76
2023-03-11,59
2023-03-12,68
2023-03-13,73
2023-03-14,54
2023-03-15,59
2023-03-16,70
2023-03-17,71
2023-03-18,58
2023-03-19,70
2023-03-20,75
2023-03-21,56
2023-03-22,57
2023-03-23,63
2023-03-24,77
2023-03-25,52
2023-03-26,192
2023-03-27,203
2023-03-28,198
2023-03-29,185
2023-03-30,223
2023-03-31,219
2023-04-01,179
2023-04-02,209
2023-04-03,214
2023-04-04,200
2023-04-05,206
2023-04-06,231
2023-04-07,228
2023-04-08,194
2023-04-09,208
2023-04-10,217
2023-04-11,207
2023-04-12,204
2023-04-13,223
2023-04-14,236
2023-04-15,192
2023-04-16,209
2023-04-17,222
2023-04-18,201
2023-04-19,209
2023-04-20,230
2023-04-21,233
2023-04-22,187
2023-04-23,207
2023-04-24,221
2023-04-25,203
2023-04-26,197
2023-04-27,235
2023-04-28,235
2023-04-29,190
2023-04-30,219
2023-05-01,223
2023-05-02,233
2023-05-03,243
2023-05-04,259
2023-05-05,255
2023-05-06,219
2023-05-07,237
2023-05-08,245
2023-05-09,249
2023-05-10,253
2023-05-11,267
2023-05-12,253
2023-05-13,233
2023-05-14,245
2023-05-15,247
2023-05-16,250
2023-05-17,256
2023-05-18,263
2023-05-19,262
2023-05-20,231
2023-05-21,242
2023-05-22,249
2023-05-23,249
2023-05-24,254
2023-05-25,273
2023-05-26,269
2023-05-27,242
2023-05-28,250
2023-05-29,250
2023-05-30,260
2023-05-31,260
2023-06-01,263
2023-06-02,271
2023-06-03,239
2023-06-04,254
2023-06-05,266
2023-06-06,259
2023-06-07,271
2023-06-08,276
2023-06-09,280
2023-06-10,247
2023-06-11,255
2023-06-12,244
2023-06-13,269
2023-06-14,269
2023-06-15,248
2023-06-16,275
2023-06-17,237
2023-06-18,231
2023-06-19,267
2023-06-20,261
2023-06-21,273
2023-06-22,276
2023-06-23,280
2023-06-24,241
2023-06-25,263
2023-06-26,255
2023-06-27,265
2023-06-28,266
2023-06-29,273
2023-06-30,280
2023-07-01,248
2023-07-02,257
2023-07-03,255
2023-07-04,261
2023-07-05,262
2023-07-06,271
2023-07-07,282
2023-07-08,248
2023-07-09,264
2023-07-10,258
2023-07-11,258
2023-07-12,260
2023-07-13,273
2023-07-14,282
2023-07-15,238
2023-07-16,262
2023-07-17,264
2023-07-18,264
2023-07-19,272
2023-07-20,290
2023-07-21,285
2023-07-22,250
2023-07-23,269
2023-07-24,263
2023-07-25,262
2023-07-26,271
2023-07-27,287
2023-07-28,281
2023-07-29,259
2023-07-30,269
2023-07-31,268
2023-08-01,269
2023-08-02,274
2023-08-03,291
2023-08-04,296
2023-08-05,262
2023-08-06,278
2023-08-07,269
2023-08-08,282
2023-08-09,280
2023-08-10,291
2023-08-11,294
2023-08-12,254
2023-08-13,268
2023-08-14,273
2023-08-15,273
2023-08-16,273
2023-08-17,289
2023-08-18,291
2023-08-19,249
2023-08-20,275
2023-08-21,265
2023-08-22,270
2023-08-23,278
2023-08-24,279
2023-08-25,293
2023-08-26,249
2023-08-27,262
2023-08-28,178
2023-08-29,258
2023-08-30,283
2023-08-31,286
2023-09-01,294
2023-09-02,255
2023-09-03,274
2023-09-04,277
2023-09-05,270
2023-09-06,281
2023-09-07,296
2023-09-08,305
2023-09-09,254
2023-09-10,263
2023-09-11,273
2023-09-12,273
2023-09-13,287
2023-09-14,293
2023-09-15,304
2023-09-16,258
2023-09-17,261
2023-09-18,275
2023-09-19,277
2023-09-20,279
2023-09-21,291
2023-09-22,295
2023-09-23,248
2023-09-24,271
2023-09-25,274
2023-09-26,274
2023-09-27,284
2023-09-28,286
2023-09-29,294
2023-09-30,251
2023-10-01,264
2023-10-02,268
2023-10-03,265
2023-10-04,264
2023-10-05,274
2023-10-06,279
2023-10-07,232
2023-10-08,259
2023-10-09,268
2023-10-10,260
2023-10-11,271
2023-10-12,274
2023-10-13,255
2023-10-14,232
2023-10-15,254
2023-10-16,262
2023-10-17,257
2023-10-18,263
2023-10-19,264
2023-10-20,271
2023-10-21,231
2023-10-22,253
2023-10-23,258
2023-10-24,256
2023-10-25,256
2023-10-26,257
2023-10-27,275
2023-10-28,220
2023-10-29,238
2023-10-30,280
2023-10-31,213
2023-11-01,189
2023-11-02,201
2023-11-03,233
2023-11-04,187
2023-11-05,214
2023-11-06,231
2023-11-07,139
2023-11-08,143
2023-11-09,167
2023-11-10,205
2023-11-11,141
2023-11-12,171
2023-11-13,209
2023-11-14,122
2023-11-15,122
2023-11-16,162
2023-11-17,202
2023-11-18,140
2023-11-19,175
2023-11-20,214
2023-11-21,123
2023-11-22,127
2023-11-23,163
2023-11-24,207
2023-11-25,136
2023-11-26,171
2023-11-27,218
2023-11-28,129
2023-11-29,125
2023-11-30,169
2023-12-01,219
2023-12-02,142
2023-12-03,188
2023-12-04,226
2023-12-05,146
2023-12-06,145
2023-12-07,182
2023-12-08,220
2023-12-09,160
2023-12-10,200
2023-12-11,227
2023-12-12,155
2023-12-13,155
2023-12-14,185
2023-12-15,214
2023-12-16,79
2023-12-17,42
