flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
u22736,easyjet,landed,2023-10-08t01:05:00.000,2023-10-08t00:58:00.000,2023-10-08 00:59:00,2023-10-08,00:59:00,0,Night hour departures
u22912,easyjet,landed,2023-10-08t01:05:00.000,2023-10-08t01:04:00.000,2023-10-08 01:03:00,2023-10-08,01:03:00,0,Night hour departures
u22726,easyjet,landed,2023-10-08t01:25:00.000,2023-10-08t01:22:00.000,2023-10-08 01:17:00,2023-10-08,01:17:00,0,Night hour departures
x36655,tuifly,landed,2023-10-08t01:40:00.000,2023-10-08t01:37:00.000,2023-10-08 01:38:00,2023-10-08,01:38:00,0,Night hour departures
u22850,easyjet,landed,2023-10-08t02:05:00.000,2023-10-08t01:41:00.000,2023-10-08 01:42:00,2023-10-08,01:42:00,0,Night hour departures
ba8936,british airways,landed,2023-10-08t07:55:00.000,2023-10-08t07:59:00.000,2023-10-08 08:01:00,2023-10-08,08:01:00,7,Regular departures
ei3280,aer lingus,landed,2023-10-08t07:55:00.000,2023-10-08t07:59:00.000,2023-10-08 08:01:00,2023-10-08,08:01:00,7,Regular departures
fr7948,ryanair,landed,2023-10-08t08:00:00.000,2023-10-08t07:54:00.000,2023-10-08 07:47:00,2023-10-08,07:47:00,0,Regular departures
fr1940,ryanair,landed,2023-10-08t08:35:00.000,2023-10-08t08:40:00.000,2023-10-08 08:40:00,2023-10-08,08:40:00,6,Regular departures
fr4122,ryanair,landed,2023-10-08t08:40:00.000,2023-10-08t08:27:00.000,2023-10-08 08:30:00,2023-10-08,08:30:00,0,Regular departures
u27507,easyjet,landed,2023-10-08t08:40:00.000,2023-10-08t08:32:00.000,2023-10-08 08:33:00,2023-10-08,08:33:00,0,Regular departures
af3161,air france,landed,2023-10-08t08:45:00.000,2023-10-08t08:58:00.000,2023-10-08 08:51:00,2023-10-08,08:51:00,6,Regular departures
dl9629,delta air lines,landed,2023-10-08t08:45:00.000,2023-10-08t08:58:00.000,2023-10-08 08:51:00,2023-10-08,08:51:00,6,Regular departures
ey7395,etihad airways,landed,2023-10-08t08:45:00.000,2023-10-08t08:58:00.000,2023-10-08 08:51:00,2023-10-08,08:51:00,6,Regular departures
vs7040,virgin atlantic,landed,2023-10-08t08:45:00.000,2023-10-08t08:58:00.000,2023-10-08 08:51:00,2023-10-08,08:51:00,6,Regular departures
kl1049,klm,landed,2023-10-08t08:45:00.000,2023-10-08t08:58:00.000,2023-10-08 08:51:00,2023-10-08,08:51:00,6,Regular departures
fr8203,ryanair,landed,2023-10-08t08:50:00.000,2023-10-08t08:25:00.000,2023-10-08 08:27:00,2023-10-08,08:27:00,0,Regular departures
lh970,lufthansa,landed,2023-10-08t09:00:00.000,2023-10-08t08:51:00.000,2023-10-08 08:47:00,2023-10-08,08:47:00,0,Regular departures
u27191,easyjet,landed,2023-10-08t09:05:00.000,2023-10-08t08:42:00.000,2023-10-08 08:45:00,2023-10-08,08:45:00,0,Regular departures
fr8255,ryanair,landed,2023-10-08t10:40:00.000,2023-10-08t10:24:00.000,2023-10-08 10:25:00,2023-10-08,10:25:00,0,Regular departures
fr3559,ryanair,landed,2023-10-08t10:45:00.000,2023-10-08t10:54:00.000,2023-10-08 10:54:00,2023-10-08,10:54:00,9,Regular departures
gr642,aurigny air services,landed,2023-10-08t10:45:00.000,2023-10-08t10:32:00.000,2023-10-08 10:34:00,2023-10-08,10:34:00,0,Regular departures
u2224,easyjet,landed,2023-10-08t10:45:00.000,2023-10-08t10:36:00.000,2023-10-08 10:37:00,2023-10-08,10:37:00,0,Regular departures
u22842,easyjet,landed,2023-10-08t11:25:00.000,2023-10-08t11:06:00.000,2023-10-08 11:07:00,2023-10-08,11:07:00,0,Regular departures
u22884,easyjet,landed,2023-10-08t11:35:00.000,2023-10-08t11:30:00.000,2023-10-08 11:28:00,2023-10-08,11:28:00,0,Regular departures
ls1872,jet2,landed,2023-10-08t11:45:00.000,2023-10-08t11:50:00.000,2023-10-08 11:52:00,2023-10-08,11:52:00,7,Regular departures
fr504,ryanair,landed,2023-10-08t11:55:00.000,2023-10-08t12:11:00.000,2023-10-08 12:10:00,2023-10-08,12:10:00,15,Regular departures
x36737,tuifly,landed,2023-10-08t11:55:00.000,2023-10-08t11:57:00.000,2023-10-08 11:58:00,2023-10-08,11:58:00,4,Regular departures
u22701,easyjet,landed,2023-10-08t11:55:00.000,2023-10-08t11:39:00.000,2023-10-08 11:41:00,2023-10-08,11:41:00,0,Regular departures
