Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival,Event Time,Event Time Rounded,Event DateTime,Event Date
Other,Schiphol,2024-04-06 22:00:00+00:00,2024-04-06 22:19:00+00:00,Bristol,2024-04-06 22:20:00+00:00,2024-04-06 22:21:00+00:00,2024-04-06 22:21:00+00:00,2024-04-06 22:30:00+00:00,2024-04-06 22:30:00,2024-04-06
Other,Fuerteventura,2024-04-06 18:45:00+00:00,2024-04-06 20:25:00+00:00,Bristol,2024-04-06 22:45:00+00:00,2024-04-06 23:30:00+00:00,2024-04-06 23:30:00+00:00,2024-04-06 23:30:00+00:00,2024-04-06 23:30:00,2024-04-06
Other,Schiphol,2024-04-06 22:00:00+00:00,2024-04-06 22:19:00+00:00,Bristol,2024-04-06 22:20:00+00:00,2024-04-06 22:21:00+00:00,2024-04-06 22:21:00+00:00,2024-04-06 22:30:00+00:00,2024-04-06 22:30:00,2024-04-06
Other,Paphos International Airport,2024-04-06 20:55:00+00:00,2024-04-06 21:25:00+00:00,Bristol,2024-04-06 23:45:00+00:00,2024-04-07 00:05:00+00:00,2024-04-07 00:05:00+00:00,2024-04-07 00:00:00+00:00,2024-04-07 00:00:00,2024-04-07
easyJet,Dalaman,2024-04-06 23:40:00+00:00,2024-04-06 23:49:00+00:00,Bristol,2024-04-07 02:05:00+00:00,2024-04-07 02:00:00+00:00,2024-04-07 02:00:00+00:00,2024-04-07 02:00:00+00:00,2024-04-07 02:00:00,2024-04-07
easyJet,Berlin Brandenburg Airport,2024-04-06 22:35:00+00:00,2024-04-06 22:44:00+00:00,Bristol,2024-04-06 23:40:00+00:00,2024-04-06 23:35:00+00:00,2024-04-06 23:35:00+00:00,2024-04-06 23:30:00+00:00,2024-04-06 23:30:00,2024-04-06
Other,Schiphol,2024-04-06 22:00:00+00:00,2024-04-06 22:19:00+00:00,Bristol,2024-04-06 22:20:00+00:00,2024-04-06 22:21:00+00:00,2024-04-06 22:21:00+00:00,2024-04-06 22:30:00+00:00,2024-04-06 22:30:00,2024-04-06
Ryanair,Kaunas,2024-04-06 06:05:00+00:00,2024-04-06 06:04:00+00:00,Bristol,2024-04-06 07:00:00+00:00,2024-04-06 06:52:00+00:00,2024-04-06 06:52:00+00:00,2024-04-06 07:00:00+00:00,2024-04-06 07:00:00,2024-04-06
easyJet,El Prat De Llobregat,2024-04-06 10:40:00+00:00,2024-04-06 11:31:00+00:00,Bristol,2024-04-06 12:00:00+00:00,2024-04-06 12:12:00+00:00,2024-04-06 12:12:00+00:00,2024-04-06 12:00:00+00:00,2024-04-06 12:00:00,2024-04-06
Ryanair,El Prat De Llobregat,2024-04-06 06:25:00+00:00,2024-04-06 07:26:00+00:00,Bristol,2024-04-06 07:50:00+00:00,2024-04-06 08:09:00+00:00,2024-04-06 08:09:00+00:00,2024-04-06 08:00:00+00:00,2024-04-06 08:00:00,2024-04-06
easyJet,Alicante El Altet,2024-04-06 07:20:00+00:00,2024-04-06 07:22:00+00:00,Bristol,2024-04-06 08:55:00+00:00,2024-04-06 08:25:00+00:00,2024-04-06 08:25:00+00:00,2024-04-06 08:30:00+00:00,2024-04-06 08:30:00,2024-04-06
Ryanair,Son Sant Joan Airport,2024-04-06 11:05:00+00:00,2024-04-06 11:38:00+00:00,Bristol,2024-04-06 12:35:00+00:00,2024-04-06 12:40:00+00:00,2024-04-06 12:40:00+00:00,2024-04-06 12:30:00+00:00,2024-04-06 12:30:00,2024-04-06
easyJet,Faro,2024-04-06 06:05:00+00:00,2024-04-06 06:09:00+00:00,Bristol,2024-04-06 08:45:00+00:00,2024-04-06 08:13:00+00:00,2024-04-06 08:13:00+00:00,2024-04-06 08:00:00+00:00,2024-04-06 08:00:00,2024-04-06
Other,Tulsa International,2024-04-06 05:00:00+00:00,2024-04-06 05:06:00+00:00,Bristol,2024-04-06 18:38:00+00:00,2024-04-06 18:48:00+00:00,2024-04-06 18:48:00+00:00,2024-04-06 19:00:00+00:00,2024-04-06 19:00:00,2024-04-06
easyJet,Schiphol,2024-04-06 12:30:00+00:00,2024-04-06 12:43:00+00:00,Bristol,2024-04-06 12:50:00+00:00,2024-04-06 12:53:00+00:00,2024-04-06 12:53:00+00:00,2024-04-06 13:00:00+00:00,2024-04-06 13:00:00,2024-04-06
easyJet,Glasgow International,2024-04-06 11:00:00+00:00,2024-04-06 11:58:00+00:00,Bristol,2024-04-06 12:15:00+00:00,2024-04-06 13:04:00+00:00,2024-04-06 13:04:00+00:00,2024-04-06 13:00:00+00:00,2024-04-06 13:00:00,2024-04-06
Other,Jersey,2024-04-06 10:00:00+00:00,2024-04-06 09:50:00+00:00,Bristol,2024-04-06 10:53:00+00:00,2024-04-06 10:33:00+00:00,2024-04-06 10:33:00+00:00,2024-04-06 10:30:00+00:00,2024-04-06 10:30:00,2024-04-06
easyJet,Menara,2024-04-06 20:05:00+00:00,2024-04-06 20:56:00+00:00,Bristol,2024-04-07 00:30:00+00:00,2024-04-07 00:35:00+00:00,2024-04-07 00:35:00+00:00,2024-04-07 00:30:00+00:00,2024-04-07 00:30:00,2024-04-07
easyJet,Alicante El Altet,2024-04-06 10:15:00+00:00,2024-04-06 10:40:00+00:00,Bristol,2024-04-06 11:50:00+00:00,2024-04-06 11:40:00+00:00,2024-04-06 11:40:00+00:00,2024-04-06 11:30:00+00:00,2024-04-06 11:30:00,2024-04-06
easyJet,Pablo Ruiz Picasso,2024-04-06 10:30:00+00:00,2024-04-06 11:34:00+00:00,Bristol,2024-04-06 12:15:00+00:00,2024-04-06 12:43:00+00:00,2024-04-06 12:43:00+00:00,2024-04-06 12:30:00+00:00,2024-04-06 12:30:00,2024-04-06
Ryanair,Valencia,2024-04-06 10:20:00+00:00,2024-04-06 11:06:00+00:00,Bristol,2024-04-06 11:50:00+00:00,2024-04-06 12:06:00+00:00,2024-04-06 12:06:00+00:00,2024-04-06 12:00:00+00:00,2024-04-06 12:00:00,2024-04-06
easyJet,Edinburgh,2024-04-06 11:10:00+00:00,2024-04-06 11:59:00+00:00,Bristol,2024-04-06 12:25:00+00:00,2024-04-06 13:08:00+00:00,2024-04-06 13:08:00+00:00,2024-04-06 13:00:00+00:00,2024-04-06 13:00:00,2024-04-06
Other,Schiphol,2024-04-06 12:55:00+00:00,2024-04-06 13:10:00+00:00,Bristol,2024-04-06 13:10:00+00:00,2024-04-06 13:16:00+00:00,2024-04-06 13:16:00+00:00,2024-04-06 13:30:00+00:00,2024-04-06 13:30:00,2024-04-06
Other,Pablo Ruiz Picasso,2024-04-06 12:00:00+00:00,2024-04-06 12:40:00+00:00,Bristol,2024-04-06 13:45:00+00:00,2024-04-06 13:40:00+00:00,2024-04-06 13:40:00+00:00,2024-04-06 13:30:00+00:00,2024-04-06 13:30:00,2024-04-06
easyJet,Inverness,2024-04-06 11:55:00+00:00,2024-04-06 12:32:00+00:00,Bristol,2024-04-06 13:15:00+00:00,2024-04-06 13:59:00+00:00,2024-04-06 13:59:00+00:00,2024-04-06 14:00:00+00:00,2024-04-06 14:00:00,2024-04-06
Other,Schiphol,2024-04-06 08:35:00+00:00,2024-04-06 08:50:00+00:00,Bristol,2024-04-06 08:50:00+00:00,2024-04-06 08:48:00+00:00,2024-04-06 08:48:00+00:00,2024-04-06 09:00:00+00:00,2024-04-06 09:00:00,2024-04-06
easyJet,Nikos Kazantzakis Airport,2024-04-06 13:45:00+00:00,2024-04-06 13:58:00+00:00,Bristol,2024-04-06 16:00:00+00:00,2024-04-06 16:04:00+00:00,2024-04-06 16:04:00+00:00,2024-04-06 16:00:00+00:00,2024-04-06 16:00:00,2024-04-06
Other,Birmingham International Airport,2024-04-06 06:15:00+00:00,2024-04-06 06:37:00+00:00,Bristol,2024-04-06 07:03:00+00:00,2024-04-06 07:04:00+00:00,2024-04-06 07:04:00+00:00,2024-04-06 07:00:00+00:00,2024-04-06 07:00:00,2024-04-06
easyJet,El Prat De Llobregat,2024-04-06 13:05:00+00:00,2024-04-06 14:07:00+00:00,Bristol,2024-04-06 14:25:00+00:00,2024-04-06 14:50:00+00:00,2024-04-06 14:50:00+00:00,2024-04-06 15:00:00+00:00,2024-04-06 15:00:00,2024-04-06
easyJet,Leonardo Da Vinci (Fiumicino),2024-04-06 10:10:00+00:00,2024-04-06 10:56:00+00:00,Bristol,2024-04-06 12:05:00+00:00,2024-04-06 12:16:00+00:00,2024-04-06 12:16:00+00:00,2024-04-06 12:30:00+00:00,2024-04-06 12:30:00,2024-04-06
easyJet,Pablo Ruiz Picasso,2024-04-06 13:35:00+00:00,2024-04-06 14:44:00+00:00,Bristol,2024-04-06 15:20:00+00:00,2024-04-06 15:44:00+00:00,2024-04-06 15:44:00+00:00,2024-04-06 15:30:00+00:00,2024-04-06 15:30:00,2024-04-06
easyJet,Zakinthos International Airport,2024-04-06 19:45:00+00:00,2024-04-06 19:47:00+00:00,Bristol,2024-04-06 21:30:00+00:00,2024-04-06 21:29:00+00:00,2024-04-06 21:29:00+00:00,2024-04-06 21:30:00+00:00,2024-04-06 21:30:00,2024-04-06
Other,Schiphol,2024-04-06 08:35:00+00:00,2024-04-06 08:50:00+00:00,Bristol,2024-04-06 08:50:00+00:00,2024-04-06 08:48:00+00:00,2024-04-06 08:48:00+00:00,2024-04-06 09:00:00+00:00,2024-04-06 09:00:00,2024-04-06
Other,Schiphol,2024-04-06 08:35:00+00:00,2024-04-06 08:50:00+00:00,Bristol,2024-04-06 08:50:00+00:00,2024-04-06 08:48:00+00:00,2024-04-06 08:48:00+00:00,2024-04-06 09:00:00+00:00,2024-04-06 09:00:00,2024-04-06
easyJet,Son Sant Joan Airport,2024-04-06 14:05:00+00:00,2024-04-06 14:14:00+00:00,Bristol,2024-04-06 15:35:00+00:00,2024-04-06 15:11:00+00:00,2024-04-06 15:11:00+00:00,2024-04-06 15:00:00+00:00,2024-04-06 15:00:00,2024-04-06
easyJet,Lanzarote,2024-04-06 11:10:00+00:00,2024-04-06 12:37:00+00:00,Bristol,2024-04-06 15:00:00+00:00,2024-04-06 15:32:00+00:00,2024-04-06 15:32:00+00:00,2024-04-06 15:30:00+00:00,2024-04-06 15:30:00,2024-04-06
