flight_id,flight_number,direction,actual_time,origin,destination,aircraft_type,airline,registration
39624470,U22714,Arrival,2025-03-07 11:59:55,AGP,BRS,A320,N/A,G-EZRT
39627c82,FR4754,Arrival,2025-03-07 11:59:58,TFS,BRS,B38M,N/A,EI-IJW
396279d0,FR4756,Arrival,2025-03-07 11:59:58,ACE,BRS,B38M,N/A,EI-IJS
39627eb6,U22868,Arrival,2025-03-07 11:59:58,LIS,BRS,A320,N/A,G-EZWS
39626b45,U22722,Arrival,2025-03-07 11:59:58,ALC,BRS,A20N,N/A,G-UZHR
396260e6,U22952,Arrival,2025-03-07 11:59:58,INN,BRS,A20N,N/A,G-UZHY
39629097,FR506,Arrival,2025-03-07 11:59:58,DUB,BRS,B738,N/A,EI-EBS
39621c45,LS1893,Departure,2025-03-07 11:59:58,BRS,TFS,B738,N/A,G-JZHL
39625135,LS1803,Departure,2025-03-07 11:59:58,BRS,ACE,B738,N/A,G-JZDA
39627c5c,BY6508,Departure,2025-03-07 11:59:58,BRS,TFS,B38M,N/A,G-TUMN
39626557,U22767,Departure,2025-03-07 11:59:58,BRS,BOD,A20N,N/A,G-UZHT
39627068,U22885,Departure,2025-03-07 11:59:58,BRS,GVA,A20N,N/A,G-UZLM
3962509b,,Departure,2025-03-07 11:59:58,BRS,,EC35,N/A,G-WPDD
3962786e,BY324,Departure,2025-03-07 11:59:58,BRS,HRG,B38M,N/A,G-TUMU
39627d45,U22872,Arrival,2025-03-07 11:59:59,FAO,BRS,A21N,N/A,G-UZMG
3962807f,LS1806,Arrival,2025-03-07 11:59:59,ALC,BRS,B738,N/A,G-JZDH
39626ffa,U22968,Arrival,2025-03-07 11:59:59,NBE,BRS,A20N,N/A,G-UZHC
39625800,U22932,Arrival,2025-03-07 11:59:59,CPH,BRS,A20N,N/A,G-UZLZ
3962529e,U22704,Arrival,2025-03-07 11:59:59,BCN,BRS,A320,N/A,G-EZPB
39624a34,U22938,Arrival,2025-03-07 11:59:59,KRK,BRS,A21N,N/A,G-UZMB
39625226,U22848,Arrival,2025-03-07 11:59:59,FCO,BRS,A20N,N/A,G-UZLW
39629be0,KL1079,Arrival,2025-03-07 11:59:59,AMS,BRS,E190,N/A,G-CLSN
39628a30,XQ584,Arrival,2025-03-07 11:59:59,AYT,BRS,B38M,N/A,TC-SME
39627cb3,FR8682,Arrival,2025-03-07 11:59:59,KUN,BRS,B738,N/A,SP-RND
39624c5c,U22881,Departure,2025-03-07 11:59:59,BRS,BSL,A320,N/A,G-EZRZ
39629c11,U22773,Departure,2025-03-07 11:59:59,BRS,CDG,A320,N/A,G-EZTA
396290b2,U22935,Departure,2025-03-07 11:59:59,BRS,PRG,A320,N/A,G-EZTD
39624399,LS1845,Departure,2025-03-07 11:59:59,BRS,AYT,B738,N/A,G-JZBG
