DateTime,TimeCategory,Count
2022-12-19,Regular arrivals,1
2022-12-21,Regular arrivals,1
2022-12-23,Regular arrivals,2
2022-12-26,Regular arrivals,2
2022-12-27,Regular arrivals,1
2022-12-28,Regular arrivals,1
2022-12-30,Regular arrivals,2
2022-12-31,Night hour arrivals,1
2023-01-01,Regular arrivals,48
2023-01-01,Shoulder hour flights,2
2023-01-02,Regular arrivals,63
2023-01-02,Shoulder hour flights,3
2023-01-03,Regular arrivals,64
2023-01-03,Shoulder hour flights,3
2023-01-04,Regular arrivals,50
2023-01-04,Shoulder hour flights,3
2023-01-04,Night hour arrivals,1
2023-01-05,Regular arrivals,54
2023-01-05,Shoulder hour flights,4
2023-01-06,Regular arrivals,63
2023-01-06,Shoulder hour flights,8
2023-01-06,Night hour arrivals,2
2023-01-07,Regular arrivals,55
2023-01-07,Shoulder hour flights,5
2023-01-08,Regular arrivals,55
2023-01-08,Shoulder hour flights,2
2023-01-09,Regular arrivals,71
2023-01-09,Shoulder hour flights,4
2023-01-10,Regular arrivals,47
2023-01-10,Shoulder hour flights,3
2023-01-11,Regular arrivals,44
2023-01-11,Shoulder hour flights,2
2023-01-12,Regular arrivals,48
2023-01-12,Shoulder hour flights,2
2023-01-13,Regular arrivals,62
2023-01-13,Shoulder hour flights,7
2023-01-14,Regular arrivals,50
2023-01-14,Shoulder hour flights,4
2023-01-15,Regular arrivals,48
2023-01-15,Shoulder hour flights,3
2023-01-16,Regular arrivals,63
2023-01-16,Shoulder hour flights,3
2023-01-17,Regular arrivals,50
2023-01-17,Shoulder hour flights,2
2023-01-18,Regular arrivals,42
2023-01-18,Shoulder hour flights,2
2023-01-19,Regular arrivals,47
2023-01-19,Shoulder hour flights,2
2023-01-20,Regular arrivals,62
2023-01-20,Shoulder hour flights,6
2023-01-21,Regular arrivals,47
2023-01-21,Shoulder hour flights,5
2023-01-21,Night hour arrivals,1
2023-01-22,Regular arrivals,48
2023-01-22,Shoulder hour flights,2
2023-01-23,Regular arrivals,69
2023-01-23,Shoulder hour flights,3
2023-01-24,Regular arrivals,49
2023-01-24,Shoulder hour flights,2
2023-01-25,Regular arrivals,40
2023-01-25,Shoulder hour flights,2
2023-01-26,Regular arrivals,43
2023-01-26,Shoulder hour flights,2
2023-01-27,Regular arrivals,64
2023-01-27,Shoulder hour flights,7
2023-01-28,Regular arrivals,47
2023-01-28,Shoulder hour flights,4
2023-01-29,Regular arrivals,45
2023-01-29,Shoulder hour flights,2
2023-01-29,Night hour arrivals,1
2023-01-30,Regular arrivals,64
2023-01-30,Shoulder hour flights,4
2023-01-31,Regular arrivals,43
2023-01-31,Shoulder hour flights,2
2023-02-01,Regular arrivals,47
2023-02-01,Shoulder hour flights,2
2023-02-02,Regular arrivals,51
2023-02-02,Shoulder hour flights,2
2023-02-03,Regular arrivals,62
2023-02-03,Shoulder hour flights,7
2023-02-04,Regular arrivals,54
2023-02-04,Shoulder hour flights,5
2023-02-05,Regular arrivals,56
2023-02-05,Shoulder hour flights,2
2023-02-06,Regular arrivals,67
2023-02-06,Shoulder hour flights,4
2023-02-07,Regular arrivals,46
2023-02-07,Shoulder hour flights,3
2023-02-08,Regular arrivals,47
2023-02-08,Shoulder hour flights,1
2023-02-09,Regular arrivals,53
2023-02-09,Shoulder hour flights,3
2023-02-10,Regular arrivals,61
2023-02-10,Shoulder hour flights,7
2023-02-10,Night hour arrivals,1
2023-02-11,Regular arrivals,50
2023-02-11,Shoulder hour flights,6
2023-02-12,Regular arrivals,63
2023-02-12,Shoulder hour flights,3
2023-02-13,Regular arrivals,68
2023-02-13,Shoulder hour flights,4
2023-02-14,Regular arrivals,52
2023-02-14,Shoulder hour flights,3
2023-02-15,Regular arrivals,47
2023-02-15,Shoulder hour flights,4
2023-02-16,Regular arrivals,56
2023-02-16,Shoulder hour flights,2
2023-02-17,Regular arrivals,60
2023-02-17,Shoulder hour flights,7
2023-02-17,Night hour arrivals,1
2023-02-18,Regular arrivals,55
2023-02-18,Shoulder hour flights,6
2023-02-19,Regular arrivals,64
2023-02-19,Shoulder hour flights,3
2023-02-20,Regular arrivals,72
2023-02-20,Shoulder hour flights,3
2023-02-20,Night hour arrivals,1
2023-02-21,Regular arrivals,50
2023-02-21,Shoulder hour flights,3
2023-02-22,Regular arrivals,45
2023-02-22,Shoulder hour flights,3
2023-02-23,Regular arrivals,58
2023-02-23,Shoulder hour flights,2
2023-02-24,Regular arrivals,63
2023-02-24,Shoulder hour flights,7
2023-02-25,Regular arrivals,53
2023-02-25,Shoulder hour flights,7
2023-02-26,Regular arrivals,64
2023-02-26,Shoulder hour flights,3
2023-02-27,Regular arrivals,66
2023-02-27,Shoulder hour flights,3
2023-02-28,Regular arrivals,52
2023-02-28,Shoulder hour flights,3
2023-03-01,Regular arrivals,58
2023-03-02,Regular arrivals,57
2023-03-02,Shoulder hour flights,4
2023-03-03,Regular arrivals,67
2023-03-03,Shoulder hour flights,7
2023-03-04,Regular arrivals,57
2023-03-04,Shoulder hour flights,5
2023-03-05,Regular arrivals,60
2023-03-05,Shoulder hour flights,3
2023-03-06,Regular arrivals,70
2023-03-06,Shoulder hour flights,4
2023-03-07,Regular arrivals,52
2023-03-07,Shoulder hour flights,3
2023-03-08,Regular arrivals,36
2023-03-08,Shoulder hour flights,1
2023-03-08,Night hour arrivals,1
2023-03-09,Regular arrivals,58
2023-03-09,Shoulder hour flights,1
2023-03-10,Regular arrivals,73
2023-03-10,Shoulder hour flights,2
2023-03-10,Night hour arrivals,1
2023-03-11,Regular arrivals,54
2023-03-11,Shoulder hour flights,5
2023-03-12,Regular arrivals,65
2023-03-12,Shoulder hour flights,3
2023-03-13,Regular arrivals,69
2023-03-13,Shoulder hour flights,4
2023-03-14,Regular arrivals,52
2023-03-14,Shoulder hour flights,2
2023-03-15,Regular arrivals,57
2023-03-15,Shoulder hour flights,2
